name,country,city,businessType
OPERATORI SISTEMIT TE TRANSMETIMITOST - SHOQERI ANONIME,Albania,TIRANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
General Maritime Directorate,Albania,Durres,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
QENDRES SPITALORE UNIVERSITARE NENETEREZA TIRANE,Albania,Tirana,Higher or Secondary Education Establishments
INSTITUTE OF PUBLIC HEALTH,Albania,Tirana,Research Organisations
ALBANIAN UNIVERSITY CENTER,Albania,TIRANA,Research Organisations
DIRECTORATE GENERAL OF CUSTOMS OF ALBANIA,Albania,TIRANE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UFO,Albania,TIRANA,Higher or Secondary Education Establishments
AGJENCIA KOMBETARE E PLANIFIKIMIT TE TERRITORIT,Albania,TIRANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
QENDRES SE SHENDETIT DHE MIREQENIES KOMUNITARE,Albania,TIRANA,Other
QENDRA E KERKIMEVE HISTORIKE DHE ANTROPOLOGJIKE,Albania,TIRANA,Research Organisations
AUSTRIAN INSTITUTE OF EXCELLENCE,Albania,TIRANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGJENCIA KOMBETARE E KERKIMIT SHKENCOR DHE INOVACIONIT,Albania,TIRANA,Research Organisations
AGJENCIA E KERKIMIT TEKNOLOGJISE DHE INOVACIONIT,Albania,Tirana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITETI I TIRANES,Albania,TIRANA,Higher or Secondary Education Establishments
BASHKIA SHKODER,Albania,SHKODER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
QENDREN NDERINSTITUCIONALE TE RRJETI AKADEMIK SHQIPTAR,Albania,TIRANA,Research Organisations
INSTITUTI PER RUAJTJEN E NATYRES SHQIPTARE SHOQATA,Albania,TIRANA,Other
MILIEUKONTAKT SHQIPERI,Albania,TIRANA,Other
UNIVERSITETI METROPOLITAN TIRANA,Albania,TIRANA,Higher or Secondary Education Establishments
DREJTORIA E PERGJITSHME E POLICISE ASP,Albania,TIRANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TURGUT OZAL EDUCATION SHA,Albania,TIRANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PER SHERBIMIN GJEOLOGJIK SHQIPTAR,Albania,TIRANA,Research Organisations
UNIVERSITETI I MJEKESISE TIRANE,Albania,TIRANA,Higher or Secondary Education Establishments
MINISTRIA E BUJQESISE DHE ZHVILLIMIT RURAL,Albania,TIRANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITETI BUJQESOR I TIRANES,Albania,Tirana,Higher or Secondary Education Establishments
UNIVERSITETI POLITEKNIK I TIRANES,Albania,Tirana,Higher or Secondary Education Establishments
UNIVERSITETI POLIS SHPK,Albania,TIRANA,Higher or Secondary Education Establishments
CO-PLAN INSTITUTI PER ZHVILLIMIN EHABIITATIT,Albania,TIRANA,Other
TELECOMMUNICATION AND COMPUTER NETWORKING TNC SHPK,Albania,TIRANE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTI PER DEMOKRACI DHE NDERMJETESIM,Albania,TIRANA,Research Organisations
AKADEMIA E STUDIMEVE ALBANOLOGJIKE,Albania,TIRANA,Higher or Secondary Education Establishments
Institute of Nuclear Physics,Albania,Tirana,Unknown
Polytechnic University of Tirana,Albania,Tirana,Unknown
Academia of Sciences of Albania,Albania,Tirana,Unknown
Center of Geophysical and Geochemical Exploration,Albania,Tirana,Unknown
Mining and Processing Technology Institute,Albania,Tirana,Unknown
DIRECTORATE GENERAL FORESTRY,Albania,TIRANA,Unknown
University of Tirana,Albania,Tirana,Unknown
INSTITUTE OF HYDROMETEOROLOGY OF ALBANIA,Albania,TIRANA,Unknown
ALBANIAN NATIONAL BUREAU OF TIPS (TECHNOLOGICAL INFORMATION PROMOTION SYSTEM),Albania,TIRANA,Unknown
UNIVERSITY OF TIRANA,Albania,TIRANA,Unknown
MINISTRY OF EDUCATION AND SCIENCE OF ALBANIA,Albania,TIRANA,Unknown
E.S.T. - ENTREPRISE SUPPORT TEAM,Albania,TIRANA,Unknown
TELECOMMUNICATIONS REGULATORY AGENCY OF ALBANIA,Albania,TIRANA,Unknown
INSTITUTI SHQIPTAR PER STUDIME DHE EDUKIM NE TEKNOLOGJINE E INFORMACIONIT,Albania,TIRANA,Unknown
CIVET 2000 SHPK,Albania,TIRANA,Unknown
POLYTECHNIC UNIVERSITY OF TIRANA,Albania,TIRANA,Unknown
BASHKIA TIRANE,Albania,TIRANA,Other
QENDRA SHQIPTARE E TEKNOLOGJISE SE INFORMACIONIT,Albania,TIRANA,Other
UNIVERSITETI POLITEKNIK-TIRANE,Albania,TIRANA,Unknown
SUSTAINABLE ECONOMIC DEVELOPMENT AGENCY,Albania,TIRANA,Unknown
ACADEMY OF SCIENCES OF ALBANIA,Albania,TIRANA,Unknown
INSTITUTI INFORMATIKES DHE MATEMATIKES APLIKUAR,Albania,TIRANA,Unknown
GEOGRAPHIC STUDIES CENTER,Albania,TIRANA,Unknown
C-CENTER ENGINEERING AND CONSULTING SHPK,Albania,TIRANA,Unknown
MINISTRIA E FINANCAVE,Albania,TIRANA,Unknown
UNIVERSITY OF SHKODER LUIGJ GURAKUQI,Albania,SHKODER,Unknown
AGRICULTURAL UNIVERSITY OF TIRANA,Albania,TIRANA,Unknown
AGJENSIA TELEGRAFIKE SHQIPTARE,Albania,TIRANA,Unknown
ALBANIAN PHYSICAL SOCIETY,Albania,TIRANA,Unknown
AKADEMIA E SHKENCAVE TE SHQIPERISE,Albania,TIRANA,Unknown
"MINISTRY OF HEALTH, DEPARTMENT OF PRIMARY HEALTH CARE",Albania,TIRANA,Unknown
INSTITUTION OF STATISTICS OF ALBANIA,Albania,TIRANA,Unknown
GEOPHYSICAL CENTER,Albania,TIRANA,Unknown
ALBANIA - EU ENERGY EFFICIENCY CENTRE,Albania,TIRANA,Unknown
AKADEMIA E SHKENCAVE E SHQIPERISE,Albania,TIRANA,Unknown
AKADEMIA E SHKENCAVE TE SHQIPERISE,Albania,Tirana,Unknown
CIVET 2000 SHPK.,Albania,TIRANA,Unknown
UNIVERSITETI I TIRANES,Albania,TIRANA,Unknown
"POLYTECHNIC UNIVERSITY OF TIRANA (UNIVERSITETI POLITEKNIK, UPT)",Albania,TIRANA,Unknown
MINISTRY OF EDUCATION AND SCIENCE,Albania,TIRANA,Unknown
TIRANA LIBRARIES ADMINISTRATION,Albania,TIRANA,Unknown
CENTRE FOR ECONOMIC AND SOCIAL STUDIES,Albania,TIRANA,Unknown
"MINISTRY OF ECONOMIC DEVELOPMENT, TOURISM, TRADE AND ENTREPRENEURSHIP",Albania,Tirana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TRENKWALDER CIVET 2000 SHPK,Albania,Tirana,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF EDUCATION AND SPORT,Albania,TIRANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF EDUCATION AND SCIENCE,Albania,TIRANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
QENDRA PER MBROJTJEN E TE DREJTAVETE FEMIJEVE SHOQATES,Albania,TIRANA,Other
"""SPITALI UNIVERSITAR I SEMUNDJEVE TE MUSHKERIVE """"SHEFQET NDROQI""""""",Albania,TIRANA,Higher or Secondary Education Establishments
NXITJA E BIZNESIT SOCIAL SHA,Albania,TIRANA,Other
AGJENCIA E SHERBIMIT ARKEOLOGJIK,Albania,TIRANA,Research Organisations
QENDRA E KERKIMEVE DHE PROMOVIMIT TE PEISAZHEVE HISTORIKO-ARKEOLOGJIKE SHQIPTARE,Albania,Tirana,Research Organisations
