name,country,city,businessType
UNIVERSITE DES SCIENCES ET LA TECHNOLOGIE HOUARI BOUMEDIENE,Algeria,ALGER,Higher or Secondary Education Establishments
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE D ALGERIE,Algeria,ALGER,Research Organisations
CENTRE DE RECHERCHE EN ECONOMIE APPLIQUEE POUR LE DEVELOPPEMENT,Algeria,ALGER,Research Organisations
INSTITUT PASTEUR D ALGERIE E.P.I.C.,Algeria,ALGER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE FERHAT ABBAS SETIF 1,Algeria,SETIF,Higher or Secondary Education Establishments
MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE,Algeria,ALGER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRE DE RECHERCHE SCIENTIFIQUE ET TECHNIQUE EN ANALYSES PHYSICO-CHIMIQUES,Algeria,TIPAZA,Research Organisations
SARL NORD SUD VENTURES,Algeria,ALGER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGENCE NATIONALE DE VALORISATION DES RESULTATS DE LA RECHERCHE ET DU DEVELOPPEMENT TECHNOLOGIQUE,Algeria,ALGER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE D'ALGER 2,Algeria,ALGER,Higher or Secondary Education Establishments
UNIVERSITE DE TLEMCEN,Algeria,TLEMCEN,Higher or Secondary Education Establishments
UNIVERSITE D ORAN,Algeria,ORAN,Higher or Secondary Education Establishments
UNIVERSITE DE SIDI BEL-ABBES* DJILLALI LIABES UNIVERSITY,Algeria,SIDI BEL ABBES,Higher or Secondary Education Establishments
Institut National de la Recherche Agronomique d'AlgÃ©rie,Algeria,Alger,Unknown
Institut National d'Etudes SupÃ©rieures en Sciences MÃ©dicales d'Alger,Algeria,Alger,Unknown
Institut National d'Etudes SupÃ©rieures en Sciences MÃ©dicales d'Alger,Algeria,AÃ¯n Taya,Unknown
Institut National de la Recherche ForestiÃšre,Algeria,Cheraga - Alger,Unknown
UniversitÃ© des Sciences et de la Technologie de Blida,Algeria,Blida,Unknown
Ecole Nationale VÃ©tÃ©rinaire,Algeria,El-Harrach (Alger),Unknown
Hopital d'Ain-Taya,Algeria,Ain-Taya - Wilaya de Bourmedes,Unknown
Sonelgaz,Algeria,Alger,Unknown
UniversitÃ© d'Oran Es-Senia,Algeria,Oran,Unknown
Centre de Recherche Scientifiques et Techniques sur les Zones Arides,Algeria,Alger,Unknown
Ecole Nationale Polytechnique D'alger (Enp),Algeria,Algeria,Unknown
INSTITUT TECHNIQUE DES GRANDES CULTURES,Algeria,EL-HARRACH,Unknown
INSTITUT ALGERIEN DU PETROLE,Algeria,BOUMERDES,Unknown
ECOLE NATIONALE POLYTECHNIQUE D'ALGER (ENP),Algeria,ALGERIA,Unknown
Agence Nationale d'ArchÃ©ologie et de Protection des Sites Historiques,Algeria,Alger,Unknown
LABORATOIRE D'ETUDES MARITIMES,Algeria,ALGER,Unknown
SARL SOCIETE SUD TIMMI,Algeria,ADRAR,Unknown
ECOLE POLYTECHNIQUE D'ARCHITECTURE ET D'URBANISME D'ALGER,Algeria,ALGERE,Unknown
"CENTRE HOSPITALIER ET UNIVERSITAIRE BEN BADIS, CONSTANTINE",Algeria,CONSTANTINE,Unknown
KHAN CONSULTANTS SARL,Algeria,BIRKHADEM,Unknown
UNIVERSITE DE CONSTANTINE,Algeria,CONSTANTINE,Unknown
UNIVERSITE D'ORAN ES-SENIA,Algeria,ORAN,Unknown
UNIVERSITY OF SAAD DAHLEB BLIDA,Algeria,BLIDA,Unknown
ECOLE NATIONALE POLYTECHNIQUE D' ALGER,Algeria,EL-HARRACH,Unknown
INSTITUT PASTEUR D'ALGERIE,Algeria,STAOUELI,Unknown
UNIVERSITY DJILLALI LIABES OF SIDI-BEL-ABBES,Algeria,SIDD-BEL-ABBES,Unknown
INSTITUT NATIONAL DE SANTE PUBLIQUE,Algeria,ALGER,Unknown
MINISTERE DE L'AGRICULTURE,Algeria,ALGER,Unknown
CENTRE DE RECHERCHE EN ECONOMIE APPLIQUEE POUR LE DEVELOPPEMENT,Algeria,ALGER,Unknown
NATIONAL HIGH SCHOOL FOR HYDRAULIC STUDIES,Algeria,BLIDA,Unknown
CHAMBER OF AGRICULTURE OF BOUIRA,Algeria,BOUIRA,Unknown
"CABINET BOUSBIA, EXPERTISE, CONSULTATION ET ASSISTANCE",Algeria,ALGER,Unknown
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE D'ALGERIE,Algeria,EL-HARRACH,Unknown
ECOLE NATIONALE SUPÃRIEURE DES SCIENCES DE LA MER ET DE L'AMÃNAGEMENT DU LITTORAL,Algeria,ALGIERS,Unknown
NEW ENERGY ALGERIA SPA,Algeria,ALGIERS,Unknown
ASSOCIATION DE RECHERCHE SUR LE CLIMAT ET L'ENVIRONNEMENT,Algeria,ORAN,Unknown
INSTITUT NATIONAL DE LA MEDECINE VETERINAIRE,Algeria,ALGER,Unknown
UNIVERSITY OF SCIENCE AND TECHNOLOGY MOHAMED BOUDIAF ORAN,Algeria,ORAN,Unknown
CENTRE DE RECHERCHE ET DE DÃVELOPPEMENT DE L'ELECTRICITÃ ET DU GAZ,Algeria,ALGER,Unknown
CENTRE DE DEVELOPPEMENT DES ENERGIES RENOUVELABLES,Algeria,ALGER,Unknown
ECOLE NATIONALE SUPERIEURE DE LÂŽHYDRAULIQUE,Algeria,BLIDA,Unknown
CENTRE DE DEVELOPPEMENT DES ENERGIES RENOUVELABLES,Algeria,ALGIERS,Unknown
AGENCE POUR LA PROMOTION ET LA RATIONALISATION DE L'UTILISATION DE L' NERGIE,Algeria,ALGER,Unknown
AGENCE NATIONALE POUR LA PROMOTION ET LA RATIONALISATION DE L'UTILISATION DE L'ENERGIE,Algeria,ALGERIE,Unknown
BADJI MOKHTAR-ANNABA UNIVERSITY,Algeria,ANNABA,Unknown
CENTRE DE DÃVELOPPEMENT DES ENERGIES RENOUVELABLES,Algeria,ALGER,Unknown
UNIVERSITY OF OUARGLA,Algeria,OUARGLA,Unknown
SOCIÃTÃ ALGERIENNE DE L' ÃLECTRICITÃ ET DU GAZ,Algeria,ALGER,Unknown
UNIVERSITE DE TLEMCEN,Algeria,TLEMCEN,Unknown
"ASSOCIATION ""LES AMIS DU TASSILI""",Algeria,ALGER,Unknown
CENTRE NATIONAL DE RECHERCHE DE PRÃHISTOIRE D'ANTHROPOLOGIE ET D'HISTOIRE,Algeria,ALGER,Unknown
CENTRE HOSPITALO-UNIVERSITAIRE MUSTAPHA,Algeria,ALGIERS,Unknown
ENTERPRISE BELHADJ,Algeria,BLIDA,Unknown
INSTITUT NATIONAL DES SCIENCES DE LA MER ET DE L'AMENAGEMENT DU LITTORAL,Algeria,ALGIERS,Unknown
"SONATRACH (LA SOCIETE NATIONAL POUR LA RECHERCHE, PRODUCTION, LE TRANSPORT, LA TRANSFORMATION ET..)",Algeria,ALGIERS,Unknown
UNIVERSITÃ DES SCIENCES ET DE LA TECHNOLGIE D'ORAN - MOHAMED BOUDIAF,Algeria,ORAN,Unknown
SOCIETE SUD TIMMI SARL,Algeria,ADRAR,Unknown
AGENCE DE BASSIN HYDROGRAPHIQUE CONSTANTINOIS-SEYBOUSSE-MELLEGUE,Algeria,CONSTANTINE,Unknown
ASSOCIATION DE RECHERCHE SUR LE CLIMAT ET L'ENVIRONNEMENT',Algeria,ORAN,Unknown
UNIVERSITÃ M'HAMED BOUGUERRA'-LABORATOIRE DE MATÃRIAUX MINÃRAUX ET COMPOSITES,Algeria,BOURMEDÃS,Unknown
INSTITUT NATIONAL AGRONOMIQUE,Algeria,EL HARRACH,Unknown
INSTITUT PASTEUR D'ALGÃRIE',Algeria,ALGIERS,Unknown
"FACULTÃ DE GÃNIE CIVIL, UNIVERSITY OF SCIENCE AND TECHNOLOGY HOUARI BOUMEDIENE (USTHB)",Algeria,ALGIERS,Unknown
ETABLISSEMENT HOSPITALIER SPÃCIALISÃ DE CHERAGA,Algeria,DELY-BRAHIM ALGER,Unknown
LABORATOIRE VILLES ET PATRIMOINE. DEP.D'ARCHITECTURE ET URBANISM. UNIVERSITÃ MENTOURI DE CONSTANTINE,Algeria,CONSTANTINE,Unknown
CENTRE NATIONAL DE RECHERCHE EN ANTHROPOLOGIE SOCIALE ET CULTURELLE,Algeria,ORAN,Unknown
DJILLALI LIABES UNIVERSITY,Algeria,SIDI BEL ABBES,Unknown
CENTRE DE DÃVÃLOPPEMENT DES ÃNERGIES RENOUVELABLES DE L'ALGÃRIE',Algeria,ALGIERS,Unknown
UNIVERSITÃ DE BOUMERDÃS,Algeria,BOUMERDES,Unknown
MINISTÃRE DE LA CULTURE,Algeria,ALGER,Unknown
CENTRE DE RECHERCHE SCIENTIFIQUE ET TECHNIQUE SUR LES REGIONS ARIDES,Algeria,BISKRA,Unknown
LNSTITUT PASTEUR D'ALGER',Algeria,ALGER,Unknown
CENTRE DE RECHERCHE EN ANTHROPOLOGIE SOCIALE ET CULTURELLE,Algeria,ORAN,Unknown
INSTITUT PASTEUR D'ALGERIE,Algeria,ALGER,Unknown
UNIVERSITE DES SCIENCES ET DE LA TECHNOLOGIE HOUARI BOUMEDIENE,Algeria,ALGIERS,Unknown
CENTRE DE RECHERCHE SUR L'INFORMATION SCIENTIFIQUE ET TECHNIQUE,Algeria,ALGIERS,Unknown
"UNIVERSITÃ MENTOURI, FACULTÃ DES SCIENCES VÃTÃRINAIRES",Algeria,CONSTANTINE,Unknown
CENTRE DE DEVELOPPEMENT DES ENERGIES RENOUVELABLES CDER,Algeria,ALGER,Research Organisations
University Saad Dahlab of Blida,Algeria,Blida,Higher or Secondary Education Establishments
INSTITUT SUPERIEUR DE GESTION ET DE PLANIFICATION,Algeria,ALGIERS,Research Organisations
ASSOCIATION CULTURELLE MBAREK AIT MENGUELLET,Algeria,TIZI OUZOU,Other
CENTRE DE RECHERCHE EN ASTRONOMIE ASTROPHYSIQUE ET GEOPHYSIQUE,Algeria,ALGER,Research Organisations
UNIVERSITE DES SCIENCES ET LA TECHNOLOGIE HOUARI BOUMEDIENE,Algeria,Alger,Higher or Secondary Education Establishments
INSTITUT NATIONAL DE SANTE PUBLIQUE,Algeria,ALGER,Research Organisations
UNIVERSITE D'ALGER 1,Algeria,ALGER,Higher or Secondary Education Establishments
"Association de RÃ©flexion, d'Echanges et d'Actions pour l'Environnement et le DÃ©veloppement",Algeria,Nador,Other
UNIVERSITE DES SCIENCES ET DE LA TECHNOLOGIE D'ORAN,Algeria,ORAN,Higher or Secondary Education Establishments
UNIVERSITE D'ANNABA - LABORATOIRE BIORESSOURCES MARINES,Algeria,ANNABA,Higher or Secondary Education Establishments
CENTRE DE DEVELOPPEMENT DES TECHNOLOGIES AVANCEES,Algeria,ALGER,Higher or Secondary Education Establishments
NEW ENERGY ALGERIA,Algeria,DELY IBRAHIM ALGIERS,Unknown
UNIVERSITE EL H ADJ LAKHDAR BATNA,Algeria,BATNA,Higher or Secondary Education Establishments
CENTRE DE RECHERCHE SUR L INFORMATION SCIENTIFIQUE ET TECHNIQUE,Algeria,ALGER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UniverstÃ© Ferhat Abbas- SÃ©tif- Laboratoire d'Optique AppliquÃ©e,Algeria,SETIF,Higher or Secondary Education Establishments
COMMISSARIAT NATIONAL DU LITTORAL,Algeria,ALGER,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTERE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL,Algeria,ALGIERS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
