name,country,city,businessType
INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,Argentina,BUENOS AIRES,Research Organisations
"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",Argentina,CIUDAD AUTONOMA DE BUENOS AIRES,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"Ministerio de Ciencia, Tecnologia e Innovacion Productiva",Argentina,Buenos Aires,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FUNDACION UNIVERSIDAD DE SAN ANDRES,Argentina,VICTORIA BUENOS AIRES,Higher or Secondary Education Establishments
COMISION NACIONAL DE ENERGIA ATOMICA,Argentina,BUENOS AIRES,Research Organisations
Instituto Nacional de Antropologia y Pensamiento Latinoamericano,Argentina,Ciudad Autónoma de Buenos Aires,Other
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),Argentina,BUENOS AIRES,Research Organisations
UNIVERSIDAD DE BUENOS AIRES,Argentina,BUENOS AIRES,Higher or Secondary Education Establishments
MUNICIPALIDAD DE GENERAL SAN MARTIN,Argentina,SAN MARTIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GOBIERNO DE LA CIUDAD DE BUENOS AIRES,Argentina,CITY OF BUENOS AIRES,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD NACIONAL DE CUYO,Argentina,MENDOZA,Higher or Secondary Education Establishments
ASOCIACION CIVIL POR LA IGUALDAD YLA JUSTICIA A.C.I.J,Argentina,Ciudad Autónoma de Buenos Aires,Other
UNIVERSIDAD TECNOLOGICA NACIONAL,Argentina,CIUDAD AUTONOMA BUENOS AIRES,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL DE LA PLATA,Argentina,LA PLATA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL DE CORDOBA,Argentina,CORDOBA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL DE QUILMES,Argentina,BERNAL,Higher or Secondary Education Establishments
Universidad Provincial del Sudoeste,Argentina,Buenos Aires,Higher or Secondary Education Establishments
"SECRETARIA DE GOBIERNO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA",Argentina,BUENOS AIRES,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UBATEC SA,Argentina,BUENOS AIRES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTO DE INVESTIGACIONES EN CIENCIA Y TECNOLOGIA DE MATERIALES,Argentina,MAR DEL PLATA,Research Organisations
BIG DATA ANALYTICS SA,Argentina,VICENTE LOPEZ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SERVIVERDE S.A.,Argentina,LA PLATA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STREAM SA,Argentina,LA PLATA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
