name,country,city,businessType
AMERICAN UNIVERSITY OF ARMENIA FOUNDATION,Armenia,YEREVAN,Higher or Secondary Education Establishments
INSTITUTE FOR PHYSICAL RESEARCH OF NATIONAL ACADEMY OF SCIENCES OF ARMENIA,Armenia,ASHTARAK,Research Organisations
A I ALIKHANYAN NATIONAL SCIENCE LABORATORY,Armenia,YEREVAN,Research Organisations
NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,Armenia,YEREVAN,Higher or Secondary Education Establishments
YEREVAN STATE MEDICAL UNIVERSITY AFTER MKHITAR HERATSI,Armenia,YEREVAN,Higher or Secondary Education Establishments
ACBA LEASING CREDIT ORGANIZATION CLOSED JOINT STOCK COMPANY,Armenia,YEREVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CAUCASUS CONSULTING GROUP-AM,Armenia,YEREVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF EMERGENCY SITUATIONS,Armenia,Yerevan,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INFORMATION SOCIETY TECHNOLOGIES CENTER,Armenia,YEREVAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTE FOR INFORMATICS AND AUTOMATION PROBLEMS OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,Armenia,YEREVAN,Research Organisations
Yerevan State University,Armenia,Yerevan,Higher or Secondary Education Establishments
EDUCATIONAL AND CULTURAL BRIDGES,Armenia,YEREVAN,Other
CENTER FOR ECOLOGICAL-NOOSPHERE STUDIES NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,Armenia,YEREVAN,Research Organisations
STATE EDUCATIONAL ESTABLISHMENT OF HIGHER PROFESSIONAL EDUCATION RUSSIAN-ARMENIAN (SLAVONIC) UNIVERSITY,Armenia,YEREVAN,Higher or Secondary Education Establishments
SCIENTIFIC AND PRODUCTION CENTER ARMBIOTECHNOLOGY NAS RA,Armenia,YEREVAN,Research Organisations
INVESTMENT SUPPORT CENTER,Armenia,YEREVAN,Other
GROVF LLC,Armenia,YEREVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""""""Matenadaran"""" M.Mashtots Institute of Ancient Manuscripts""",Armenia,YEREVAN,Other
Institute of Radiophysics and Electronics - State Academy of Sciences of Armenian Republic,Armenia,378410 Ashtavak 2,Unknown
State University of Yerevan,Armenia,,Unknown
National Survey for Seismic Protection,Armenia,375054 Yerevan,Unknown
Biotechnology Research Institute of Ministry of Industry of Armenia,Armenia,375056 Erevan,Unknown
Sociological Research Center,Armenia,Yerevan,Unknown
National Institute of Health,Armenia,Yerevan,Unknown
ARMENIAN RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION,Armenia,YEREVAN,Unknown
ARMENIAN AGRICULTURAL ACADEMY,Armenia,YEREVAN,Unknown
ARMATOM,Armenia,YEREVAN,Unknown
INFOSERVICE CO. LTD,Armenia,YEREVAN,Unknown
STATE ENGINEERING UNIVERSITY OF ARMENIA,Armenia,YEREVAN,Unknown
NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,Armenia,YEREVAN,Unknown
NATIONAL SURVEY FOR SEISMIC PROTECTION,Armenia,YEREVAN,Unknown
INSTITUTE OF MICROBIOLOGY - NATIONAL ACADEMY OF SCIENCES OF ARMENIA,Armenia,ABOVIAN,Unknown
MINISTRY OF HEALTH - ARMENIA,Armenia,YEREVAN,Unknown
YEREVAN STATE UNIVERSITY,Armenia,YEREVAN,Unknown
YEREVAN PHYSICS INSTITUTE - MINISTRY OF INDUSTRY OF REPUBLIC OF ARMENIA,Armenia,YEREVAN,Unknown
BIOECOMED NGO,Armenia,YEREVAN,Unknown
INSTITUTE FOR INFORMATICS & AUTOMATION PROBLEMS,Armenia,YEREVAN,Unknown
ARMENIAN RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION,Armenia,Yerevan,Higher or Secondary Education Establishments
CENTRE FOR ECOLOGICAL-NOOSPHERE STUDIES OF THE NATIONAL ACADEMY OF SCIENCES RA,Armenia,YEREVAN,Unknown
FOODLAB SCIENTIFIC AND PRODUCERS SUPPORT,Armenia,YEREVAN,Unknown
INSTITUTE OF FINE ORGANIC CHEMISTRY OF NATIONAL ACADEMY OF SCIENCES,Armenia,YEREVAN,Unknown
SCIENTIFIC TECHNOLOGICAL CENTRE OF ORGANIC AND PHARMACEUTICAL CHEMISTRY OF NATIONAL ACADEMY OF SCINECES OF ARMENIA,Armenia,YEREVAN,Unknown
CENTER OF IDEAS AND TECHNOLOGIES,Armenia,YEREVAN,Unknown
"ARMENIAN SOCIOLOGICAL ASSOCIATION, NGO",Armenia,YEREVAN,Unknown
STATE VETERINARY INSPECTION OF THE REPUBLIC OF ARMENIA,Armenia,YEREVAN,Unknown
INFORMATION SOCIETY TECHNOLOGIES CENTER,Armenia,YEREVAN,Unknown
CRISIS MANAGEMENT INSTITUTE,Armenia,YEREVAN,Unknown
"SCIENTIFIC RESEARCH INSTITUTE OF ENERGY"" CLOSE JOINT STOCK COMPANY",Armenia,YEREVAN,Unknown
H2 ECONOMY CJSC,Armenia,YEREVAN,Unknown
ARMENIAN LIBRARY ASSOCIATION,Armenia,YEREVAN,Unknown
Center of Medical Genetics and Primary Health Care,Armenia,Yerevan,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTER OF IDEAS AND TECHNOLOGIES,Armenia,YEREVAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TECHNOLOGY TRANSFER ASSOCIATION UNION OF JURIDICAL PERSONS,Armenia,YEREVAN,Other
INTERNATIONAL CENTER FOR HUMAN DEVELOPMENT PUBLIC ORGANIZATION,Armenia,YEREVAN,Research Organisations
International Center for Agribusiness Research and Education Foundation,Armenia,YEREVAN,Research Organisations
Synopsys Armenia CJSC,Armenia,Yerevan,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REDINET CJSC,Armenia,YEREVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
State Committee of Science of the Republic of Armenia,Armenia,Yerevan,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SCIENTIFIC RESEARCH INSTITUTE OF ENERGY,Armenia,YEREVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENGINEERING ACADEMY OF ARMENIA NGO,Armenia,YEREVAN,Research Organisations
SCIENCE DEVELOPMENT FOUNDATION OF NAS RA,Armenia,YEREVAN,Other
