name,country,city,businessType
UNIVERSITY OF SOUTH AUSTRALIA,Australia,ADELAIDE,Higher or Secondary Education Establishments
THE UNIVERSITY OF QUEENSLAND,Australia,BRISBANE,Higher or Secondary Education Establishments
WESTERN SYDNEY UNVERSITY,Australia,WERRINGTON NSW,Higher or Secondary Education Establishments
The Flinders University of South Australia,Australia,Adelaide,Higher or Secondary Education Establishments
AARNET PTY LTD,Australia,NORTH RYDE,Other
JAMES COOK UNIVERSITY,Australia,TOWNSVILLE,Higher or Secondary Education Establishments
THE AUSTRALIAN WINE RESEARCH INSTITUTE LIMITED,Australia,URRBRAE SOUTH AUSTRALIA,Research Organisations
UNIVERSITY OF NEW SOUTH WALES,Australia,SYDNEY,Higher or Secondary Education Establishments
UNIVERSITY OF MELBOURNE,Australia,MELBOURNE,Higher or Secondary Education Establishments
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY*RMIT UNIVERSITY,Australia,MELBOURNE,Higher or Secondary Education Establishments
BUSHFIRE AND NATURAL HAZARDS CRC LIMITED,Australia,EAST MELBOURNE,Research Organisations
DEAKIN UNIVERSITY,Australia,GEELONG VICTORIA,Higher or Secondary Education Establishments
UNIVERSITY OF TASMANIA,Australia,Hobart,Higher or Secondary Education Establishments
CHARLES STURT UNIVERSITY,Australia,BATHURST,Higher or Secondary Education Establishments
MURDOCH CHILDRENS RESEARCH INSTITUTE,Australia,PARKVILLE,Research Organisations
THE AUSTRALIAN NATIONAL UNIVERSITY,Australia,CANBERRA,Higher or Secondary Education Establishments
QUEENSLAND UNIVERSITY OF TECHNOLOGY - QLD QUT,Australia,BRISBANE,Higher or Secondary Education Establishments
THE UNIVERSITY OF ADELAIDE,Australia,ADELAIDE,Higher or Secondary Education Establishments
DEPARTMENT OF INDUSTRY,Australia,CANBERRA CITY ACT,Research Organisations
THE UNIVERSITY OF WESTERN AUSTRALIA,Australia,CRAWLEY,Higher or Secondary Education Establishments
THE UNIVERSITY OF SYDNEY,Australia,SYDNEY,Higher or Secondary Education Establishments
UNIVERSITY OF WOLLONGONG,Australia,WOLLONGONG NSW,Higher or Secondary Education Establishments
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,ACTON ACT,Research Organisations
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,Australia,LUCAS HEIGHTS,Research Organisations
BRESMEDICAL PTY LTD,Australia,INGLEBURN NSW,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF TECHNOLOGY SYDNEY,Australia,SYDNEY,Higher or Secondary Education Establishments
AUSTRALIAN ACADEMY OF TECHNOLOGICAL SCIENCES AND ENGINEERING LIMITED,Australia,MELBOURNE VIC,Other
LA TROBE UNIVERSITY,Australia,LA TROBE UNIVERSITY,Higher or Secondary Education Establishments
UNIVERSITY OF THE SUNSHINE COAST,Australia,SIPPY DOWNS,Higher or Secondary Education Establishments
CURTIN UNIVERSITY OF TECHNOLOGY,Australia,PERTH,Higher or Secondary Education Establishments
CHILDREN'S MEDICAL RESEARCH INSTITUTE,Australia,"WESTMEAD, NEW SOUTH WALES",Research Organisations
NATIONAL ICT AUSTRALIA LIMITED,Australia,EVELEIGH,Research Organisations
ST. VINCENT'S HOSPITAL (MELBOURNE)LIMITED,Australia,MELBOURNE,Research Organisations
GRIFFITH UNIVERSITY,Australia,BRISBANE,Higher or Secondary Education Establishments
MATES IN CONSTRUCTION (AUST) LTD,Australia,SPRING HILL,Other
BLACK DOG INSTITUTE,Australia,RANDWICK,Research Organisations
MACQUARIE UNIVERSITY,Australia,Sydney,Higher or Secondary Education Establishments
MONASH UNIVERSITY,Australia,VICTORIA,Higher or Secondary Education Establishments
Queensland Museum,Australia,South Brisbane,Other
CANCER COUNCIL VICTORIA,Australia,MELBOURNE VICTORIA,Research Organisations
University of Newcastle,Australia,Callaghan,Higher or Secondary Education Establishments
Australian Antarctic Division,Australia,Kingston,Other
CALIX LTD,Australia,PYMBLE NSW,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Victoria University,Australia,Footscray,Higher or Secondary Education Establishments
SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,VICTORIA,Higher or Secondary Education Establishments
Edith Cowan University,Australia,Joondalup,Higher or Secondary Education Establishments
SWICK MINING SERVICES LTD,Australia,PERTH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AUSTRALIAN MUSEUM,Australia,Sydney,Research Organisations
AUSTRALIAN CATHOLIC UNIVERSITY LIMITED,Australia,NORTH SYDNEY,Other
DIABETES VICTORIA,Australia,MELBOURNE,Other
Australian and New Zealand Dialysis and Transplant (ANZDATA) Registry,Australia,Adelaide,Other
CEREBRAL PALSY ALLIANCE,Australia,SYDNEY,Other
BAKER HEART AND DIABETES INSTITUTE,Australia,MELBOURNE,Research Organisations
ANZAC Health & Medical Research Foundation,Australia,CONCORD NSW,Other
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH,Australia,HERSTON,Research Organisations
RUBICON SYSTEMS AUSTRALIA PTY LTD,Australia,MELBOURNE VIC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIRCHIP CROPPING GROUP INC,Australia,VICTORIA,Other
University of New England,Australia,Armidale,Higher or Secondary Education Establishments
DEPARTMENT OF BIODIVERSITY CONSERVATION AND ATTRACTIONS,Australia,BENTLEY DELIVERY CENTRE,Research Organisations
AL MUDERIS MUNJED,Australia,MILSONS POINT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WATER TECHNOLOGY PTY LTD,Australia,NOTTING HILL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH PUBLIC COMPANYLIMITED BY GUARANTEE,Australia,PARKVILLE,Research Organisations
FEDERATION UNIVERSITY AUSTRALIA,Australia,BALLARAT,Higher or Secondary Education Establishments
Intersect Australia Limited,Australia,Sydney,Other
Museums Victoria,Australia,Melbourne,Other
Australian Institute of Marine Science,Australia,TOWNSVILLE,Research Organisations
University of Sydney,Australia,Sydney,Unknown
University of New South Wales,Australia,Sydney,Unknown
Baltel 2010 Pty Ltd,Australia,Ballarat Vic,Unknown
University of Ballarat,Australia,Ballarat,Unknown
Oztrak Australia Pty Ltd,Australia,Ballarat,Unknown
UNIVERSITY OF NEW SOUTH WALES,Australia,UNIVERSITY OF NEW SOUTH,Unknown
"University of Technology ,Sydney",Australia,Sydney,Unknown
University of New South Wales,Australia,Sidney,Unknown
Telstra,Australia,,Unknown
University of Queensland,Australia,St. Lucia,Unknown
University of Mac Quarie,Australia,North Ryde NSW,Unknown
Commonwealth Scientific and Industrial Research Organisation,Australia,Glen Osmond,Unknown
James Cook University of North Queensland,Australia,Townsville - Queensland,Unknown
Cooperative Research Centre for Cardiac Technology,Australia,St. Leonards - Sidney - NSW,Unknown
Commonwealth Scientific and Industrial Research Organization,Australia,Urrbrae - South Australia,Unknown
University of Western Australia,Australia,Perth - Newlands,Unknown
Commonwealth Scientific and Industrial Research Organisation,Australia,North Ryde,Unknown
Vecchiet Smallgoods Pty Ltd,Australia,Lismore,Unknown
Australian Meat Technology Pty Ltd,Australia,Rocklea,Unknown
The Smart Company,Australia,Fremantle,Unknown
Australian Wool Exchange Limited,Australia,Sydney,Unknown
THE DEPARTMENT OF AGRICULTURE - STATE OF NEW SOUTH WALES,Australia,ORANGE NSW,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,"EPPING, NSW",Unknown
UNIVERSITY OF MURDOCH,Australia,MURDOCH,Unknown
TECHNOLOGY PARK WESTERN AUSTRALIA,Australia,BENTLEY,Unknown
THE AUSTRALIAN NATIONAL UNIVERSITY,Australia,CANBERRA ACT,Unknown
DELEGATION DE L'ALLIANCE FRANÃAISE AUSTRALIE,Australia,CANBERRA,Unknown
AUSTRALIAN CENTRE FOR RENEWABLE ENERGY,Australia,MURDOCH,Unknown
INTERNATIONAL KNOWLEDGE DISCOVERY INSTITUTE PTY.LTD.,Australia,BRISBANE QUEENSLAND,Unknown
UNIVERSITY OF WOLLONGONG,Australia,WOLLONGONG,Unknown
UNIVERSITY OF NEW SOUTH WALES,Australia,CANBERRA,Unknown
CURTIN UNIVERSITY OF TECHNOLOGY,Australia,PERTH,Unknown
GRIFFITH UNIVERSITY,Australia,QUEENSLAND,Unknown
CENTRE FOR OBJECT TECHNOLOGY APPLICATIONS AND RESEARCH,Australia,NSW,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,ASPENDALE,Unknown
ROYAL PERTH HOSPITAL,Australia,PERTH,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,GLEN WAVERLEY,Unknown
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH,Australia,BRISBANE,Unknown
COOPERATIVE RESEARCH CENTRE FOR ADVANCED COMPOSITE STRUCTURES LTD,Australia,"FISHERMANS BEND, VICTORIA",Unknown
THE UNIVERSITY OF MELBOURNE,Australia,FITZROY VICTORIA,Unknown
ENTIGEN PTY LTD,Australia,EVELEIGH,Unknown
SOCIAL CHANGE ONLINE PTY LTD,Australia,ANNANDALE,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,CAMPBELL,Unknown
THE UNIVERSITY OF MELBOURNE,Australia,PARKVILLE VICTORIA,Unknown
"SFL STAHL, FASSADEN UND LUFTUNGSBAU GMBH",Australia,STALLHOFEN,Unknown
UNIVERSITY OF TASMANIA,Australia,TASMAN ISLAND,Unknown
EDITH COWAN UNIVERSITY,Australia,"CHURCHLANDS 6018, WESTERN AUSTRALIA",Unknown
FURNISHING INDUSTRY ASSOCIATION OF AUSTRALIA,Australia,SOUTH MELBOURNE,Unknown
UNIVERSITY OF QUEENSLAND,Australia,BRISBANE,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,"HIGHETT, VICTORIA",Unknown
UNIVERSITY OF SYDNEY,Australia,CAMPERDOWN,Unknown
CENTRE FOR MOLECULAR BIOLOGY AND MEDICINE,Australia,"RICHMOND, MELBOURNE",Unknown
UNIVERSITY OF SOUTHERN QUEENSLAND,Australia,QUEENSLAND,Unknown
EDUCATION. AU LIMITED,Australia,DULWICH,Unknown
AUSTRALIAN NATIONAL UNIVERSITY,Australia,CANBERRA,Unknown
MACQUARIE UNIVERSITY,Australia,SYDNEY - AUSTRALIA,Unknown
THE UNIVERSITY OF QUEENSLAND,Australia,"BRISBANE, QUEENSLAND",Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,TARINGA QLD,Unknown
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Australia,CANBERRA,Unknown
AUSTRALIAN WOOL INNOVATION IIMITED,Australia,SYDNEY,Unknown
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY,Australia,MELBOURNE,GOV
JAMES COOK UNIVERSITY,Australia,TOWNSVILLE,Unknown
"RESEARCH SCHOOL OF BIOLOGICAL SCIENCES, THE INSTITUTE OF ADVANCED STUDIES, THE AUSTRALIAN NATIONAL UNIVERSITY",Australia,CANBERRA ACT,Unknown
