name,country,city,businessType
PRESIDIUM OF AZERBAIJAN NATIONAL ACADEMY OF SCIENCES,Azerbaijan,BAKU,Higher or Secondary Education Establishments
STATE OIL COMPANY OF THE AZERBAIJAN REPUBLIC INVESTMENT DIVISION,Azerbaijan,BAKU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"NATIONAL NUCLEAR RESEARCH CENTER CJSC UNDER MINISTRY OF TRANSPORT, COMMUNICATIONS AND HIGH TECHNOLOGIES OF THE REPUBLIC OF AZERBAIJAN",Azerbaijan,BAKU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Geology Institute of Azerbaijan National Academy of Sciences,Azerbaijan,Baku,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AZERBAYCAN FUTBOL FEDERASIYALARI ASSOSIYALARI ICTIMAI BIRLIK,Azerbaijan,BAKU,Other
AZERBAYCANDA VETENDAS CEMIYYETINININKISAFINA YARDIM ASSOSIASIYASI,Azerbaijan,BAKU,Other
AZERBAIJAN FOOD SAFETY AGENCY,Azerbaijan,Baku,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MILLI ONKOLOGIYA MERKEZI,Azerbaijan,BAKU,Research Organisations
AZERBAYCAN RESPUBLIKASININ PREZIDENTI YANINDA ELMIN INKISAFI FONDU,Azerbaijan,BAKU,Other
Baku State University,Azerbaijan,Baku,Higher or Secondary Education Establishments
SHAMAKHY ASTROPHYSICAL OBSERVATORYOF NATIONAL ACADEMY OF SCIENCES OF AZERBAIJAN,Azerbaijan,BAKU,Research Organisations
AZERBAYCAN MILLI ELMLER AKADEMIYASININ ARXEOLOGIYA VE ETNOGRAFIYA INSTITUTU,Azerbaijan,BAKU,Research Organisations
Azerbaijan State Committee for Hydrometeorology,Azerbaijan,Baku,Unknown
Institute of Inorganic and Physical Chemistry - Azerbaijan Academy of Sciences,Azerbaijan,Baku,Unknown
Institute of Molecular Biology and Biotechnology - Azerbaijan Academy of Science,Azerbaijan,370073 Baku,Unknown
CENTRE OF THE CASPIAN SEA PROBLEMES,Azerbaijan,BAKU,Unknown
ENVIRONMENTAL REHABILITATION OF SUMGAYIT CENTRE ECOPARK,Azerbaijan,SUMGAYIT,Unknown
MINISTRY OF HEALTH - AZERBEIDJAN,Azerbaijan,BAKU,Unknown
BAKU SCIENTIFIC AND TRAINING CENTER,Azerbaijan,BAKU,Unknown
AZERBAIJAN RESEARCH AND EDUCATIONAL NETWORKS ASSOCIATION,Azerbaijan,Baku,Research Organisations
"INSTITUTE OF PHYSICS, AZERBAIJAN NATIONAL ACADEMY OF SCIENCES",Azerbaijan,BAKU,Unknown
AZERBAIJAN AGRICULTURAL ACADEMY,Azerbaijan,GANJA CITY,Unknown
"SCIENTIFIC-RESEARCH INSTITUTE OF GEOTECHNOLOGICAL PROBLEMS OF OIL, GAS AND CHEMISTRY",Azerbaijan,BAKU,Unknown
EUROPEAN CENTRE ON TRAINING AND INFORMATION OF LOCAL AND REGIONAL AUTHORITIES,Azerbaijan,BAKU,Unknown
AZERBAIJAN RESEARCH INSTITUTE OF ENERGETICS AND ENERGY DESIGN,Azerbaijan,BAKU,Unknown
AZ-ROS-MONTAGE LIMITED,Azerbaijan,BAKU,Unknown
INSTITUTE OF RADIATION PROBLEMS OF AZERBAIJAN NATIONAL ACADEMY OF SCIENCES,Azerbaijan,BAKU,Unknown
Transparency-Azerbaijan Anti-Corruption Public Association,Azerbaijan,Baku,Other
KHAZAR UNIVERSITY,Azerbaijan,BAKU,Higher or Secondary Education Establishments
MILLI VE BEYNELXALQ ARASDIRMALAR MERKEZI ASSOCIATION,Azerbaijan,BAKU,Research Organisations
AZERBAIJAN SCIENTIFIC RESEARCH INSTITUTE OF ECONOMY AND ORGANIZATION OF AGRICULTURE,Azerbaijan,BAKU,Research Organisations
AZERBAIJAN RESEARCH AND EDUCATIONAL NETWORKS ASSOCIATION,Azerbaijan,BAKU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
R.I.T.A. LLC,Azerbaijan,Baku,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Ministry of Education of the Azerbaijan Republic,Azerbaijan,Baku,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AZERBAIJAN NATIONAL ACADEMY OF SCIENCES INSTITUTE OF PHYSICS,Azerbaijan,BAKU,Research Organisations
TAMIZ ISTEHSALAT VA ENERJI EFFEKTIVLIYI MARKAZI ICTIMAI BIRLIYI,Azerbaijan,BAKU,Research Organisations
Sumgayit Center for Environmental Rehabilitation,Azerbaijan,SUMGAYIT,Other
INSTITUTE OF GEOGRAPHY NAMED H A ALIYEV NATIONAL ACADEMY OF SCIENCES OF AZERBAIJAN,Azerbaijan,BAKU,Higher or Secondary Education Establishments
