name,country,city,businessType
BGMEA INSTITUTE OF FASHION & TECHNOLOGY,Bangladesh,DHAKA,Higher or Secondary Education Establishments
ARK FOUNDATION,Bangladesh,DHAKA,Other
BRAC UNIVERSITY,Bangladesh,DHAKA,Higher or Secondary Education Establishments
INTERNATIONAL CENTRE FOR DIARRHOEAL DISEASE RESEARCH BANGLADESH,Bangladesh,DHAKA,Research Organisations
UNIVERSITY OF DHAKA,Bangladesh,Dhaka,Higher or Secondary Education Establishments
International Centre for Diarrhoeal Disease Research,Bangladesh,Dhaka,Unknown
University of Dhaka,Bangladesh,Dhaka,Unknown
Bangladesh Agricultural Research Institute,Bangladesh,Gazipur,Unknown
Bangladesh Rice Research Institute,Bangladesh,Gazipur,Unknown
BANGLADESH AGRICULTURAL UNIVERSITY,Bangladesh,MYMENSINGH,Unknown
Bangladesh Agricultural University,Bangladesh,Mymensingh,Unknown
NATIONAL INSTITUTE OF PREVENTIVE AND SOCIAL MEDICINE,Bangladesh,DACCA,Unknown
UBINIG - POLICY RESEARCH FOR DEVELOPMENT ALTERNATIVE PRIVATE LTD,Bangladesh,DACCA,Unknown
BANGLADESH RURAL ADVANCEMENT COMMITTEE,Bangladesh,DACCA,Unknown
BANGLASESH CENTRE FOR ADVANCED STUDIES,Bangladesh,DACCA,Unknown
DATA INTERNATIONAL LIMITED,Bangladesh,DACCA,Unknown
GONOSHASTHAYA KENDRA,Bangladesh,SAVAR,Unknown
BANGLADESH COLLEGE OF LEATHER TECHNOLOGY,Bangladesh,DACCA,Unknown
LEATHER RESEARCH INSTITUTE OF BANGLADESH COUNCIL FOR SCIENTIFIC AND INDUSTRIAL RESEARCH,Bangladesh,DHAKA,Unknown
BANGLADESH AGRICULTURAL RESEARCH INSTITUTE,Bangladesh,GAZIPUR,Unknown
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bangladesh,DHAKA,Unknown
NGO FORUM FOR DRINKING WATER SUPPLY AND SANITATION,Bangladesh,DACCA,Unknown
"INTERNATIONAL CENTRE FOR DIARRHOEAL DISEASE RESEARCH, BANGLADESH",Bangladesh,DHAKA,Unknown
DIABETIC ASSOCIATION OF BANGLADESH (BIRDEM),Bangladesh,DHAKA,Unknown
BANGLADESH UNIVERSITY OF ENGINEERING & TECHNOLOGY,Bangladesh,DHAKA,Unknown
"International Centre for Diarrhoeal Disease Research, Bangladesh",Bangladesh,DHAKA,Unknown
PATUAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,Bangladesh,PATUAKHALI,Higher or Secondary Education Establishments
INSTITUTE OF WATER MODELLING,Bangladesh,DHAKA,Research Organisations
BRAC SOCIETY,Bangladesh,DHAKA,Research Organisations
KHULNA UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bangladesh,KHULNA,Higher or Secondary Education Establishments
DHAKA CITY CORPORATION,Bangladesh,DHAKA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bangladesh,DHAKA,Higher or Secondary Education Establishments
BANGLADESH CENTRE FOR ADVANCED STUDIES ASSOCIATION,Bangladesh,DHAKA,Research Organisations
BANGLADESH AGRICULTURAL UNIVERSITY,Bangladesh,MYMENSINGH,Higher or Secondary Education Establishments
BANGLADESH FISHERIES RESEARCH FORUM,Bangladesh,DHAKA,Other
DIABETIC ASSOCIATION OF BANGLADESH - DAB,Bangladesh,DHAKA,Research Organisations
