name,country,city,businessType
BELARUSIAN STATE UNIVERSITY,Belarus,MINSK,Higher or Secondary Education Establishments
ASSOTSIATSIYA OBRAZOVANIE DLYA USTOJCHIVOGO RAZVITIYA,Belarus,MINSK,Other
B.I. Stepanov Institute of Physics of the National Academy of Sciences of Belarus,Belarus,Minsk,Research Organisations
NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Research Organisations
BELARUSSKY GOSUDARSTVENNIY UNIVERSITET INFORMATIKI I RADIOELEKTRONIKI,Belarus,MINSK,Higher or Secondary Education Establishments
SSPA SCIENTIFIC AND PRACTICAL MATERIALS RESEARCH CENTRE OF NAS OF BELARUS,Belarus,MINSK,Research Organisations
Academy of Public Administration under the President of the Republic of Belarus,Belarus,Minsk,Higher or Secondary Education Establishments
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND INFORMATION SUPPORT OF SCIENTIFIC AND TECHNICAL SPHERE,Belarus,MINSK,Research Organisations
INSTITUT JADERNYH PROBLEM BELORUSSKOGO GOSUDARSTVENNOGO UNIVERSITETA,Belarus,MINSK,Research Organisations
BELORUSSKIY GOSUDARSTVENNIY TEHNOLOGICHESKIY UNIVERSITET,Belarus,MINSK,Higher or Secondary Education Establishments
FRANCISK SKORINA GOMEL STATE UNIVERSITY,Belarus,GOMEL,Higher or Secondary Education Establishments
BELARUSIAN STATE UNIVERSITY THE RESEARCH INSTITUTE OF PHYSICAL CHEMICAL PROBLEMS,Belarus,MINSK,Research Organisations
LOCAL FOUNDATION FOR PROMOTION OF INTERNATIONAL DIALOGUE AND COOPERATION INTERAKCIA,Belarus,MINSK,Other
STATE BORDER COMMITTEE OF THE REPUBLIC OF BELARUS,Belarus,MINSK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
POLOTSK STATE UNIVERSITY,Belarus,NOVOPOLOTSK,Higher or Secondary Education Establishments
ADANI,Belarus,MINSK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE EDUCATIONAL-RESEARCH INSTITUTION CENTER FOR THE STUDY OF PUBLIC ADMINISTRATION SYMPA,Belarus,MINSK,Research Organisations
SOL INSTRUMENTS LTD,Belarus,MINSK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Institute of Biophysics and Cell Engineering, National Academy of Sciences of Belarus",Belarus,Minsk,Research Organisations
THE STATE SCIENTIFIC INSTITUTION THE INSTITUTE OF  MATHEMATICS OF THE  NATIONAL ACADEMY  OF SCIENCES OF BELARUS,Belarus,MINSK,Higher or Secondary Education Establishments
UNITED INSTITUTE OF INFORMATICS PROBLEMS OF NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BELARUSIAN NATIONAL TECHNICAL UNIVERSITY,Belarus,MINSK,Higher or Secondary Education Establishments
YANKA KUPALA STATE UNIVERSITY OF GRODNO,Belarus,GRODNO,Higher or Secondary Education Establishments
"JOINT-STOCK COMMERCIAL BANK ""INFOBANK"", MINSK",Belarus,MINSK,Unknown
Minsk State Medical Institute,Belarus,Minsk,Unknown
Academy of Sciences of Belarus,Belarus,Minsk,Unknown
Institute of Genetics and Cytology - Belarus Academy of Sciences,Belarus,Minsk,Unknown
Belarussian Research Institute for Epidemiology and Microbiology,Belarus,Minsk,Unknown
Institute of Bioorganic Chemistry - Academy of Sciences of Belarus,Belarus,Minsk,Unknown
B.I. STEPANOV INSTITUTE OF PHYSICS - NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Unknown
Chemical Physics Technologies Research Development Enterprise,Belarus,Minsk,Unknown
P.A. Minsk Tractors Works,Belarus,Minsk,Unknown
Belarusian State University,Belarus,Minsk,Unknown
Minsk State Medical University,Belarus,220600 Minsk,Unknown
RESEARCH AND CLINICAL INSTITUTE OF RADIATION MEDICINE AND ENDOCRINOLOGY,Belarus,MINSK,Unknown
The Committee for Hydrometeorology ofthe Ministry for Emergencies and Population Protection from Chernobyl o Re,Belarus,220023 Minsk,Unknown
"M P ""Niero""",Belarus,Minsk,Unknown
Research Institute of Radiology,Belarus,Gomel,Unknown
Belarusian Centre for Medical Technologies,Belarus,Minsk,Unknown
SCIENTIFIC AND RESEARCH INSTITUTE FOR PHYSICAL AND CHEMICAL PROBLEMS,Belarus,MINSK,Unknown
Belarus Academy of Science,Belarus,,Unknown
Scientific Centre for Oncological Pathology of the Thyroid Gland,Belarus,Minsk,Unknown
"Specialised Office ""Transneftediagnostica""",Belarus,Gomel,Unknown
INSTITUTE OF MACHINE RELIABILITY OF ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Unknown
Institute of Applied Physics - Academy of Sciences of Belarus,Belarus,Minsk,Unknown
EKMO - Scientific and Engineering Firm,Belarus,Minsk,Unknown
Belorussian State Technological University,Belarus,220630 Minsk,Unknown
Academy of Sciences of Belarus,Belarus,230023 Grodno,Unknown
Institute of Solid State and Semiconductor Physics - Academy of Sciences ofBelarus,Belarus,Minsk,Unknown
Institute of Forest - Belorussian Academy of Science,Belarus,Gomel,Unknown
Belarussian State Polytechnical Academy,Belarus,Minsk,Unknown
Academy of Sciences of Belarus,Belarus,Vitebsk,Unknown
Belorussian Agricultural Academy,Belarus,Gorki,Unknown
European Humanitarian University Minsk,Belarus,Minsk 24,Unknown
"Joint-Stock Commercial Bank ""Infobank"", Minsk",Belarus,Minsk,Unknown
Integral,Belarus,Minsk,Unknown
Belarussky Gosudarstvenniy Universitet Informatiki I Dadioelektroniki / Belarussian State University of Informatics and Radio-Electronics,Belarus,Minsk,Unknown
Belmicrosystems,Belarus,Minsk,Unknown
Research and Clinical Institute of Radiation Medicine and Endocrinology,Belarus,Minsk,Unknown
Research Institute of Oncology and Medical Radiology,Belarus,Minsk,Unknown
Institute of Radioecological Problems- Belarussian Academy of Sciences,Belarus,220 002 Minsk,Unknown
Institute of Geological Sciences - National Academy of Sciences of Belarus,Belarus,Minsk,Unknown
Institute of General & Inorganic Chemistry - National Academy of Sciences of Belarus,Belarus,Minsk,Unknown
Plant Udarnik,Belarus,Minsk,Unknown
Tieplotrans Ltd.,Belarus,220056 Gomel,Unknown
Laura Ltd.,Belarus,Minsk,Unknown
B.I. Stepanov Institute of Physics - National Academy of Sciences of Belarus,Belarus,Minsk,Unknown
"BELARUSSIAN CENTER FOR MEDICAL TECHNOLOGIES, COMPUTER SYSTEMS, ADMINISTRATION AND MANAGEMENT OF HEALTH",Belarus,MINSK,Unknown
BELARUSIAN STATE UNIVERSITY,Belarus,MINSK,Unknown
BELARUSSKY GOSUDARSTVENNIY UNIVERSITET INFORMATIKI I RADIOELEKTRONIKI,Belarus,MINSK,Unknown
EXPERIMENTAL PRODUCTION COMPANY,Belarus,MINSK,Unknown
BELARUS STATE UNIVERSITY,Belarus,MINSK,Unknown
PRODUCTION ASSOCIATION POLYMIR,Belarus,MOVOPOLOTSK,Unknown
NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Unknown
POWER METALLURGY RESEARCH INSTITUTE,Belarus,MINSK,Unknown
BELORUSSIAN DUTCH HEALTH INFORMATION CENTRE,Belarus,GOMEL,Unknown
BELARUSSIAN RESEARCH INSTITUTE FOR EPIDEMIOLOGY AND MICROBIOLOGY,Belarus,MINSK,Unknown
BELARUS INSTITUTE OF HERIDITARY DISEASE - ACADEMY OF MEDICAL SCIENCES,Belarus,MINSK,Unknown
EUROPEAN HUMANITIES UNIVERSITY MINSK,Belarus,MINSK,Unknown
CENTRE OF INFORMATION TECHNOLOGY - CIT,Belarus,MINSK,Unknown
CENTRE OF INFORMATION TECHNOLOGY,Belarus,MINSK,Unknown
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND SCIENCE AND TECHNOLOGY INFORMATION SUPPORT,Belarus,MINSK,Unknown
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND INFORMATION SUPPORT OF SCIENCE AND TECHNOLOGY SPHERE,Belarus,MINSK,Unknown
JOINT INSTITUTE FOR POWER & NUCLEAR RESEARCH-SOSNY,Belarus,MINSK,Unknown
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND INFORMATION SUPPORT OF SCIENTIFIC AND TECHNICAL SPHERE,Belarus,MINSK,Unknown
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND INFORMATION SUPPORT OF SCIENCE AND TECHNICAL SPHERE,Belarus,MINSK,Unknown
"SCIENTIFIC-TECHNOLOGICAL PARK AT THE BELARUSIAN NATIONAL TECHNICAL UNIVERSITY ""METOLIT""",Belarus,MINSK,Unknown
"POWDER METALLURGY INSTITUTE, NATIONAL ACADEMY OF SCIENCES OF BELARUS",Belarus,MINSK,Unknown
BELARUSIAN INSTITUTE OF SYSTEM ANALYSIS AND SCIENCE & TECHNOLOGY INFORMATION SUPPORT,Belarus,MINSK,Unknown
BI STEPANOV INSTITUTE OF PHYSICS OF,Belarus,MINSK,Unknown
B.I. STEPANOV INSTITUTE OF PHYSICS OF THE NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Unknown
BELARUSIAN RESAERCH CENTER FOR PEDIATRIC ONCOLOGY AND HEMATOLOGY OF MINISTRY OF HEALTH OF BELARUS,Belarus,MINSK REGION,Unknown
"NATIONAL RESEARCH AND APPLIED MEDICINE CENTER ""MOTHER AND CHILD""",Belarus,MINSK,Unknown
SCIENTIFIC-PRACTICAL CENTRE NATIONAL ACADEMY OF SCIENCES OF BELARUS FOR BIOLOGICAL RESOURCES,Belarus,MINSK,Unknown
"JOINT INSTITUTE OF POWER AND NUCLEAR RESEARCH - ""SOSNY"" OF NATIONAL ACADEMY OF SCIENCES OF BELARUS",Belarus,MINSK,Unknown
BI STEPANOV INSTITUTE OF PHYSICS OF THE NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,,Unknown
"CENTER OF WORLD ECONOMY AND INTERNATIONAL ECONOMIC RELATIONS RESEARCH OF THE INSTITUTE OF ECONOMY, THE ACADEMY OF SCIENCES OF THE REPUBLIC OF BELARUS",Belarus,MINSK,Unknown
NATIONAL CENTER OF INFORMATIONAL RESOURCES AND TECHNOLOGIES,Belarus,Minsk,Unknown
CENTRE OF INFORMATION TECHNOLOGY - CIT,Belarus,,Unknown
THE CENTRALIZED SYSTEM OF STATE PUBLIC LIBRARIES OF MINSK,Belarus,MINSK,Unknown
INSTITUTE OF MOLECULAR AND ATOMIC PHYSICS OF THE NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Unknown
THE INSTITUTE OF SOLID STATE AND SEMICONDUCTOR PHYSICS OF BELARUS NATIONAL ACADEMY OF SCIENCE,Belarus,MINSK,Unknown
THE REPUBLICAN RESEARCH CENTER FOR RADIATION MEDICINE AND HUMAN ECOLOGY INSTITUTION,Belarus,GOMEL,Research Organisations
STATE SCIENTIFIC INSTITUTION POWDER METALLURGY INSTITUTE,Belarus,MINSK,Research Organisations
BELARUSSIAN STATE MEDICAL UNIVERSITY,Belarus,Minsk,Higher or Secondary Education Establishments
BELARUSIAN INNOVATIVE FUND,Belarus,MINSK,Other
SCIENTIFIC AND PRACTICAL CENTER FOR FOODSTUFFS OF THE NATIONAL ACADEMY OF SCIENCES OF BELARUS,Belarus,MINSK,Research Organisations
RESEARCH CENTER OF THE INSTITUTE FOR PRIVATIZATION AND MANAGEMENT,Belarus,MINSK,Research Organisations
SCIENTIFIC AND TECHNOLOGICAL ASSOCIATION INFOPARK,Belarus,MINSK,Research Organisations
State Institute of Management and Social Technologies of Belarusian State University,Belarus,Minsk,Research Organisations
A. V. LUIKOV HEAT AND MASS TRANSFERINSTITUTE OF THE NATIONAL ACADEMYOF SCIENCES OF BELARUS,Belarus,Minsk,Higher or Secondary Education Establishments
MINSK REPUBLICAN UNITARY ELECTRIC POWER ENTREPRISE MINSKENERGO,Belarus,MINSK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EDUCATIONAL ESTABLISHMENT BELARUSIAN STATE AGRARIAN TECHNICAL UNIVERSITY,Belarus,MINSK,Higher or Secondary Education Establishments
