name,country,city,businessType
VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.,Belgium,MOL,Research Organisations
CREVIS,Belgium,BRUXELLES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TIME.LEX,Belgium,BRUSSEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOLIDAR,Belgium,BRUXELLES,Other
UNIVERSITEIT ANTWERPEN,Belgium,ANTWERPEN,Higher or Secondary Education Establishments
UNIVERSITEIT GENT,Belgium,GENT,Higher or Secondary Education Establishments
VOXDALE BVBA,Belgium,WIJNEGEM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE CATHOLIQUE DE LOUVAIN,Belgium,LOUVAIN LA NEUVE,Higher or Secondary Education Establishments
VRIJE UNIVERSITEIT BRUSSEL,Belgium,BRUSSEL,Higher or Secondary Education Establishments
SWEET BEE,Belgium,LEUVEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LUCEDA,Belgium,DENDERMONDE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN HYDROGEN ASSOCIATION,Belgium,SAINT-JOSSE-TEN-NOODE,Other
THALES ALENIA SPACE BELGIUM S.A.,Belgium,MONT SUR MARCHIENNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LASERLAB-EUROPE,Belgium,BRUSSELS,Other
UNIVERSITE LIBRE DE BRUXELLES,Belgium,BRUXELLES,Higher or Secondary Education Establishments
INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,Belgium,LEUVEN,Research Organisations
DE VLAAMSE RADIO EN TELEVISIEOMROEPORGANISATIE NV,Belgium,BRUSSEL,Other
Service Public Federal de Programmation Politique Scientifique (Belspo),Belgium,BRUSSELS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EUROPEAN ENVIRONMENTAL CITIZENS ORGANISATION FOR STANDARDISATION,Belgium,BRUXELLES,Other
GREENOVATE ! EUROPE,Belgium,BRUXELLES,Other
Ducatt NV,Belgium,Lommel,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN NETWORK FOR ACCESSIBLE TOURISM ASBL,Belgium,BRUXELLES,Other
AVESTA BATTERY & ENERGY ENGINEERING,Belgium,GANSHOREN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERGY MATERIALS INDUSTRIAL RESEARCH INITIATIVE AISBL,Belgium,BRUXELLES,Other
UNIVERSITE DE LIEGE,Belgium,LIEGE,Higher or Secondary Education Establishments
EUROPEAN PARENTS ASSOCIATION,Belgium,BRUXELLES,Other
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,LEUVEN,Higher or Secondary Education Establishments
EUROPEAN REGIONS RESEARCH AND INNOVATION NETWORK ASBL,Belgium,BRUXELLES,Other
BOERENBOND,Belgium,LEUVEN,Other
EIGEN VERMOGEN VAN HET INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK,Belgium,MERELBEKE,Research Organisations
EUROPEAN ORGANISATION FOR RESEARCH AND TREATMENT OF CANCER AISBL,Belgium,Brussels,Research Organisations
DE DUVE INSTITUTE AISBL,Belgium,BRUXELLES,Research Organisations
JANSSEN PHARMACEUTICA NV,Belgium,BEERSE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
