name,country,city,businessType
UNIVERSITE D'ABOMEY-CALAVI,Benin,ABOMEY CALAVI,Higher or Secondary Education Establishments
CENTRE DE RECHERCHE EN REPRODUCTION HUMAINE ET EN DEMOGRAPHIE,Benin,COTONOU,Research Organisations
EDUCATIONAL TECHNOLOGY AND RESEARCH INTERNATIONAL BENIN,Benin,COTONOU,Other
ABIDJAN LAGOS CORRIDOR ORGANISATION FOR THE FIGHT AGAINST STIS HIV AIDS,Benin,COTONOU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Direction de la Recherche Agronomiquedu Benin,Benin,Porto-Novo,Unknown
Organisation de Coordination et de CoopÃ©ration pour la Lutte contre les Grandes EndÃ©mies,Benin,Cotonou,Unknown
UniversitÃ© Nationale de BÃ©nin,Benin,Cotonou,Unknown
Centre National Hospitalier et Universitaire Cotonou,Benin,Cotonou,Unknown
Centre de Recherche en RÃ©production Humaine et en DÃ©mographie,Benin,Cotonou,Unknown
Projet Promotion de l'Elevage dans l'Atacora,Benin,Natitingou,Unknown
Centre RÃ©gional pour le DÃ©veloppementet la SantÃ©,Benin,Cotonou,Unknown
Internatioanl Institute of Tropical Agriculture,Benin,Cotounou,Unknown
LABORATOIRE D'ANALYSE REGIONALE ET D'EXPERTISE SOCIALE,Benin,COTONOU,Unknown
UNIVERSITE D'ABOMEY-CALAVI,Benin,COTONOU,Unknown
UNIVERSITE NATIONALE DE BENIN,Benin,COTONOU,Unknown
CENTRE BENINOIS POUR L'ENVIRONNEMENT ET LE DEVELOPPEMENT ECONOMIQUE ET SOCIAL,Benin,COTONOU,Unknown
PROGRAMME NATIONAL DE LUTTE CONTRE LA TUBERCULOSE,Benin,COTONOU,Unknown
UNIVERSITE D'ABOMEY CALAVI,Benin,ABOMEY CALAVI,Unknown
UNIVERSITY OF ABOMEY-CALAVI / UNIVERSITÃ D'ABOMEY-CALAVI,Benin,COTONOU,Unknown
UNIVERSITY OF ABOMEY-CALAVI,Benin,COTONOU,Unknown
CENTRE DE RECHERCHE EN REPRODUCTION HUMAINE ET EN DEMOGRAPHIE,Benin,COTONOU,Unknown
UNIVERSITÃ D'ABOMEY CALAVI',Benin,COTONOU,Unknown
INSTITUT NATIONAL DES RECHERCHES AGRICOLES DU BENIN,Benin,COTONOU,Unknown
DIRECTION DE L'HYDRAULIQUE,Benin,COTONOU,Unknown
UNIVERSITE D' ABOMEY CALAVI,Benin,COTONOU,Unknown
UNIVERSITÃ D'ABOMEY CALAVI,Benin,COTONOU,Unknown
MINISTRY OF HEALTH - PROGRAMME NATIONAL DE LUTTE CONTRE L'ULCÃRE DER BURULI',Benin,COTONOU,Unknown
Ministere de la sante,Benin,Cotonou,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRE NATIONAL HOSPITALIER DE PNEUMO-PHTISIOLOGIE,Benin,COTONOU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
