name,country,city,businessType
UNIVERSIDAD MAYOR DE SAN ANDRES,Bolivia,LA PAZ,Higher or Secondary Education Establishments
UNIVERSIDAD MAYOR DE SAN SIMON,Bolivia,COCHABAMBA,Higher or Secondary Education Establishments
UNIVERSIDAD MAYOR REAL Y PONTIFICIA DE SAN FRANCISCO XAVIER DE CHUQUISACA,Bolivia,SUCRE,Higher or Secondary Education Establishments
FUNDACION CIENCIA Y ESTUDIOS APLICADOS PARA EL DESARROLLO EN SALUD Y MEDIO AMBIENTE,Bolivia,COCHABAMBA,Research Organisations
Universidad Mayor de San SimÃ³n,Bolivia,Cochabamba,Unknown
Centro de Investigaciones Educaciony Servicios,Bolivia,La Paz,Unknown
Taller de Investigacion y Formacion Academica y Popular,Bolivia,Sucre,Unknown
Instituto de Lengua y Cultura Aymara,Bolivia,La Paz,Unknown
Universidad Mayor de San AndrÃ©s,Bolivia,La Paz,Unknown
UNIVERSIDAD MAYOR DE SAN SIMON,Bolivia,COCHABAMBA,Unknown
Servicio Nacional de Meteorologia e Hidrologia,Bolivia,La Paz - Casilla de Correo,Unknown
PROINPA - PROGRAMA DE INVESTIGACION DE LA PAPA CONVENION IBTA-C,Bolivia,COCHABAMBA,Unknown
INSTITUTO NACIONAL DE LABORATORIOS DE SALUD,Bolivia,LA PAZ,Unknown
PROINPA - Programa de Investigation de la Papa Convenion IBTA-C,Bolivia,Cochabamba,Unknown
Institut de Recherche pour le DÃ©veloppement,Bolivia,La Paz,Unknown
Universidad Autonoma Gabiel Rene Moreno,Bolivia,Santa Cruz,Unknown
Centro Boliviano de Estudios Multidisciplinarios,Bolivia,La Paz,Unknown
INSTITUTO LATINOAMERICANO DER INVESTIGACIONES SOCIALES - FRIEDRICH-EBERT-STIFTUNG,Bolivia,LA PAZ,Unknown
HCF MANSILLA,Bolivia,LA PAZ,Unknown
TEKO GUARANI,Bolivia,CAMIRI,Unknown
DISTRITO DE SALUD CORDILLERA,Bolivia,CAMIRI,Unknown
ACCION INTERNACIONAL POR LA SALUD BOLIVIA,Bolivia,LA PAZ,Unknown
FUNDACION DIALOGO COMUNIDADES Y MEDIO AMBIENTE,Bolivia,"SOPOCACHI, LA PAZ",Unknown
CENTRO DE INVESTIGACION Y MANEJO DE RECURSOS NATURALES RENOVABLES,Bolivia,SANTA CRUZ,Unknown
CENTRO INTEGRAL DE DESARROLLO ECONOMICO Y SOCIAL,Bolivia,COCHABAMBA,Unknown
FUNDACION PROMOCION E INVESTIGACION DE PRODUCTOS ANDINOS,Bolivia,COCHABAMBA,Unknown
CENTRO DE ESTUDIOS DE LA REALIDAD ECONOMICA Y SOCIAL,Bolivia,COCHABAMABA,Unknown
UNIVERSIDAD PUBLICA DE EL ALTO,Bolivia,EL ALTO - LA PAZ,Unknown
PROGRAMA REGIONAL DE CAMLIDOS,Bolivia,LA PAZ,Unknown
FUNDACION PARA LA PROMOCION Y LA INVESTIGACION DE PRODUCTOS ANDINOS,Bolivia,COCHABAMBA,Unknown
"UNIVERSIDAD CATÃLICA BOLIVIANA ""SAN PABLO""",Bolivia,,Unknown
UNIVERSIDAD MAYOR DE SAN SIMÃN,Bolivia,COCHABAMBA,Unknown
AGRODATA - CONSULTORA MULTIDISCIPLINARIA PARA EL DESAROLLO RURAL,Bolivia,LA PAZ,Unknown
UNIVERSIDAD MAYOR DE SAN ANDRES,Bolivia,LA PAZ,Unknown
CENTRO DE ESTUDIOS ECOLOGICOS Y DESARROLLO INTEGRAL,Bolivia,LA PAZ,Unknown
FUNDACIÃN AGRECOL ANDES,Bolivia,COCHABAMBA,Unknown
FUNDACION YANGAREKO,Bolivia,SANTA CRUZ DE LA SIERRA,Unknown
FUNDACION PARA EL DESARROLLO DE LA ECOLOGIA,Bolivia,LA PAZ,Unknown
ASOCIACION DE PRODUCTORES DE OLEAGINOSAS Y TRIGO,Bolivia,SANTA CRUZ DE LA SIERRA,Unknown
CENTRO DE INVESTIGACION Y PROMOCION DEL CAMPESINADO,Bolivia,LE PAZ,Unknown
FUNDACIÃN PARA LA PROMOCIÃN E INVESTIGACIÃN DE PRODUCTOS ANDINOS,Bolivia,"QUILLACOLLO, COCHABAMBA",Unknown
"UNIVERSIDAD AUTÃNOMA DEL BENI ""JOSÃ BALLIVIÃN""",Bolivia,SANTISIMA TRINIDAD,Unknown
MUSEO DE HISTORIA NATURAL NOEL KEMPFF MERCADO,Bolivia,SANTA CRUZ,Unknown
CENTRO BOLIVIANO DE INVESTIGACION Y DESARROLLO SOCIO INTEGRAL,Bolivia,LA PAZ,Research Organisations
SOUTH GROUP SRL,Bolivia,COCHABAMBA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACION PARA LA CONSERVACION DELBOSQUE SECO CHIQUITANO,Bolivia,Santa Cruz,Other
COLECTIVO DE ESTUDIOS APLICADOS Y DESARROLLO SOCIAL JUAN XXIII,Bolivia,Cochabamba,Other
TALLER DE EDUCACION Y COMUNICACION GUARANI ASOCIACION,Bolivia,CAMIRI SANTA CRUZ,Other
INSTITUTO BOLIVIANO DE INVESTIGACION FORESTAL ASOCIACION,Bolivia,SANTA CRUZ DE LA SIERRA,Research Organisations
FUNDACION AMIGOS DE LA NATURALEZA,Bolivia,SANTA CRUZ DE LA SIERRA,Research Organisations
FUNDACION PARA LA PROMOCION E INVESTIGACION DE PRODUCTOS ANDINOS,Bolivia,Cochabamba,Research Organisations
MELTING POT BOLIVIA SOCIEDAD CIVIL,Bolivia,LA PAZ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
