name,country,city,businessType
Museum of  the Republic of Srpska,Bosnia and Herzegovina,Banja Luka,Other
UNIVERZITET U SARAJEVU,Bosnia and Herzegovina,SARAJEVO,Higher or Secondary Education Establishments
FONDACIJA KULTURNO NASLIJEDE BEZ GRANICA,Bosnia and Herzegovina,SARAJEVO,Other
NEZAVISNI OPERATOR SISTEMA U BOSNII HERZEGOVINI,Bosnia and Herzegovina,SARAJEVO,Other
FONDACIJA ZA RAZVOJ ODRZIVOG DIZAJNA SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Research Organisations
JAVNA USTANOVA RAZVOJNA AGENCIJA UNSKO-SANSKOG KANTONA,Bosnia and Herzegovina,BIHAC,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ZAKLADA ZA INOVACIJSKI I TEHNOLOSKIRAZVITAK,Bosnia and Herzegovina,MOSTAR,Other
JAVNO PREDUZECE BIT CENTAR DOO U TUZLI,Bosnia and Herzegovina,TUZLA,Other
VANJSKOTRGOVINSKA/SPOLJNOTRGOVINSKA KOMORA BIH,Bosnia and Herzegovina,SARAJEVO,Other
SARAJEVSKA REGIONALNA RAZVOJNA AGENCIJA SERDA DOO SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Other
ZENICKA RAZVOJNA AGENCIJA ZEDA DOO,Bosnia and Herzegovina,ZENICA,Research Organisations
DEVELOPMENT AGENCY OF THE REPUBLIC OF SRPSKA,Bosnia and Herzegovina,BANJA LUKA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITET U BANJOJ LUCI,Bosnia and Herzegovina,BANJA LUKA,Higher or Secondary Education Establishments
UNIVERZITET U ISTOCNOM SARAJEVU,Bosnia and Herzegovina,ISTOCNO SARAJEVO,Higher or Secondary Education Establishments
CHAMBER OF COMMERCE AND INDUSTRY OF REPUBLIKA SRPSKA,Bosnia and Herzegovina,BANJA LUKA,Other
FOUNDATION INNOVATION CENTRE BANJA LUKA,Bosnia and Herzegovina,BANJA LUKA,Other
MINISTARSTVO GOSPODARSTVA HERCEGBOSANSKE ZUPANIJE,Bosnia and Herzegovina,LIVNO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UDRUZENJE ZA ZASTITU MENTALNOG ZDRAVLJA MENSSANA,Bosnia and Herzegovina,SARAJEVO,Other
KLINICKI CENTAR UNIVERZITETA U SARAJEVU JAVNA USTANOVA U DRZAVNOJ SVOJINI SA PO,Bosnia and Herzegovina,SARAJEVO,Research Organisations
FONDACIJA MREZA ZA PROMJENE JUGOISTOCNE EVROPE,Bosnia and Herzegovina,SARAJEVO,Research Organisations
JAVNO PREDUZECE ELEKTROPRIVREDA BOSNE I HERCEGOVINE DD*,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRADMONT DOO ZA GRADEVINARSTVO INZENJERING PROMET I USLUGE GRADACAC,Bosnia and Herzegovina,GRADACAC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRAD ZENICA,Bosnia and Herzegovina,ZENICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITET ZA POSLOVNI INZENJERINGI MENADZMENT,Bosnia and Herzegovina,BANJA LUKA,Higher or Secondary Education Establishments
CENTAR ZA INTRADISCIPLINARNA PRIMIJENJENA DRUSTVENA ISTRAZIVANJA,Bosnia and Herzegovina,SARAJEVO,Research Organisations
SAVEZ GORSKIH SLUZBI SPASAVANJA U BOSNI I HERCEGOVINI GSSUBIH,Bosnia and Herzegovina,MOSTAR,Other
DEINTERNATIONAL POSLOVNE USLUGE D.O.O.,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UDRUZENJE ZA KULTURU I UMJETNOST CRVENA,Bosnia and Herzegovina,SARAJEVO,Other
UNIVERZITET DZEMAL BIJEDIC U MOSTARU SA SUPSIDIJARNOM ODGOVORNOSCU SASJEDISTEM U MOSTARU,Bosnia and Herzegovina,MOSTAR,Higher or Secondary Education Establishments
ENOVA D.O.O. SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"PLAMINGO DOO, COMPANY FOR DOMESTIC AND FOREIGN TRADE, PRODUCTION AND SERVICES",Bosnia and Herzegovina,GRACANICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
University of Mostar,Bosnia and Herzegovina,Mostar,Higher or Secondary Education Establishments
WESTPORT CONSULTING DOO SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UDRUZENJE SAVJET ZA ZELENU GRADNJU,Bosnia and Herzegovina,SARAJEVO,Other
LIR EVOLUCIJA,Bosnia and Herzegovina,BANJA LUKA,Research Organisations
OPCINE VISOKO,Bosnia and Herzegovina,VISOKO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITET ZA POSLOVNE STUDIJE BANJA LUKA,Bosnia and Herzegovina,BANJA LUKA,Higher or Secondary Education Establishments
TIDEA DOO BANJA LUKA,Bosnia and Herzegovina,BANJA LUKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRIVREDNO DRUSTVO INSTITUT ZA HIDROTEHNIKU DD SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FEDERALNI ZAVOD ZA GEOLOGIJU SARAJEVO,Bosnia and Herzegovina,ILIDZA,Research Organisations
"UDRUZENJE ZA PROMOCIJU KULTURE, NAUKE I KINEMATOGRAFIJE BALKANFILM",Bosnia and Herzegovina,SARAJEVO,Other
FEDERAL MINISTRY OF EDUCATION AND SCIENCE - FEDERATION OF BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,MOSTAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INTERNACIONALNI UNIVERZITET U SARAJEVU,Bosnia and Herzegovina,ILIDZA SARAJEVO,Higher or Secondary Education Establishments
KOOLA DOO,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDACIJA ZA OBNOVU I RAZVOJ REGIJE VARES,Bosnia and Herzegovina,VARES,Higher or Secondary Education Establishments
MARKEZ NIKOLA SAVO,Bosnia and Herzegovina,BANJA LUKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF SECURITY OF BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,SARAJEVO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GRAD TREBINJE,Bosnia and Herzegovina,TREBINJE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UDRUZENJE ZA PROMOCIJU EUROATLANTSKE INICIJATIVE ATLANTSKA INICIJATIVA SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Research Organisations
University of Banja Luka,Bosnia and Herzegovina,Republika Srpska,Unknown
HYDRO ENGINEERING INSTITUTE OF CIVIL ENGINEERING FACULTY UNIVERSITY OF SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERSITY OF SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
GEOLOGICAL SURVEY,Bosnia and Herzegovina,SARAJEVO,Unknown
"CENTER FOR TORTURE VICTIMS, MOST, SARAJEVO - INTERNATIONAL REHABILITATION CENTRE FOR TORTURE VICTIMS",Bosnia and Herzegovina,SARAJEVO,Unknown
CLINICAL CENTER OF UNIVERSITY OF SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERSITY OF TUZLA,Bosnia and Herzegovina,TUZLA,Unknown
ENKER D.D. TVORNICA SVJECICA INDUSTRIJSKE KERAMIKE,Bosnia and Herzegovina,TESANJ,Unknown
MINISTRY OF FOREIGN AFFAIRS,Bosnia and Herzegovina,SARAJEVO,Unknown
TERMOELEKTRARNA TUZLA - JAVNO PODUZECE ELEKTROPRIVREDE BOSNE I HERCEGOVINE,Bosnia and Herzegovina,BUKINJE - TUZLA,Unknown
OVAKO MEAT INDUSTRY LTD,Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERSITY OF BIHAC,Bosnia and Herzegovina,BIHAC,Unknown
INSTITUTE FOR WATER BIJELJINA,Bosnia and Herzegovina,BIJELJINA,Unknown
ASOCIJACIJA ZA INFORMACIONE TEHNOLOGIJE BAIT U BOSNIA I HERCEGOVINI,Bosnia and Herzegovina,SARAJEVO,Unknown
FONDACIJA ZA VISOKO OBRAZOVANJE-SVJETSKI UNIVERSITETSKI SERVIS BIH,Bosnia and Herzegovina,SARAJEVO,Unknown
VETERINARY FACULTY UNIVERSITY OF SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
HYDRO ENGINEERING INSTITUTE SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
INSTITUTE OF PUBLIC HEALTH OF FEDERATION OF BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERSITY OF SARAJEVO MEDICAL CENTRE DEPARTMENT OF PSYCHIATRY,Bosnia and Herzegovina,SARAJEVO,Unknown
GOVERNMENT OF BRCKO DISTRICT DEPARTMENT FOR HEALTH,Bosnia and Herzegovina,BRCKO DISTRIKT,Unknown
PUBLIC INSTITUTION MEDICAL CENTRE GORAZDE,Bosnia and Herzegovina,GORAZDE,Unknown
FACULTY OF AGRICULTURE AND FOOD SCIENCE SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
FONDACIJA ZA VISOKO OBRAZOVANJE SVJETSKI UNIVERZITETSKI SERVIS BOSNE I HERCEGOVINE,Bosnia and Herzegovina,SARAJEVO,Unknown
PRIRODNO - MATEMATICKI FAKULTET SARAJEVO J.U.,Bosnia and Herzegovina,SARAJEVO,Unknown
HYDRO-ENGINEERING INSTITUTE SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
EXIT CENTAR - IT BUSINESS SUPPORT CENTRE,Bosnia and Herzegovina,BANJA LUKA,Unknown
MEDICAL FACULTY UNIVERSITY OF MOSTAR,Bosnia and Herzegovina,MOSTAR,Unknown
FACULTY OF TECHNOLOGY UNIVERSITY OF BANJA LUKA,Bosnia and Herzegovina,BANKA LUKA,Unknown
INSTITUTE FOR GENETIC ENGINEERING AND BIOTECHNOLOGY,Bosnia and Herzegovina,SARAJEVO,Unknown
EKONOMSKI FAKULTET SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
MINISTARSTVO NAUKE I TECHNOLOGIJE REPUBLIKA SRPSKA,Bosnia and Herzegovina,BANJA LUKA,Unknown
UNIVERSITY OF BANJA LUKA - FACULTY OF AGRICULTURE,Bosnia and Herzegovina,BAJNA LUKA,Unknown
UNIVERZITET U BANJOJ LUCI ELEKTROTEHNICKI FAKULTET,Bosnia and Herzegovina,BANJA LUKA,Unknown
KLINICKI CENTAR UNIVERZITETA - PSIHIJATRIJSKA KLINIKA - SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
"DEPARTMENT OF RADIOBIOLOGY AND BIOPHYSICS, VETERINARY FACULTY, UNIVERSITY OF SARAJEVO",Bosnia and Herzegovina,SARAJEVO,Unknown
EDINBURGH DIRECT AID,Bosnia and Herzegovina,BIHAC,Unknown
CENTRE FOR ENVIRONMENTAL TECHNOLOGICAL DEVELOPMENT,Bosnia and Herzegovina,SARAJEVO,Unknown
"CENTRE FOR ECONOMIC, ENVIRONMENTAL AND TECHNOLOGICAL DEVELOPMENT",Bosnia and Herzegovina,SARAJEVO,Unknown
"USTANOVA ""BIHARNET CENTAR"" SARAJEVO",Bosnia and Herzegovina,,Unknown
USTANOVA BIHARNET CENTAR SARAJEVO,Bosnia and Herzegovina,Sarajevo,Unknown
UNIVERZITET U SARAJEVU,Bosnia and Herzegovina,SARAJEVO,Unknown
SVJETSKI UNIVERZITETSKI SERVIS BOSNE I HERCEGOVINE,Bosnia and Herzegovina,SARAJEVO,Unknown
"USTANOVA ""BIHARNET CENTAR"" SARAJEVO",Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERZITET U BANJOJ LUCI MASINSKI-FAKULTET BANJA LUKA,Bosnia and Herzegovina,BANJA LUKA,Unknown
"FACULTY FOR ELECTRICAL ENGINEERING, UNIVERSITY OF TUZLA",Bosnia and Herzegovina,TUZLA,Unknown
INTRADE ENERGY LTD,Bosnia and Herzegovina,SARAJEVO,Unknown
"UNIVERSITY OF TUZLA, FACULTY FOR ELECTRICAL ENGINEERING",Bosnia and Herzegovina,TUZLA,Unknown
"UNIVERSITY OF BANJA LUKA, FACULTY OF AGRICULTURE",Bosnia and Herzegovina,BANJA LUKA,Unknown
"JP ELEKTROPRIVREDA BIH, TERMOELEKTRANA ""TUZLA"" TUZLA",Bosnia and Herzegovina,TUZLA,Unknown
"HEALTHNET INTERNATIONAL, BOSNIA AND HERZEGOVINA",Bosnia and Herzegovina,SARAJEVO,Unknown
MINISTARSTVO VANJSKIH POSLOVA BOSNE I HERCEGOVINE (MINISTRY OF FOREIGN AFFAIRS),Bosnia and Herzegovina,SARAJEVO,Unknown
NACIONALNA I UNIVERZITETSKA BIBLIOTEKA BOSNE I HERCEGOVINE - SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Unknown
FEDERAL METEOROLOGICAL INSTITUTE OF BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,SARAJEVO,Unknown
UNIVERZITET 'DZEMAL BIJEDIC' U MOSTARU,Bosnia and Herzegovina,MOSTAR,Unknown
VJETROENERGETIKA BH D.O.O.,Bosnia and Herzegovina,MOSTAR,Unknown
BORBA PROTIV KORUPCIJE BOSNIA I HERCEGOVINA UG,Bosnia and Herzegovina,Banja Luka,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDACIJA ZA VISOKO OBRAZOVANJE SVJETSKI UNIVERZITETSKI SERVIS BOSNE I HERCEGOVINE,Bosnia and Herzegovina,SARAJEVO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF CIVIL AFFAIRS,Bosnia and Herzegovina,SARAJEVO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITET U BANJOJ LUCI ELEKTROTEHNICKI FAKULTET,Bosnia and Herzegovina,BANJA LUKA,Higher or Secondary Education Establishments
DELING DOO,Bosnia and Herzegovina,TUZLA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JAVNA USTANOVA UNIVERZITET U TUZLI UNIVERSITAS STUDIORUM TUZLAENSIS,Bosnia and Herzegovina,TUZLA,Higher or Secondary Education Establishments
UNIVERZITET U BANJALUCI POLJOPRIVRE DNI FAKULTET,Bosnia and Herzegovina,BANJALUKA,Higher or Secondary Education Establishments
FACULTY OF AGRICULTURE AND FOOD SCIENCE SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Higher or Secondary Education Establishments
ZDRAVSTVENA USTANOVA OPSTA BOLNICA PRIJEDOR,Bosnia and Herzegovina,Prijedor,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
AGENCIJA ZA EKONOMSKI RAZVOJ OPSTINE PRIJEDOR,Bosnia and Herzegovina,PRIJEDOR,Research Organisations
GLOBALGPS BH DOO SARAJEVO,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Interprojekt d.o.o.,Bosnia and Herzegovina,Mostar,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE ASSOCIATION OF CITIZENS EXIT CENTAR - IT BUSINESS SUPPORT CENTRE,Bosnia and Herzegovina,BANJA LUKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF FOREIGN AFFAIRS of BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,Sarajevo,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ministry of Communications and Transport of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FEDERALNI HIDROMETEOROLOSKI ZAVOD,Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Republic Hydrometeorological Institute,Bosnia and Herzegovina,BANJA LUKA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"FACULTY OF NATURAL SCIENCES, UNIVERSITY OF BANJA LUKA",Bosnia and Herzegovina,BANJA LUKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Automotive center â Centar za vozila, Sarajevo",Bosnia and Herzegovina,SARAJEVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JAVNA USTANOVA UNIVERZITET U ZENICI UNIVERSITAS STUDIORUM ZENICAENSIS,Bosnia and Herzegovina,ZENICA,Higher or Secondary Education Establishments
