name,country,city,businessType
BOTSWANA INTERNATIONAL UNIVERSITY OF SCIENCE & TECHNOLOGY,Botswana,PALAPYE,Higher or Secondary Education Establishments
WATERNET TRUST,Botswana,GABORONE,Research Organisations
CENTRE FOR COORDINATION OF AGRICULTURAL RESEARCH AND DEVELOPMENT FOR SOUTHERN AFRICA,Botswana,GABORONE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MINISTRY OF TRANSPORT AND COMMUNICATIONS,Botswana,GABORONE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ministry of Agriculture of Botswana,Botswana,Gaborone,Unknown
Princess Marina Hospital,Botswana,Gaborone,Unknown
University of Botswana,Botswana,Gaborone,Unknown
Botswana Technology Centre,Botswana,Kanye,Unknown
UNIVERSITY OF BOTSWANA,Botswana,GABORONE,Unknown
Velo Products Research,Botswana,Gaborone,Unknown
SOUTHERN AFRICAN DEVELOPMENT COMMUNITY,Botswana,GABORONE,Unknown
UNIVERSITY OF BOTSWANA,Botswana,MAUN,Unknown
BOTSWANA COLLEGE OF AGRICULTURE,Botswana,GABORONE,Unknown
BOTSWANA METEOROLOGICAL SERVICES,Botswana,GABORONE,Unknown
KALAHARI CONSERVATION SOCIETY,Botswana,GABORONE,Unknown
"MINISTRY OF COMMUNICATIONS, SCIENCE AND TECHNOLOGY",Botswana,GABORONE,Unknown
UNIVERSITY OF BOTSWANA,Botswana,GABORONE,Higher or Secondary Education Establishments
COLDSTREAM HOLDINGS LTD TRADING AS NFDS AFRICA,Botswana,GABORONE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
