name,country,city,businessType
UNIVERSIDADE DE SAO PAULO,Brazil,SAO PAULO SP,Higher or Secondary Education Establishments
FUNDACAO GETULIO VARGAS,Brazil,RIO DE JANEIRO,Higher or Secondary Education Establishments
"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",Brazil,BRASILIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FUNDACAO UNIVERSIDADE DO AMAZONAS,Brazil,Manaus,Higher or Secondary Education Establishments
FUNDACAO UNIVERSIDADE DE BRASILIA,Brazil,BRASILIA DF,Higher or Secondary Education Establishments
FUNDACAO OSWALDO CRUZ,Brazil,RIO DE JANEIRO,Research Organisations
UNIVERSIDADE DO ESTADO DO AMAZONAS FUNDACAO,Brazil,MANAUS,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,Brazil,BELEM,Higher or Secondary Education Establishments
INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA,Brazil,MANAUS AMAZONAS,Research Organisations
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Brazil,PORTO ALEGRE,Higher or Secondary Education Establishments
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,Brazil,BRASILIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Universidade Federal do Para,Brazil,Belém,Higher or Secondary Education Establishments
FOCO AMBIENTE SOCIAL E CULTURAL LTDA,Brazil,SAQUAREMA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDADE FEDERAL DE PERNAMBUCO,Brazil,RECIFE,Higher or Secondary Education Establishments
Universidade do Estado do Rio de Janeiro,Brazil,Rio de Janeiro,Higher or Secondary Education Establishments
INSTITUTO CIDADES SUSTENTAVEIS,Brazil,SAO PAULO,Other
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Brazil,RECIFE,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DA PARAIBA,Brazil,JOAO PESSOA,Higher or Secondary Education Establishments
INSTITUTO PRESBITERIANO MACKENZIE,Brazil,SAO PAULO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACAO UNIVERSIDADE FEDERAL DO ABC,Brazil,SANTO ANDRE,Higher or Secondary Education Establishments
CONSELHO NACIONAL DAS FUNDACOES DE ESTADUAIS DE AMPARO A PESQUISA,Brazil,BRASILIA DF,Other
UNIVERSIDADE FEDERAL DO RIO GRANDE-FURG,Brazil,RIO GRANDE,Higher or Secondary Education Establishments
UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,Brazil,SAO PAULO,Higher or Secondary Education Establishments
PRIMAR AQUACULTURA LTDA,Brazil,TIBAU DO SUL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDADE FEDERAL DE SANTA CATARINA.,Brazil,FLORIANOPOLIS,Higher or Secondary Education Establishments
FUNDACAO COORDENACAO DE PROJETOS PESQUISAS E ESTUDOS TECNOLOGICOS COPPETEC,Brazil,RIO DE JANEIRO,Research Organisations
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO - UNIRIO,Brazil,RIO DE JANEIRO,Higher or Secondary Education Establishments
FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI,Brazil,ITAJAI,Research Organisations
Universidade Federal do Espirito Santo,Brazil,Vitória - ES,Higher or Secondary Education Establishments
UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA ASSOCIACAO,Brazil,PORTO ALEGRE,Higher or Secondary Education Establishments
EMBRAER SA,Brazil,SAO JOSE DOS CAMPOS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDADE FEDERAL DA BAHIA,Brazil,SALVADOR,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DE MINAS GERAIS,Brazil,BELO HORIZONTE MINAS GERAIS,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DE GOIAS,Brazil,GOIANIA,Higher or Secondary Education Establishments
FUNDACAO BAHIANA DE INFECTOLOGIA,Brazil,SALVADOR,Research Organisations
FUNDACAO FACULDADE DE MEDICINA,Brazil,Sao Paulo,Other
Laboratorio Nacional de Computacao Cientifica,Brazil,Petropolis,Research Organisations
FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Brazil,RECIFE,Higher or Secondary Education Establishments
INSTITUTO BUTANTAN,Brazil,SAO PAULO,Other
FUNDACAO DE APOIO A UNIVERSIDADE DE SAO PAULO,Brazil,SAO PAULO,Higher or Secondary Education Establishments
ASSOCIACAO TECNICO CIENTIFICA ESTUDO COLABORATIVO LATINO AMERICANO DE MALFORMACAO CONGENITAS,Brazil,RIO DE JANEIRO,Research Organisations
"ENGEMAP ENGENHARIA, MAPEAMENTO E AEROLEVANTAMENTO LTDA",Brazil,SAO PAULO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,Brazil,BRASILIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Brazil,RIO DE JANEIRO,Higher or Secondary Education Establishments
UNIVERSIDADE ESTADUAL DE CAMPINAS,Brazil,CAMPINAS SP,Higher or Secondary Education Establishments
CONFEDERACAO NACIONAL DA INDUSTRIA,Brazil,BRASILIA,Other
ASSOCIACAO NACIONAL DE PESQUISA E DESENVOLVIMENTO DAS EMPRESAS INOVADORAS - ANPEI,Brazil,SAO PAULO SP,Other
ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECNOLOGICA E INOVACAO,Brazil,BRASILIA,Other
FINANCIADORA DE ESTUDOS E PROJETOS,Brazil,BRASILIA DF,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NUCLEO DE GESTAO DO PORTO DIGITAL,Brazil,RECIFE,Other
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO,Brazil,SAO PAULO,Other
FUNDACAO DE APOIO UNIVERSITARIO,Brazil,UBERLANDIA,Higher or Secondary Education Establishments
FUNDACAO PIO XII,Brazil,BARRETOS,Research Organisations
REDE NACIONAL DE ENSINO E PESQUISA,Brazil,RIO DE JANEIRO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Hezolinem Equipamentos Topograficos e Comercio de Servicos e Desenvolvimento Ltda,Brazil,Sao Paulo,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDADE FEDERAL DE SAO CARLOS,Brazil,SAO CARLOS,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DE SANTA MARIA,Brazil,CAMOBI - SANTA MARIA,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DO PARANA,Brazil,CURITIBA,Higher or Secondary Education Establishments
SECRETARIA DE SAUDE DO ESTADO CEARA,Brazil,FORTALEZA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO,Brazil,SAO PAULO,Other
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,Brazil,CAMPINA GRANDE PB,Higher or Secondary Education Establishments
UNIVERSIDADE FEDERAL DO CEARA,Brazil,FORTALEZA,Higher or Secondary Education Establishments
EDITORA MUNDO GEO LTDA,Brazil,CURITIBA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,Brazil,PORTO ALEGRE,Higher or Secondary Education Establishments
