name,country,city,businessType
NACIONALNA KATOLICHESKA FEDERACIA CARITAS BULGARIA,Bulgaria,SOFIA,Other
NEW BULGARIAN UNIVERSITY,Bulgaria,SOFIA,Higher or Secondary Education Establishments
EVROPROJECT OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OBSHTINA BURGAS,Bulgaria,BURGAS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTE OF PHILOSOPHY AND SOCIOLOGY,Bulgaria,Sofia,Research Organisations
INSTITUTE OF OCEANOLOGY - BULGARIAN ACADEMY OF SCIENCES,Bulgaria,VARNA,Research Organisations
SOFIA UNIVERSITY ST KLIMENT OHRIDSKI,Bulgaria,SOFIA,Higher or Secondary Education Establishments
ELEKTROENERGIEN SISTEMEN OPERATOR EAD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULGARSKA NEZAVISIMA ENERGIJNA BORSA EAD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOFTWARE COMPANY EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INNOVATIVE ENERGY AND INFORMATION TECHNOLOGIES LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PENSOFT PUBLISHERS,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT PO BIORAZNOOBRAZIE I EKOSISTEMNI IZSLEDVANIYA BALGARSKA AKADEMIYA NA NAUKITE,Bulgaria,SOFIA,Higher or Secondary Education Establishments
DZZD ENEFFECT GRUP,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OBSHTINA RUSE,Bulgaria,Ruse,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CLUB SUSTAINABLE DEVELOPMENT OF CIVIL SOCIETY ASSOCIATION,Bulgaria,SOFIA,Research Organisations
INSTITUTE OF AGRICULTURAL ECONOMICS,Bulgaria,SOFIA,Research Organisations
SDRUZHENIE ASOTSIATSIYA NA AGROEKOLOGICHNITE ZEMEDELSKI PROIZVODITEL,Bulgaria,SOFIA,Other
UASABI INOVEYSHANS,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AURUBIS BULGARIA AD,Bulgaria,PIRDOP,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AMG TECHNOLOGY OOD,Bulgaria,BOTEVGRAD SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGROBIOINSTITUTE,Bulgaria,SOFIA,Research Organisations
SOFIA ENERGY CENTRE LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT PO OTBRANA,Bulgaria,Sofia,Research Organisations
INSTITUTE OF NUCLEAR RESEARCH AND NUCLEAR ENERGY - BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Research Organisations
PLOVDIVSKI UNIVERSITET PAISIY HILENDARSKI,Bulgaria,PLOVDIV,Higher or Secondary Education Establishments
SOUTH-WEST UNIVERSITY NEOFIT RILSKI,Bulgaria,BLAGOEVGRAD,Higher or Secondary Education Establishments
DIL DIEL,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKUMPLAST AD,Bulgaria,DOBRICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL INSTITUTE OF ARCHAEOLOGY WITH MUSEUM- BULGARIAN ACADEMY OF SCIENCE,Bulgaria,Sofia,Research Organisations
ROUMEN TSANEV INSTITUTE OF MOLECULAR BIOLOGY BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Research Organisations
SDRUZHENIE BULGARSKA TARGOVSKO-PROMISHLENA PALATA,Bulgaria,SOFIA,Other
MVETS LENISHTA OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNICAL UNIVERSITY OF SOFIA,Bulgaria,SOFIA,Higher or Secondary Education Establishments
ENERGY AGENCY OF PLOVDIV ASSOCIATION,Bulgaria,PLOVDIV,Research Organisations
ASSOCIATION OF BULGARIAN ENERGY AGENCIES (ABEA),Bulgaria,SOFIA,Research Organisations
MINISTRY OF EDUCATION AND SCIENCE,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTER FOR THE STUDY OF DEMOCRACY,Bulgaria,SOFIA,Research Organisations
GLAVNA DIREKTSIA GRANICHNA POLITSIA,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
STOLICHNA OBSHTINA,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITET PO ARCHITEKTURA STROITELSTVO I GEODEZIJA,Bulgaria,SOFIA,Higher or Secondary Education Establishments
INSTITUTE OF ORGANIC CHEMISTRY WITH CENTRE OF PHYTOCHEMISTRY - BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Higher or Secondary Education Establishments
"""ASSOCIATION """"NATIONAL CENTRE FOR SUPERCOMPUTING APPLICATIONS""",Bulgaria,SOFIA,Research Organisations
BULGARSKI ANTARKTICHESKI INSTITUT ASSOCIATION,Bulgaria,SOFIA,Research Organisations
ENTRA ENERGY,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERGO-PRO ENERGY SERVICES EOOD,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VMWARE BULGARIA EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL CENTER OF INFECTIOUS AND PARASITIC DISEASES,Bulgaria,SOFIA,Research Organisations
BULGARIAN FOOD SAFETY AGENCY,Bulgaria,SOFIA,Research Organisations
INSTITUTE OF ELECTROCHEMISTRY AND ENERGY SYSTEMS,Bulgaria,SOFIA,Other
BII SMART TEKNOLODZHIS,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BEE SMART TECHNOLOGIES,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IDEACONSULT LIMITED LIABILITY COMPANY,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCALE FOCUS AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EAST EUROPEAN RESEARCH AND INNOVATION ENTERPRISE LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATSIONALEN TSENTAR PO RADIOBIOLOGIYA I RADIATSIONNA ZASHTITA,Bulgaria,SOFIA,Research Organisations
EVROPEJSKA ASOCIACIJA PO NANONAUKI  I NANOTEHNOLOGII SDRUZHENIE,Bulgaria,SOFIA,Other
FOUNDATION FOR THEORETICAL AND COMPUTATIONAL PHYSICS AND ASTROPHYSICS,Bulgaria,SOFIA,Research Organisations
TSENTAR ZA GRADSKA MOBILNOST EAD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF MEDICINE - PLEVEN,Bulgaria,PLEVEN,Higher or Secondary Education Establishments
SDRUZHENIE FORUM NAUKA,Bulgaria,SOFIA,Other
RUSENSKA TARGOVSKO INDUSTRIALNA KAMARA,Bulgaria,RUSE,Other
University of Food Technologies,Bulgaria,PLOVDIV,Higher or Secondary Education Establishments
NATIONAL MUSEUM OF NATURAL HISTORY,Bulgaria,SOFIA,Higher or Secondary Education Establishments
TECHNICAL UNIVERSITY OF VARNA,Bulgaria,VARNA,Higher or Secondary Education Establishments
FORUM DEMOCRIT,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOFIA TECH PARK JSC,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARITSA VEGETABLE CROPS RESEARCH INSTITUTE,Bulgaria,PLOVDIV,Research Organisations
ZENTYR ZA IZSLEDVANE I ANALISI,Bulgaria,SOFIA,Other
TSENTAR PO RASTITELNA SISTEMNA BIOLOGIYA I BIOTEHNOGIYA,Bulgaria,PLOVDIV,Research Organisations
"THE STEPHAN ANGELOFF INSTITUTE OF MICROBIOLOGY, BULGARIAN ACADEMY OF SCIENCES",Bulgaria,SOFIA,Research Organisations
INSTITUTE OF MOLECULAR BIOLOGY AND BIOTECHNOLOGY,Bulgaria,PLOVDIV,Research Organisations
COMMUNICATION AND INFORMATION SYSTEMS DIRECTORATE,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PRAVO I INTERNET FOUNDATION,Bulgaria,SOFIA,Research Organisations
ABERON OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FOUNDATION CLUSTER INFORMATION AND COMMUNICATION TECHNOLOGIES,Bulgaria,SOFIA,Other
INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGIES,Bulgaria,Sofia,Higher or Secondary Education Establishments
"Institute of Mechanics, Bulgarian Academy of Sciences",Bulgaria,Sofia,Research Organisations
RESEARCH AND DEVELOPMENT OF NANOMATERIALS AND NANOTECHNOLOGY NANO TECHLAB LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SUSTAINABLE ENERGY DEVELOPMENT AGENCY,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
IMAGGA TECHNOLOGIES LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULGARIAN INNOVATION AND TECHNOLOGYHUB,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENDUROSAT AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRAL LABORATORY OF SOLAR ENERGY& NEW ENERGY SOURCES OF THE BULGARIAN ACADEMY OF SCIENCES,Bulgaria,Sofia,Research Organisations
ETEM BULGARIA AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ETEM BG,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARCHITEKTONIKA STUDIO DRUZHESTVO SOGRANICHENA OTGOVORNOST,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
APPLIED RESEARCH AND COMMUNICATIONS FUND,Bulgaria,SOFIA,Research Organisations
VIP SEKJURITI EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULGARIAN NATIONAL SCIENCE FUND,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RDF OOD AR DI EF,Bulgaria,BANKYA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN CENTER FOR QUALITY OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BALKANIKA ENERGY AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IONITECH LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OBERON KONZEPTBAU,Bulgaria,MARKOVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ONTOTEXT AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHERNOMORSKA REGIONALNA AGENZIA ZA UPRAVLENIE NA ENERGIYATA,Bulgaria,VARNA,Other
VARNA MARITIME,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COMAC MEDICAL LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KLASTER SOFIA GRAD NA ZNANIETO,Bulgaria,SOFIA,Research Organisations
CEZ DISTRIBUTION BULGARIA AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MIG 23 LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULTEH 2000 LTD,Bulgaria,STARA ZAGORA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARCHITECTURAL SPIES EOOD,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATE AGENCY FOR METROLOGICAL AND TECHNICAL SURVEILLANCE,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MEDITCINSKY UNIVERSITET-PLOVDIV,Bulgaria,Plovdiv,Higher or Secondary Education Establishments
MEDICAL UNIVERSITY SOFIA,Bulgaria,SOFIA,Higher or Secondary Education Establishments
UNIVERSITY OF MINING AND GEOLOGY,Bulgaria,SOFIA,Higher or Secondary Education Establishments
BALGARSKI GEOGRAFSKI PORTAL-GEOGRAF BG,Bulgaria,SOFIA,Other
ZABAVNA MATEMATIKA,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHIMIKOTECHNOLOGITCHEN I METALURGITCHEN UNIVERSITET,Bulgaria,SOFIA,Higher or Secondary Education Establishments
TECHNICAL UNIVERSITY - GABROVO,Bulgaria,GABROVO,Higher or Secondary Education Establishments
INSTITUT ZA ETNOLOGIYA I FOLKLORISTIKA S ETNOGRAFSKI MUZEY PRI BULGARSKA AKADEMIYA NA NAUKITE,Bulgaria,SOFIA,Higher or Secondary Education Establishments
NATSIONALNA SPORTNA AKADEMIYA VASSIL LEVSKI,Bulgaria,SOFIA,Other
CHERNOMORSKI IZSLEDOVATELSKI ENERGIEN TSENTAR,Bulgaria,SOFIA,Research Organisations
FONDATSIYA TSENTAR ZA ENERGIYNA EFEKTIVNOST - ENEFEKT,Bulgaria,SOFIA,Research Organisations
SIRMA AI EAD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TSENTAR ZA IZSLEDOVATELSKA I RAZVOJNA DEYNOST BIOINTEH,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULGARIAN ACADEMY OF SCIENCES,Bulgaria,Sofia,Higher or Secondary Education Establishments
LUMYCOMP DESIGN LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Megatex Commerce Ltd.,Bulgaria,Sofia,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NACIONALNA ASOCIACIA PO BIOMASA,Bulgaria,PLOVDIV,Other
COMMISSION FOR CONSUMER PROTECTION,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
MILITARY MEDICAL ACADEMY,Bulgaria,Sofia,Higher or Secondary Education Establishments
DIGITAL SPACES LIVING LAB OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
B SYS,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BULGARIAN CONSTRUCTION CHAMBER,Bulgaria,SOFIA,Other
VODOSNABDYAVANE I KANALIZACYA,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOFIYSKA VODA AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOGEN ZAGORE EOOD,Bulgaria,OPAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OBSHTINA SMOLYAN,Bulgaria,SMOLYAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INDUSTRIAL PLANTS OOD,Bulgaria,KAZANLAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MADESIGN LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALBENA AD,Bulgaria,S OBRISCHISHTE OBLAST DOBRICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT ZA NULEVO ENERGIJNI SGRADI,Bulgaria,Sofia,Other
INSTITUTE OF TRANSPORT AND COMMUNICATIONS OOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OBSHTINA PESHTERA,Bulgaria,PESHTERA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BIODIT GLOBAL TECHNOLOGY,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ECONOLER SA,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STAGE AI LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATSIONALEN DOVERITELEN EKOFOND,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SEA HARMONY,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GIS-TRANSFERCENTER FOUNDATION,Bulgaria,SOFIA,Other
SCA DEVELOPMENT LTD,Bulgaria,BURGAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
APIS HRISTOVICH EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEW EUROPE CENTER FOR REGIONAL STUDIES SDRUZHENIE,Bulgaria,PLOVDIV,Research Organisations
BULGARIAN GREEN BUILDING COUNCIL,Bulgaria,Sofia,Other
SOFIA ENERGY AGENCY ASSOCIATION,Bulgaria,SOFIA,Research Organisations
ARCHIMEDES - UDSS LLC,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTER FOR PROTECTION OF THE RIGHTSIN THE HEALTHCARE SDRUZHENIE,Bulgaria,SOFIA,Other
MOTIVIAN EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEMETSCHEK EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SDRUZENIE BULGARSKA ASOCIACIA NA SOFTUERNITE KOMPANII BASCOM,Bulgaria,SOFIA,Other
BULGARIAN RED CROSS,Bulgaria,SOFIA,Other
BALKANSKI INSTITUT PO TRUDA I SOCIALNATA POLITIKA ASSOCIATION,Bulgaria,SOFIA,Research Organisations
"""INSTITUTE OF OPTICAL MATERIALS AND TECHNOLOGIES """"ACADEMICIAN JORDAN MALINOWSKI"""" - BULGARIAN ACADEMY OF SCIENCES""",Bulgaria,SOFIA,Research Organisations
CLUSTER ZELENA SINERGIYA,Bulgaria,PLOVDIV,Other
OBSHTINA VIDIN,Bulgaria,VIDIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNION OF BULGARIAN BLACK SEA LOCAL AUTHORITIES,Bulgaria,VARNA,Research Organisations
DOBRICH LOCAL AGENCY FOR ENERGY MANAGEMENT,Bulgaria,VARNA,Other
MINISTRY OF ENERGY,Bulgaria,Sofia,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
