name,country,city,businessType
UNIVERSITE POLYTECHNIQUE DE BOBO-DIOULASSO,Burkina Faso,BOBO DIOULASSO,Higher or Secondary Education Establishments
INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA DEMOGRAPHIE,Burkina Faso,OUAGADOUGOU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE OUAGA I PROFESSEUR JOSEPH KI-ZERBO,Burkina Faso,OUAGADOUGOU 03,Higher or Secondary Education Establishments
CENTRE MURAZ,Burkina Faso,BOBO-DIOULASSO,Research Organisations
FONDATION 2IE ASSOCIATION,Burkina Faso,Ouagadougou,Higher or Secondary Education Establishments
GROUPE DE RECHERCHE ACTION EN SANTE SARL,Burkina Faso,OUAGADOUGOU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTERE DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION,Burkina Faso,OUAGADOUGOU,Research Organisations
INSTITUT DE L'ENVIRONNEMENT ET DE RECHERCHES AGRICOLES,Burkina Faso,Ouagadougou,Research Organisations
UNIVERSITE NAZI BONI,Burkina Faso,BOBO DIULASSO,Higher or Secondary Education Establishments
CENTRE NATIONAL DE RECHERCHE SCIENTIFIQUE ET TECHNOLOGIQUE*INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE,Burkina Faso,OUAGADOUGOU,Research Organisations
MINISTERE DE LA SANTE,Burkina Faso,Ouagadougou,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE DE DEDOUGOU,Burkina Faso,DEDOUGOU,Higher or Secondary Education Establishments
CONFEDERATION PAYSANNE DU FASO,Burkina Faso,OUAGADOUGOU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDS NATIONAL DE LA RECHERCHE ET DE L'INNOVATION POUR LE DEVELOPPEMENT,Burkina Faso,OUAGADOUGOU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INITIATIVES CONSEIL INTERNATIONAL SANTE,Burkina Faso,OUAGADOUGOU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Institut des Sciences des Societes,Burkina Faso,Uagadugú,Other
BUREAU NATIONAL DES SOLS,Burkina Faso,OUAGADOUGOU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut de Recherche en Biologie et Ecologie Tropicale,Burkina Faso,Ouagadougou,Unknown
Centre Muraz,Burkina Faso,Bobo-Dioulasso,Unknown
MinistÃšre de la SantÃ© Publique & Action Sociale,Burkina Faso,Ouagadougou,Unknown
ComitÃ© Interafricain d'Etudes Hydrauliques,Burkina Faso,Ouagadougou,Unknown
Centre National de la Recherche Scientifique et Technologique,Burkina Faso,Ouagadougou,Unknown
Ecole SupÃ©rieure des Sciences de la SantÃ© - DÃ©partement SantÃ© Publique,Burkina Faso,Ouagadougou,Unknown
INSTITUT NATIONAL D'ETUDES ET DE RECHERCHES AGRICOLES DU BURKINA-FASO,Burkina Faso,OUAGADOUGOU,Unknown
Centre de Recherches sur les Trypanosomes Animales,Burkina Faso,Bobo-Dioulasso,Unknown
Institut National d'Etudes et de Recherches Agricoles du Burkina-Faso,Burkina Faso,Ouagadougou,Unknown
UniversitÃ© de Ouagadougou,Burkina Faso,Ouagadougou,Unknown
Laboratoire de Recherches de la Protection des VÃ©gÃ©taux,Burkina Faso,Bobo-Dioulasso,Unknown
CENTRE NATIONAL DE SEMENCES FORESTIERES,Burkina Faso,OUAGADOUGOU,Unknown
Direzione Generale della Cooperazioneallo Sviluppo,Burkina Faso,Ouagadougou,Unknown
Centre National de Lutte contre le Paludisme,Burkina Faso,Ouagadougou,Unknown
Institut National d'Etudes et de Recherches Agricoles du Burkina-Faso,Burkina Faso,Bobo-Dioulasso,Unknown
Centre International de Recherche-DÃ©veloppement sur l'Elevage en Zone Subhumides,Burkina Faso,Bobo-Dioulasso,Unknown
