name,country,city,businessType
ROYAL UNIVERSITY OF LAW AND ECONOMICS,Cambodia,Phnom Penh,Higher or Secondary Education Establishments
NATIONAL INSTITUTE FOR PUBLIC HEALTH,Cambodia,PHNOM PENH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUT PASTEUR DU CAMBODGE FOUNDATION,Cambodia,PHNOM PENH,Research Organisations
Institute of Tropical Agriculture,Cambodia,Phnom Penh,Unknown
"NATIONAL CENTER FOR MALARIA CONTROL, PARASITOLOGY AND ENTOMOLOGY",Cambodia,PHNOM PENH,Unknown
THE CENTRE FOR ADVANCED STUDY,Cambodia,PHNOM PENH,Unknown
MINISTRY OF HEALTH,Cambodia,PHNOM PENH,Unknown
NATIONAL INSTITUTE OF PUBLIC HEALTH,Cambodia,PHNOM PENH,Unknown
CENTRE D'ETUDE ET DE DEVELOPPEMENT AGRICOLE CAMBODGIEN,Cambodia,PHNOM PENH,Unknown
ROYAL UNIVERSITY OF AGRICULTURE,Cambodia,PHNOM PENH,Unknown
INSTITUT PASTEUR DU CAMBODGE,Cambodia,PHNOM PENH,Unknown
"MINISTRY OF AGRICULTURE, FORESTRY AND FISHERIES",Cambodia,PHNOM PENH,Unknown
MINISTRY OF WATER RESOURCES AND METEOROLOGY,Cambodia,PHNOM PENH,Unknown
CENTRE FOR ADVANCED STUDY,Cambodia,PHNOM PENH,Unknown
ROYAL UNIVERSITY OF AGRICULTURE,Cambodia,Phnom Penh,Higher or Secondary Education Establishments
DEPARTMENT OF ENVIRONMENT PHNOM PENH MUNICIPALITY,Cambodia,"OLYMPIC, CHAMKAMORN, PHNOM PENH",Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ROYAL UNIVERSITY OF PHNOM PENH,Cambodia,PHNOM PENH,Higher or Secondary Education Establishments
THE NATIONAL INFORMATION COMMUNICATION TECHNOLOGY DEVELOPMENT AUTHORITY,Cambodia,PHNOM PENH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRE FOR ADVANCED STUDY,Cambodia,PHNOM PENH,Research Organisations
OPEN INSTITUTE,Cambodia,PHNOM PENH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF HEALTH,Cambodia,PHNOM PENH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"""Ministry of Agriculture, Forestry and Fisheries""",Cambodia,Phnom Penh,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
