name,country,city,businessType
UNIVERSITE DE YAOUNDE I,Cameroon,YAOUNDE,Higher or Secondary Education Establishments
INSTITUT DE RECHERCHE AGRICOLE POUR LE DEVELOPPEMENT,Cameroon,YAOUNDE,Research Organisations
Organisation de Coordination pour la lutte contre les Endemies en Afrique Centrale,Cameroon,Yaounde,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LA SOCIETE SOLARHYDROWATT SARL,Cameroon,YAOUNDE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE DE DOUALA,Cameroon,DOUALA,Higher or Secondary Education Establishments
GROUPEMENT INTER-PATRONAL DU CAMEROUN,Cameroon,DOUALA,Other
UNIVERSITY OF BUEA,Cameroon,BUEA SOUTHWEST REGION,Higher or Secondary Education Establishments
MINISTRY OF SCIENTIFIC RESEARCH AND INNOVATION,Cameroon,YAOUNDE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ECOLE NATIONALE SUPERIEURE DES TRAVAUX PUBLICS,Cameroon,YAOUNDE,Higher or Secondary Education Establishments
Agence Nationale des Technologies de l'Information et de la Communication,Cameroon,YAOUNDE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Dschang University,Cameroon,Yaounde,Unknown
Institut de la Recherche Agronomique du Cameroun,Cameroon,YaoundÃ©,Unknown
University of YaoundÃ©,Cameroon,YaoundÃ©,Unknown
Institut of Animal and Veterinary Research,Cameroon,YaoundÃ©,Unknown
Institute of Agronomic Research,Cameroon,Maroua,Unknown
Centre de Recherches Zootechniques deWakwa,Cameroon,N'GaoundÃ©rÃ©,Unknown
Centre de Recherche RÃ©gionales sur Bananiers et Plaintains,Cameroon,Douala,Unknown
Institut de la Recherche Agronomique du Cameroun,Cameroon,Maroua,Unknown
Institut de la Recherche Agronomique du Cameroun,Cameroon,Douala,Unknown
Institut de la Recherche Agronomique du Cameroun,Cameroon,Buea,Unknown
Organisation de Lutte Contre les EndÃ©mies en Afrique Centrale,Cameroon,YaoundÃ©,Unknown
Ecole Nationale SupÃ©rieure des Industries Agro-alimentaires du Cameroun,Cameroon,N'GaoundÃ©rÃ©,Unknown
Office National de DÃ©veloppement des FÃŽrets,Cameroon,Mbalmayo,Unknown
Centre de Recherches Zootechniques deCameroon,Cameroon,N'GaoundÃ©rÃ©,Unknown
Institut de Recherches Medicales et d'Etude des Plantes Medicinales,Cameroon,Kumba,Unknown
Medical Research Station Kumba,Cameroon,Kumba,Unknown
Dschang University,Cameroon,Dschang,Unknown
Organisation de Lutte Contre les EndÃ©mies en Afrique Centrale,Cameroon,Yaounde,Unknown
University of YaoundÃ© I,Cameroon,YaoundÃ©,Unknown
UNIVERSITY OF YAOUNDE I,Cameroon,YAOUNDE,Unknown
Centre Hospitalier et Universitaire,Cameroon,Yaounde,Unknown
Centre Pasteur de YaoundÃ©,Cameroon,YaoundÃ©,Unknown
Centre de Recherches RÃ©gionales sur Bananiers et Plantains,Cameroon,Douala,Unknown
UNIVERSITY OF BUEA,Cameroon,BUEA,Unknown
Institut de la Recherche Agricole pour le developpement,Cameroon,Yaounde,Unknown
Institut de la Recherche Agronomique du Cameroun,Cameroon,Yaounde,Unknown
MinistÃšre d'Elevage des Peches et desIndustries Animales,Cameroon,YoundÃ©,Unknown
ORGANISATION DE LUTTE CONTRE LES ENDEMIES EN AFRIQUE CENTRALE,Cameroon,YAOUNDE,Unknown
Universite de Dschang,Cameroon,Dschang,Unknown
Institut de Recherche MÃ©dicale et desPlantes MÃ©dicinales,Cameroon,YaoundÃ©,Unknown
Agro PME,Cameroon,YaoundÃ©,Unknown
MINISTRY OF SCIENTIFIC AND TECHNICAL RESEARCH,Cameroon,YAOUNDE,Unknown
CENTRE FOR SCHISTOSOMIASIS AND PARASITOLOGY,Cameroon,YAOUNDE,Unknown
INSTITUTE OF AGRICULTURAL RESEARCH FOR DEVELOPMENT,Cameroon,N'GAOUNDERE,Unknown
INSTITUTE OF AGRICULTURAL RESEARCH FOR DEVELOPMENT,Cameroon,YAOUNDE,Unknown
RESEARCH FOUNDATION IN TROPICAL DISEASES AND ENVIRONMENT,Cameroon,BUEA,Unknown
TROPICAL MEDICAL RESEARCH STATION KUMBA,Cameroon,KUMBA,Unknown
UNIVERSITY OF DOUALA,Cameroon,DOUALA,Unknown
FOBANG FOUNDATION,Cameroon,YAOUNDE,Unknown
INSTITUT DE RECHERCHE AGRICOLE POUR LE DEVELOPPEMENT,Cameroon,YAOUNDE,Unknown
UNIVERSITÃ DES MONTAGNES,Cameroon,BANGANGTÃ,Unknown
ORGANISATION DE COORDINATION POUR LA LUTTE CONTRE LES ENDÃMIES EN AFRIQUE CENTRALE,Cameroon,YAOUNDE,Unknown
UNIVERSITY OF YAOUNDÃ,Cameroon,YAOUNDÃ,Unknown
Research Foundation in Tropical Diseases and Environment,Cameroon,Buea,Research Organisations
UNIVERSITE DE DSCHANG,Cameroon,DSCHANG,Higher or Secondary Education Establishments
CENTRE POUR L'ENVIRONNEMENT ET LE DEVELOPPEMENT,Cameroon,Yaounde,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CAMEROON BIODIVERSITY CONSERVATION SOCIETY,Cameroon,MESSA YAOUNDE,Research Organisations
Ministry of Public Health,Cameroon,YAOUNDE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"MINISTERE DE L'INDUSTRIE, DES MINES ET DU DEVELOPPEMENT TECHNOLOGIQUE",Cameroon,Yaounde,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GEOSPATIAL TECHNOLOGY GROUP SARL,Cameroon,YAOUNDE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COALITION POUR LA PROMOTION DE L'AGRICULTURE URBAINE ET PERIURBAINE ENAFRIQUE ASSOCIATION,Cameroon,YAOUNDE,Other
Organisation de Coordination pour la lutte contre les EndÃ©mies en Afrique Centrale,Cameroon,Yaounde,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE DE NGOUNDERE,Cameroon,NgaoundÃ©rÃ©,Higher or Secondary Education Establishments
