name,country,city,businessType
Simon Fraser University,Canada,BURNABY,Higher or Secondary Education Establishments
THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,Canada,TORONTO,Higher or Secondary Education Establishments
UNIVERSITY OF GUELPH,Canada,GUELPH,Higher or Secondary Education Establishments
UNIVERSITE DE MONTREAL,Canada,MONTREAL,Higher or Secondary Education Establishments
THE UNIVERSITY OF WESTERN ONTARIO,Canada,ONTARIO -LONDON,Higher or Secondary Education Establishments
CANADIAN INSTITUTES OF HEALTH RESEARCH,Canada,OTTAWA ONTARIO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Queen's University at Kingston,Canada,Kingston,Higher or Secondary Education Establishments
TRIUMF,Canada,Vancouver,Research Organisations
DALHOUSIE UNIVERSITY,Canada,HALIFAX,Higher or Secondary Education Establishments
MEOPAR INCORPORATED,Canada,HALIFAX NOVA SCOTIA,Other
Fujifilrm Visualsonics,Canada,Toronto,Other
RYERSON UNIVERSITY,Canada,TORONTO,Higher or Secondary Education Establishments
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,Canada,ST JOHN'S,Higher or Secondary Education Establishments
The Research Institute of the Mc Gill University Health Centre,Canada,MONTREAL,Research Organisations
THE GOVERNORS OF THE UNIVERSITY OF ALBERTA UNIVERSITY OF ALBERTA,Canada,EDMONTON ALBERTA,Higher or Secondary Education Establishments
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,Canada,OSHAWA ON,Higher or Secondary Education Establishments
UNIVERSITY OF BRITISH COLUMBIA,Canada,VANCOUVER,Higher or Secondary Education Establishments
NATURAL SCIENCES AND ENGINEERING RESEARCH COUNCIL,Canada,OTTAWA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING MCGILL UNIVERSITY,Canada,MONTREAL,Higher or Secondary Education Establishments
IODINE GLOBAL NETWORK,Canada,OTTAWA ON,Other
UNIVERSITY OF NEW BRUNSWICK,Canada,FREDERICTON,Higher or Secondary Education Establishments
CORPORATION DE L ECOLE POLYTECHNIQUE DE MONTREAL ASSOCIATION,Canada,MONTREAL,Higher or Secondary Education Establishments
INSTITUT NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Canada,QUEBEC,Higher or Secondary Education Establishments
CANADIAN SPACE AGENCY,Canada,SAINT-HUBERT,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE LAVAL,Canada,QUEBEC,Higher or Secondary Education Establishments
FONDS DE RECHERCHE DU QUEBEC - SANTE,Canada,MONTREAL QUEBEC,Other
UNU-INWEH,Canada,Hamilton,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ENVIRONMENT CANADA,Canada,GATINEAU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITY OF MANITOBA,Canada,MANITOBA,Higher or Secondary Education Establishments
ONTARIO MINISTRY OF ENVIRONMENT AND CLIMATE CHANGE,Canada,TORONTO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE DU QUEBEC A RIMOUSKI,Canada,RIMOUSKI,Higher or Secondary Education Establishments
LAKEHEAD UNIVERSITY,Canada,THUNDER BAY,Higher or Secondary Education Establishments
CANADIAN NUCLEAR LABORATORIES LTD,Canada,CHALK RIVER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CIHI- Canadian Institute for Health Information,Canada,Ottawa,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"IHPME- University of Toronto Institute of Health Policy, Management & Evaluation",Canada,Toronto,Higher or Secondary Education Establishments
UNIVERSITE DE SHERBROOKE,Canada,SHERBROOKE,Higher or Secondary Education Establishments
Toronto Centre for Phenogenomics Inc.,Canada,Toronto,Research Organisations
Ontario Institute for Cancer Research,Canada,"TORONTO, ONTARIO",Research Organisations
BOMBARDIER INC.,Canada,MONTREAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OCEAN NETWORKS CANADA,Canada,VICTORIA,Research Organisations
