name,country,city,businessType
INSTITUTO NACIONAL DE DESENVOLVIMENTO DAS PESCAS,Cape Verde,MINDELO - SAN VICENTE,Research Organisations
INSTITUTO NACIONAL DE METEOROLOGIA E GEOFISICA,Cape Verde,ESPARGOS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDADE DE CABO VERDE,Cape Verde,PRAIA,Higher or Secondary Education Establishments
Instituto do Patrimonio Cultural,Cape Verde,PRAIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
National Institute for Fisheries Development,Cape Verde,S.Vincente,Unknown
MINISTERIO DA SAUDE,Cape Verde,SAO VICENTE,Unknown
INSTITUTO NACIONAL DE INVESTIGACAO E DESENVOLVIMENTO AGRARIO,Cape Verde,PRAIA,Unknown
INSTITUTO NACIONAL DE METEROLOGIA E GEOFISICA,Cape Verde,ESPARGOS,Unknown
INSTITUTO NACIONAL DE DESENVOLVIMENTO DAS PESCAS,Cape Verde,MINDELO - SAN VICENTE,Unknown
"EMPRESA DE ELECTRICIDADE E ÃGUA, SARL",Cape Verde,MINDELO,Unknown
MINISTERIO DE ADMINISTRACAO INTERNA,Cape Verde,PRAIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"MINISTERIO DO ENSINO SUPERIOR, CIENCIA E INOVACAO",Cape Verde,PRAIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
DIRECCAO GERAL DE ENSINO SUPERIOR E CIENCIA,Cape Verde,PRAIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
