name,country,city,businessType
COOPERATIVA AGRICOLA VITIVINICOLA LONCOMILLA,Chile,SAN JAVIER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DE CHILE,Chile,SANTIAGO,Higher or Secondary Education Establishments
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Chile,SANTIAGO,Higher or Secondary Education Establishments
AVS CHILE SOCIEDAD ANONIMA,Chile,PUERTO VARAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Chile,VALPARAISO,Higher or Secondary Education Establishments
CENTRO PREMIO NOBEL MARIO MOLINA PARA ESTUDIOS ESTRATEGICOS SOBRE ENERGIA Y MEDIO AMBIENTE CHILE LIMITADA,Chile,SANTIAGO DE CHILE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD AUTONOMA DE CHILE,Chile,TEMUCO,Higher or Secondary Education Establishments
UNIVERSIDAD MAYOR,Chile,PROVIDENCIA,Higher or Secondary Education Establishments
GOBIERNO REGIONAL METROPOLITANO DE SANTIAGO,Chile,SANTIAGO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EMPRESA NACIONAL DE MINERIA,Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Universidad Austral de Chile,Chile,VALDIVIA,Higher or Secondary Education Establishments
UNIVERSIDAD DE CONCEPCION,Chile,CONCEPCION,Higher or Secondary Education Establishments
UNIVERSIDAD DE LA FRONTERA,Chile,TEMUCO,Higher or Secondary Education Establishments
UNIVERSIDAD CATOLICA DEL NORTE,Chile,ANTOFAGASTA,Higher or Secondary Education Establishments
ECOTEC INGENIERIA LIMITADA,Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POSITRONPHARMA SA,Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CORPORACION RED UNIVERSITARIA NACIONAL,Chile,SANTIAGO,Other
Instituto de Investigaciones Agropecuarias,Chile,Santiago,Research Organisations
BBLOOCK - SMARTHINKING SPA,Chile,RANCAGUA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AES GENER SA,Chile,LAS CONDES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD ADOLFO IBANEZ,Chile,SANTIAGO,Higher or Secondary Education Establishments
ABB SA,Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CAMARA DE COMERCIO ITALIANA DE CHILE ASOCIACION GREMIAL,Chile,SANTIAGO,Other
UNIVERSIDAD DE SANTIAGO DE CHILE,Chile,SANTIAGO,Higher or Secondary Education Establishments
UNITED NATIONS ECONOMIC COMMISSION FOR LATIN AMERICA AND THE CARIBBEAN,Chile,SANTIAGO DE CHILE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EL TALLER TRES SPA,Chile,Santiago (comuna de San Joaquin),Private for-profit entities (excluding Higher or Secondary Education Establishments)
AHK BUSINESS CENTER SA,Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DIEGO PORTALES,Chile,Santiago,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Chile,VALPARAISO,Higher or Secondary Education Establishments
BANCO DEL ESTADO DE CHILE,Chile,SANTIAGO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FUNDACION PARA LA INNOVACION AGRARIA,Chile,SANTIAGO,Other
UNIVERSIDAD DEL DESARROLLO,Chile,SAN CARLOS DE APOQUINDO,Higher or Secondary Education Establishments
COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA,Chile,SANTIAGO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRO DE ESTUDIOS AVANZADADOS EN ZONAS ARIDAS,Chile,LA SERENA,Other
SERVICIO DE SALUD METROPOLITANO NORTE,Chile,SANTIAGO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD DE LOS LAGOS,Chile,Osorno,Higher or Secondary Education Establishments
UNIVERSIDAD DE TALCA,Chile,TALCA,Higher or Secondary Education Establishments
UNIVERSIDAD CATOLICA DEL MAULE,Chile,TALCA,Higher or Secondary Education Establishments
UNIVERSIDAD ANDRES BELLO,Chile,SANTIAGO,Higher or Secondary Education Establishments
UNIVERSIDAD DE VALPARAISO,Chile,VALPARAISO,Higher or Secondary Education Establishments
UNIVERSIDAD DEL BIO-BIO,Chile,CONCEPCION,Higher or Secondary Education Establishments
Universidad CatÃ³lica de Chile,Chile,Santiago,Unknown
Universidad de Concepcion,Chile,Concepcion,Unknown
Universidad de Chile,Chile,Valdivia,Unknown
Universidad de Chile,Chile,Santiago,Unknown
Universidad de Chile,Chile,Santiago de Chile,Unknown
Pesquera Francis Drake SA,Chile,Valparaiso,Unknown
Universidad Austral de Chile,Chile,Valdivia,Unknown
Universidad de la Frontera,Chile,Temuco - Casilla 54D,Unknown
Fundacion Chile,Chile,Santiago,Unknown
Universidad CatÃ³lica de Chile,Chile,Santiago - Casilla de Correo,Unknown
Instituto Tecnologico del Salmon S.A.,Chile,Puerto Montt,Unknown
UNIVERSIDAD AUSTRAL DE CHILE,Chile,VALDIVIA,Unknown
Universidad Catslica de Chile,Chile,Santiago,Unknown
Universidad De Santiago de Chile,Chile,Santiago,Unknown
Corporacion ong Rimisp,Chile,Santiago,Unknown
UNIVERSIDAD DE LOS LAGOS,Chile,OSORNO,Unknown
UNIVERSIDAD CATOLICA DE VALPARAISO,Chile,VALPARAISO,Unknown
Taller de Estudios Andinos,Chile,Arica,Unknown
Universidad de Concepcion,Chile,ConcepciÃ³n,Unknown
Empresa Electrica Pehuenche Sa,Chile,Santiago,Unknown
Centro de Investigacion Minera y Metalurgica,Chile,Santiago,Unknown
Universidad de Chile,Chile,Santiago 7,Unknown
Universidad de Chile,Chile,7 Santiago,Unknown
Universidad Catolica del Norte,Chile,Antofagasta,Unknown
Universidad de la Frontera,Chile,Temuco,Unknown
Pontifica Universidad Catolica de Chile,Chile,22 Santiago,Unknown
UNIVERSIDAD DE CHILE,Chile,SANTIAGO,Unknown
EMPRESA ELECTRICA PEHUENCHE SA,Chile,SANTIAGO,Unknown
CENTRO DE INVESTIGACION MINERA Y METALURGICA,Chile,SANTIAGO,Unknown
"PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE, INGENIERIA ELECTRICA",Chile,SANTIAGO DE CHILE,Unknown
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Chile,SANTIAGO,Unknown
CENTRO INTERAMERICANO PARA EL DESARROLLO DE ECOSISTEMAS SUSTENTABLES S.A.,Chile,SANTIAGO,Unknown
INSTITUTO DE SALUD PUBLICA DE CHILE,Chile,NUNOA-SANTIAGO,Unknown
UNIVERSIDAD DE CONCEPCION,Chile,CHILLAN,Unknown
UNITED NATIONS ECONOMIC COMMISSION FOR LATIN AMERICA AND THE CARIBBEAN,Chile,SANTIAGO,Unknown
UNIVERSIDAD DE LA SERENA,Chile,LA SERENA,Unknown
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Chile,VALPARAISO,Unknown
PERKIN ELMER LTDA,Chile,PROVIDENCIA - SANTIAGO,Unknown
UNIVERSIDAD CATOLICA DEL NORTE,Chile,ANTOFAGASTA,Unknown
INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,Chile,SAN FERNANDO,Unknown
UNIVERSIDAD DE CONCEPCION,Chile,CONCEPCION,Unknown
UNIVERSIDAD DE CHILE,Chile,SANTIAGO DE CHILE,Unknown
"UNIVERSIDAD DE CHILE, INSTITUTO DE CIENCIAS BIOMEDICAS",Chile,SANTIAGO,Unknown
CORPORACION DE CIENCIAS Y DE LA EDUCACION - INSTITUTO DE SISTEMAS COMPLEJOS DE VALPARAISO,Chile,VALPARAISO,Unknown
INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,Chile,SANTIAGO,Unknown
FUNDACIÃN CHILE,Chile,SANTIAGO - CHILE,Unknown
CENTRO DE TRANSFERENCIA TECNOLOGICA DE LA UNIVERSIDAD CATOLICA DE VALPARAISO S.A.,Chile,VALPARAISO,Unknown
HIDROCULTIVOS S.A.,Chile,CALDERA - III REGION,Unknown
CENTRO LATINOAMERICANO PARA LAS RELACIONES CON EUROPA,Chile,SANTIAGO,Unknown
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Chile,,Unknown
"FACULTY OF MEDICINE, UNIVERSITY OF CHILE, ICBM",Chile,SANTIAGO,Unknown
UNIVERSIDAD DE CONCEPCIÃN,Chile,CONCEPCIÃN,Unknown
UNIVERSITY OF CHILE,Chile,SANTIAGO,Unknown
FUNDACION CHILE,Chile,SANTIAGO,Unknown
CENTRO DEL AGUA PARA ZONAS ARIDAS Y SEMI ARIDAS DE AMERICA LATINA Y EL CARIBE - WATER CENTER FOR ARID AND SEMI ARID ZONES IN LATIN AMERICA AND THE CARIBBEAN,Chile,LA SERENA,Unknown
SCHLUMBERGER WATER SERVICES CHILE LTDA.,Chile,SANTIAGO,Unknown
ONG RED DE ACCIÃN POR LA TIERRA OR EARTH ACTION ALERTS NETWORK,Chile,SANTIAGO,Unknown
ASESORIAS Y CONSULTORIAS EN CAMBIO CLIMATICO Y DESAROLLO LIMITADA,Chile,SANTIAGO,Unknown
CENTRO DE INVESTIGACION OCEANOGRAFICA EN EL PACIFICO SUR-ORIENTAL,Chile,CONCEPCION,Unknown
"UNIVERSITY OF CHILE, SANTIAGO",Chile,SANTIAGO,Unknown
CENTER OF OCEANOGRAPHY FOR THE EASTERN SOUTH PACIFIC,Chile,CONCEPCION,Unknown
UNIVERSIDAD ARTURO PRAT,Chile,IQUIQUE,Unknown
UNIVERSIDAD DE ANTOFAGASTA,Chile,ANTOFAGASTA,Unknown
UNIVERSIDAD DE TALCA,Chile,TALKA,Unknown
UNIVERSIDAD DE CONCEPCION,Chile,Concepcion,Higher or Secondary Education Establishments
SERVICIO HIDROGRAFICO Y OCEANOGRAFICO DE LA ARMADA,Chile,PLAYA ANCHA VALPARISIO,Unknown
PONTIFICIA UNIVERSIDAD CATÃLICA DE CHILE,Chile,Santiago,Unknown
COMISION NACIONAL DEL MEDIO AMBIENTE,Chile,SANTIAGO DE CHILE,Unknown
CENTRO DE ECOLOGÃA APLICADA LTDA.,Chile,SANTIAGO,Unknown
NATIONAL COMMISSION FOR SCIENTIFIC AND TECHNOLOGICAL RESEARCH,Chile,SANTIAGO,Unknown
UNIVERSIDAD CATÃLICA DEL NORTE,Chile,ANTOFAGASTA,Unknown
FUNDACION CENTRO DE ESTUDIOS DE LA MUJER,Chile,SANTIAGO,Unknown
UNIVERSIDAD DE CHILE.,Chile,SANTIAGO-CHILE,Unknown
UNIVERSIDAD DE SANTIAGO DE CHILE,Chile,SANTIAGO,Unknown
ASOCIACION DE DERECHO E INFORMATICA DE CHILE,Chile,SANTIAGO,Unknown
GRUPO ONCOLOGICO COOPERATIVO CHILENO DE INVESTIGACION,Chile,SANTIAGO,Unknown
RECURSOS E INVESTIGACION PARA EL DESARROLLO SUSTENTABLE (RIDES),Chile,SANTIAGO,Unknown
ORGANIZACION INTERNACIONAL DE ASOCIACIONES DE CONSUMIDORES,Chile,SANTIAGO,Unknown
RED UNIVERSITARIA NACIONAL,Chile,SANTIAGO,Unknown
SOLUCIONES S.A.,Chile,SANTIAGO DE CHILE,Unknown
UNIVERSIDAD DE TALCA,Chile,TALCA,Unknown
UNIVERSIDAD DIEGO PORTALES,Chile,SANTIAGO,Unknown
COMISIÃN NACIONAL DE ENERGÃA,Chile,SANTIAGO,Unknown
CENTRO DE ESTUDIOS CIENTIFICOS,Chile,VALDIVIA,Research Organisations
UNIVERSIDAD DE LA SERENA,Chile,LA SERENA,Higher or Secondary Education Establishments
CENTRO VETERINARIO Y AGRICOLA LIMITADA,Chile,CERRILLOS SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Universidad de Antofagasta,Chile,Antofagasta,Higher or Secondary Education Establishments
ASESORIAS PROFESIONALES P. LEHUEDE LTDA.,Chile,LAS CONDES - SANTIAGO,Unknown
SERVICIO EVANGELICO PARA EL DESARROLLO CORPORACION SIN FINES DE LUCRO,Chile,CONCEPCION,Other
"ORGANIZACION NO GUBERNAMENTAL, ASOCIACION DE DERECHOS E INFORMATICA DECHILE",Chile,SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUNDACION FRAUNHOFER CHILE RESEARCH,Chile,Santiago de Chile,Research Organisations
FUNDACION CIENCIA PARA LA VIDA,Chile,,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRO DE ESTUDIOS AVANZANDOS EN ZONAS ARIDAS,Chile,,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRO DE INVESTIGACION CIENTIFICO TECNOLOGICO PARA LA MINERIA,Chile,ANTOFAGASTA,Research Organisations
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,Chile,CONCEPCION,Higher or Secondary Education Establishments
ASOCIACION REGIONAL DE TELEVISION DEL BIO BIO ASOCIACION GREMIAL,Chile,YUNGAY,Research Organisations
HYC AMERICAS SA,Chile,"LAS CONDES, SANTIAGO",Private for-profit entities (excluding Higher or Secondary Education Establishments)
Instituto de EcologÃ­a y Biodiversidad,Chile,Santiago,Research Organisations
INSTITUTO DE FOMENTO PESQUERO,Chile,VALPARAISO,Research Organisations
FUNDACION EMPRESARIAL COMUNIDAD EUROPEA CHILE,Chile,SANTIAGO DE CHILE,Other
ANTARTIC SEAFOOD SA,Chile,COQUIMBO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DEL PACIFICO,Chile,SANTIAGO,Higher or Secondary Education Establishments
Fundacion Chile,Chile,SANTIAGO,Research Organisations
Instituto de Dinamica Celular y Biotecnologia,Chile,SANTIAGO,Research Organisations
ANASAC CHILE SA,Chile,PROVIDENCIA SANTIAGO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD TECNOLOGICA METROPOLITANA,Chile,SANTIAGO,Higher or Secondary Education Establishments
