name,country,city,businessType
INSTITUTE OF HIGH ENERGY PHYSICS CHINESE ACADEMY OF SCIENCES,China,BEIJING,Research Organisations
Shanghai Jiaotong University,China,Shanghai,Higher or Secondary Education Establishments
BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCE,China,BEIJING,Research Organisations
THE CHINESE UNIVERSITY OF HONG KONG,China,HONG KONG,Higher or Secondary Education Establishments
BEIJING NORMAL UNIVERSITY,China,BEIJING,Higher or Secondary Education Establishments
HEFEI INSTITUTES OF PHISICAL SCIENCES CHINESE ACADEMY OF SCIENCES,China,HEFEI,Research Organisations
CHONGQING UNIVERSITY,China,Chongqing,Higher or Secondary Education Establishments
TSINGHUA UNIVERSITY,China,BEIJING,Higher or Secondary Education Establishments
NANJING UNIVERSITY,China,NANJING,Higher or Secondary Education Establishments
SHANGHAI JIAO TONG UNIVERSITY,China,SHANGHAI,Higher or Secondary Education Establishments
"NATIONAL INSTITUTE FOR VIRAL DISEASE CONTROL AND PREVENTION, CHINESE CENTER FOR DISEASE CONTROL AND PREVENTION",China,BEIJING,Research Organisations
SUN YAT-SEN UNIVERSITY,China,GUANGZHOU,Higher or Secondary Education Establishments
GUANGDONG UNIVERSITY OF TECHNOLOGY,China,GUANGZHOU,Higher or Secondary Education Establishments
CHINA ACADEMY OF BUILDING RESEARCH,China,BEIJING,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SHANGXI ZHONGLV ENVIRONMENTAL PROTECTION GROUP CO LTD,China,TAIYUAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE TAIYUAN UNIVERSITY OF TECHNOLOGY,China,TAIYUAN,Higher or Secondary Education Establishments
INSTITUTE OF ATMOSPHERIC PHYSICS OFCHINESE ACADEMY OF SCIENCES,China,BEIJING,Research Organisations
INSTITUTE OF REMOTE SENSING AND DIGITAL EARTH - CHINESE ACADEMY OF SCIENCE,China,BEIJING,Research Organisations
WUHAN MUNICIPAL PEOPLE'S GOVERNMENT,China,WUHAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL DEVELOPMENT AND REFORM COMMISSION ENERGY RESEARCH INSTITUTE,China,BEIJING,Research Organisations
FUDAN UNIVERSITY,China,SHANGHAI,Higher or Secondary Education Establishments
SHANGHAI UNIVERSITY OF INTERNATIONAL BUSINESS AND ECONOMICS,China,SHANGHAI,Higher or Secondary Education Establishments
"INSTITUTE OF URBAN ENVIRONMENT, CHINESE ACADEMY OF SCIENCES",China,XIAMEN,Research Organisations
SHENZHEN MEDCAPTAIN MEDICAL TECHNOLOGY,China,SHENZHEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTE OF PLANT PROTECTION CHINESE ACADEMY OF AGRICULTURE SCIENCES,China,BEIJING,Research Organisations
CHINA CENTER FOR URBAN DEVELOPMENT,China,BEIJING,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CHINA ACADEMY OF URBAN PLANNING AND DESIGN,China,BEIJING,Research Organisations
TONGJI UNIVERSITY,China,SHANGAI,Higher or Secondary Education Establishments
CHINESE ACADEMY OF SCIENCE AND TECHNOLOGY FOR DEVELOPMENT*CASTED,China,BEIJING,Research Organisations
"INSTITUTE OF GEOGRAPHICAL SCIENCES AND NATURAL RESOURCES RESEARCH, CHINESE ACADEMY OF SCIENCES",China,BEIJING,Higher or Secondary Education Establishments
CHINA SMART CITY PLANNING & DESIGN RESEARCH INSTITUTE CO,China,BEIJING,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"NATIONAL CENTER FOR NANOSCIENCE AND TECHNOLOGY, CHINA",China,BEIJING,Research Organisations
CHINA PHARMACEUTICAL UNIVERSITY,China,NANJING,Higher or Secondary Education Establishments
"HUBEI GEDIAN HUMANWELL PHARMACEUTICAL CO., LTD",China,EZHOU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Guangzhou Institute of Geochemsitry, Chinese Academy of Sciences",China,Guangzhou,Research Organisations
HONG KONG POLYTECHNIC UNIVERSITY,China,HONG KONG,Higher or Secondary Education Establishments
"INSTITUT PASTEUR OF SHANGHAI, CHINESE ACADEMY OF SCIENCES",China,SHANGHAI,Research Organisations
Huazhong University of Science and Technology,China,WUHAN,Higher or Secondary Education Establishments
"WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES",China,WUHAN,Research Organisations
INSTITUTE OF SOIL SCIENCE CHINESE ACADEMY OF SCIENCES,China,NANJING,Research Organisations
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,China,BEIJING,Higher or Secondary Education Establishments
SHANXI INSTITUTE OF COAL CHEMISTRY CHINESEACADEMY OF SCIENCES,China,TAIYUAN SHANXI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SHANDONG UNIVERSITY,China,JINAN SHANDONG,Higher or Secondary Education Establishments
CHINA UNIVERSITY OF GEOSCIENCES (BEIJING),China,BEIJING,Higher or Secondary Education Establishments
NATIONAL SPACE SCIENCE CENTER,China,BEIJING,Research Organisations
PEKING UNIVERSITY,China,BEIJING,Higher or Secondary Education Establishments
SHANGHAI INSTITUTE OF APPLIED PHYSICS CHINESE ACADEMY OF SCIENCE,China,Shanghai,Higher or Secondary Education Establishments
SINOPEC EXPLORATION & PRODUCTION RESEARCH INSTITUTE,China,Beijing,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Chinese Academy of Agricultural Sciences,China,Beijing,Research Organisations
BEIJING COMPUTING CENTER,China,BEIJING,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BEIJING MUNICIPAL INSTITUTE OF LABOUR PROTECTION,China,BEIJIGN,Research Organisations
Polar Research Institute of China,China,Shanghai,Research Organisations
"NATIONAL MARINE ENVIRONMENTAL FORECASTING CENTER (NATIONAL TSUNAMI WARNING CENTER, STATE OCEANIC ADMINISTRATION)",China,BEIJING,Other
NATIONAL CENTER FOR CLIMATE CHANGE STRATEGY AND INTERNATIONAL COOPERATION,China,BEIJING,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Nankai University,China,TIANJIN,Higher or Secondary Education Establishments
XI'AN JIAOTONG UNIVERSITY,China,XI'AN,Higher or Secondary Education Establishments
"YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES",China,QINGDAO,Research Organisations
