name,country,city,businessType
LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA,Colombia,BOGOTA,Research Organisations
UNIVERSIDAD ANTONIO NARINO,Colombia,BOGOTA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,BOGOTA,Higher or Secondary Education Establishments
ASOCIACION LATINOAMERICANA DE SISTEMAS INTEGRADOS Y BRT,Colombia,CHIA,Other
PONTIFICIA UNIVERSIDAD JAVERIANA,Colombia,BOGOTA,Higher or Secondary Education Establishments
GRUPO VERDE LTDA,Colombia,BOGOTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FEDERACION COLOMBIANA DE MUNICIPIOS,Colombia,BOGOTA D.C.,Other
CORPORACION NUEVOS RUMBOS INVESTIGACION Y PREVENCION,Colombia,BOGOTA,Research Organisations
KERALTY SAS,Colombia,BOGOTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DE CARTAGENA,Colombia,CARTAGENA DE INDIAS,Higher or Secondary Education Establishments
CENTRO DE INVESTIGATION CIENTIFICACAUCASECO LIMITADA,Colombia,CALI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DEL CAUCA,Colombia,POPAYAN,Higher or Secondary Education Establishments
Universidad Industrial de Santander,Colombia,Bucaramanga,Higher or Secondary Education Establishments
UNIVERSIDAD DEL VALLE,Colombia,CALI,Higher or Secondary Education Establishments
FUNDACION UNIVERSIDAD DEL NORTE,Colombia,BARRANQUILLA,Higher or Secondary Education Establishments
"CENTRO INTERNACIONAL DE AGRICULTURATROPICAL, CIAT",Colombia,PALMIRA,Research Organisations
COLEGIO MAYOR DE NUESTRA SENORA DELROSARIO CORPORACION SIN ANIMO DE LUCRO,Colombia,BOGOTA DC,Higher or Secondary Education Establishments
ASOCIACION COLOMBIANA PARA EL AVANCE DE LA CIENCIA - ACAC,Colombia,BOGOTA,Other
UNIVERSIDAD AUTONOMA DE BUCARAMANGA,Colombia,BUCARAMANGA,Higher or Secondary Education Establishments
ALCALDIA DE MEDELLIN,Colombia,MEDELLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD DE ANTIOQUIA,Colombia,MEDELLIN,Higher or Secondary Education Establishments
CORPORACION RED NACIONAL ACADEMICA DE TECNOLOGIA AVANZADA,Colombia,BOGOTA,Other
CEMENTOS ARGOS SA,Colombia,MEDELLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD MILITAR NUEVA GRANADA,Colombia,BOGOTA,Higher or Secondary Education Establishments
UNIVERSIDAD DE PAMPLONA,Colombia,PAMPLONA,Higher or Secondary Education Establishments
CENTRO LATINOAMERICANO PARA LA PEQUENA HIDROELECTRICA,Colombia,MEDELLIN,Other
UNIVERSIDAD EXTERNADO DE COLOMBIA,Colombia,BOGOTA,Higher or Secondary Education Establishments
CENTRO DE ENFERMEDADES HEPATICAS Y DIGESTIVAS SAS,Colombia,BOGOTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HOSPITAL UNIVERSITARIO SAN IGNACIO,Colombia,BOGOTA,Other
UNIVERSIDAD EAFIT,Colombia,MEDELLIN,Higher or Secondary Education Establishments
UNIVERSIDAD TECNOLOGICA DE PEREIRA,Colombia,PEREIRA,Higher or Secondary Education Establishments
UNIVERSIDAD DEL MAGDALENA,Colombia,SANTA MARTA,Higher or Secondary Education Establishments
FUNDACION IMAGINARIO COMUNICACION PARA LA PAZ Y EL CAMBIO SOCIAL,Colombia,BOGOTA,Other
UNIVERSIDAD PONTIFICIA BOLIVARIANA Corporacion sin animo de lucro - UPB,Colombia,MEDELLIN,Higher or Secondary Education Establishments
SERVICIO GEOLOGICO COLOMBIANO,Colombia,Bogota,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Servicio Jesuita a Refugiados para America Latina y el Caribe,Colombia,Bogota,Other
UNIVERSIDAD DE LOS ANDES FUNDACION,Colombia,BOGOTA DC,Higher or Secondary Education Establishments
UNIVERSIDAD DE LA SABANA,Colombia,CHIA CUNDINAMARCA,Higher or Secondary Education Establishments
MINISTERIO DE  CIENCIA TECNOLOGIA E  INNOVACION MINCIENCIAS,Colombia,BOGOTA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CORPORACION UNIVERSIDAD DE LA COSTA CUC,Colombia,BARRANQUILLA,Higher or Secondary Education Establishments
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA - UNAD,Colombia,BOGOTA,Higher or Secondary Education Establishments
