name,country,city,businessType
UNIVERSIDAD DE COSTA RICA,Costa Rica,SAN PEDRO DE MONTES DE OCA SAN JOSE,Higher or Secondary Education Establishments
INSTITUTO CENTROAMERICANO DE ADMINISTRACION DE EMPRESAS,Costa Rica,ALAJUELA,Higher or Secondary Education Establishments
MUSEO NACIONAL DE COSTA RICA,Costa Rica,SAN JOSE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,Costa Rica,CURRIDABAT,Higher or Secondary Education Establishments
FUNDACION CENTRO DE ALTA TECNOLOGIA,Costa Rica,SAN JOSE,Research Organisations
UNIVERSIDAD NACIONAL,Costa Rica,HEREDIA,Higher or Secondary Education Establishments
CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA CATIE,Costa Rica,TURRIALBA,Higher or Secondary Education Establishments
ESCUELA DE AGRICULTURA DE LA REGION TROPICAL HUMEDA,Costa Rica,SAN JOSE,Other
FUNDACION AMOR ESPERANZA Y VIDA,Costa Rica,HEREDIA,Other
Ministerio de Ciencia y Tecnologia de Costa Rica,Costa Rica,SAN JOSE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNION NACIONAL DE GOBIERNOS LOCALES,Costa Rica,SAN JOSE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ASOCIACION DE DESARROLLO INTEGRAL DE SALITRILLOS DE CONCEPCION DE LA UNION,Costa Rica,CARTAGO,Other
ESCUELA AUTONOMA DE CIENCIAS MEDICAS DE CENTRO AMERICA,Costa Rica,SAN JOSE,Higher or Secondary Education Establishments
CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA,Costa Rica,TURRIALBA,Unknown
Instituto Interamericano de CooperaciÃ³n para la Agricultura,Costa Rica,San JosÃ©,Unknown
Universidad de Costa Rica,Costa Rica,San JosÃ© - Costa Rica,Unknown
Centro AgronÃ³mico Tropical de InvestigaciÃ³n y EnseÃ±anza,Costa Rica,Turrialba,Unknown
Universidad de Costa Rica,Costa Rica,San JosÃ©,Unknown
Universidad Nacional Costa Rica,Costa Rica,"San Isidro de General, Brunca",Unknown
Universidad Nacional Costa Rica,Costa Rica,Heredia,Unknown
