name,country,city,businessType
SVEUCILISTE U ZAGREBU FAKULTET ELEKTROTEHNIKE I RACUNARSTVA,Croatia,ZAGREB,Higher or Secondary Education Establishments
INSTITUT ZA FIZIKU,Croatia,ZAGREB,Research Organisations
SVEUCILISTE U SPLITU,Croatia,SPLIT,Higher or Secondary Education Establishments
SVEUCILISTE U ZAGREBU GRADEVINSKI FAKULTET,Croatia,ZAGREB,Higher or Secondary Education Establishments
HZ INFRASTRUKTURA D.O.O.,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COMPREHENSIVE WATER TECHNOLOGY DOOZA USLUGE,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SVEUCILISTE U ZAGREBU FAKULTET KEMIJSKOG INZENJERSTVA I TEHNOLOGIJE,Croatia,ZAGREB,Higher or Secondary Education Establishments
"SVEUCILISTE U ZAGREBU, FAKULTET STROJARSTVA I BRODOGRADNJE",Croatia,ZAGREB,Higher or Secondary Education Establishments
RUDER BOSKOVIC INSTITUTE,Croatia,ZAGREB,Research Organisations
Bruncin,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BRUNCIN D.O.O. ZA USLUGE,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FACULTY OF SCIENCE UNIVERSITY OF ZAGREB,Croatia,ZAGREB,Higher or Secondary Education Establishments
STUDIO ELEKTRONIKE RIJEKA DOO,Croatia,RIJEKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HRVATSKI OPERATOR PRIJENOSNOG SUSTAVA DOO,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"BIO-MI DRUSTVO S OGRANICENOM ODGOVORNOSCU ZA PROIZVODNJU, ISTRAZIVANJEI RAZVOJ",Croatia,MATULJI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REGIONALNA ENERGETSKA AGENCIJA SJEVEROZAPADNE HRVATSKE,Croatia,ZAGREB,Research Organisations
GENOS DOO ZA VJESTACENJE I ANALIZU,Croatia,OSIJEK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IPS KONZALTING DOO ZA POSLOVNE USLUGE,Croatia,SISAK GRAD SISAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ERICSSON NIKOLA TESLA D.D.,Croatia,ZAGREB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VODOOPSKRBA I ODVODNJA CRES LOSINJDOO,Croatia,CRES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WWF ADRIA -UDRUGA ZA ZASTITU PRIRODE I OCUVANJE BIOLOSKE RAZNOLIKOSTI,Croatia,ZAGREB,Other
