name,country,city,businessType
INSTITUTO DE INVESTIGACIONES EN FRUTICULTURA TROPICAL,Cuba,LA HABANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRO DE INGENIERIA GENETICA Y  BIOTECNOLOGIA,Cuba,LA HABANA,Research Organisations
INSTITUTO DE MEDICINA TROPICAL PEDRO KOURI,Cuba,LA HABANA,Research Organisations
Oficina del Conservador de la Cuidad de Matanzas,Cuba,Matanzas,Other
UNIVERSIDAD DE LA HABANA,Cuba,PLAZA,Higher or Secondary Education Establishments
"Instituto Nacional de Higiene, Epidemiologia y Microbiologia",Cuba,Havana,Other
ACADEMIA DE LA HISTORIA DE CUBA,Cuba,LA HABANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"Ministerio de Ciencia, Tecnologia y Medio Ambiente",Cuba,La Habana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRO NACIONAL DE SANIDAD AGROPECUARIA,Cuba,SAN JOSE DE LAS LAJAS,Higher or Secondary Education Establishments
CENTRO DE INVESTIGACION Y DESARROLLO DE MEDICAMENTOS,Cuba,HAVANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD TECHNOLOGICA DE LA HABANA JOSE ANTONIO ECHEVERRIA,Cuba,LA HABANA,Higher or Secondary Education Establishments
CENTRO DE APLICACIONES TECNOLOGICAS DE AVANZADA,Cuba,LA HABANA,Research Organisations
MINISTERIO DE LA INDUSTRIA SIDEROMECANICA Y ELECTRONICA,Cuba,LA HABANA,Unknown
Centro de Ingenieria GÃ©nÃ©tica y Biotecnolgia,Cuba,La Habana,Unknown
America Arias Hospital,Cuba,La Habana 4,Unknown
Instituto de Investigaciones de Sanidad Vegetal,Cuba,Habana,Unknown
INSTITUTO DE ECOLOGIA Y SISTEMATICA,Cuba,LA HABANA,Unknown
Instituto Nacional de Investigacionesen Viandas Tropicales,Cuba,Villadura,Unknown
Universidad Central de Las Villas,Cuba,Santa Clara. Villa Clara,Unknown
Instituto Cubano de Investigaciones de los Derivados de la CaÃ±a de Azucar,Cuba,San Miguel del PadrÃ³n,Unknown
"Complejo Agroindustrial Azucarero ""Camilo Cienfuegos""",Cuba,Santa Cruz del Norte,Unknown
"INSTITUTO NACIONAL DE HYGIENE, EPIDEMIOLOGIA Y MICROBIOLOGIA",Cuba,CIUDAD DE LA HABANA,Unknown
CENTRO DE INVESTIGACIONES DE LA ECONOMIA MUNDIAL,Cuba,LA HABANA,Unknown
MINISTERIO DEL ACUZAR,Cuba,CIUDAD DE LA HABANA,Unknown
"INSTITUTO DE MEDICINA TROPICAL ""PEDRO KOURI""",Cuba,LA HABANA,Unknown
CENTRO NACIONAL DE SANIDAD AGROPECUARIA,Cuba,SAN JOSE LAJAS,Unknown
INSTITUTO DE INVESTIGACIONES HORTICOLAS LILIANO DIMITROVA,Cuba,LA HABANA,Unknown
AMERICA ARIAS HOSPITAL,Cuba,LA HABANA,Unknown
CENTRO DE INGENIERIA GENETICA Y BIOTECNOLGIA,Cuba,LA HABANA,Unknown
UNIVERSIDAD DE LA HABANA,Cuba,LA HABANA,Unknown
ESCUELA NACIONAL DE SALUD PUBLICA,Cuba,LA HABANA,Unknown
CUBAN CENTER FOR NEUROSCIENCE - NATIONAL CENTER FOR SCIENTIFIC RESEARCH,Cuba,HAVANA CITY,Unknown
UNIVERSITY OF CIEGO DE AVILA,Cuba,CIEGO DE AVILA,Unknown
CENTRO DE GESTION DE LA INFORMACION Y DESARROLLO DE LA ENERGIA,Cuba,LA HABANA,Unknown
CENTRO DE GESTION DE LA INFORMACION Y DESARROLLO DE LA ENERGIA,Cuba,LA HABANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EMPRESA PRODUCTORA DE SOFTWARE PARA LA TECNICA ELECTRONICA - SOFTEL,Cuba,LA HABANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Ministerio de Ciencia, TecnologÃ­a y Medio Ambiente",Cuba,La Habana,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
