name,country,city,businessType
UNIVERSITY OF CYPRUS,Cyprus,NICOSIA,Higher or Secondary Education Establishments
VERTOYO LIMITED,Cyprus,NICOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNOLOGIKO PANEPISTIMIO KYPROU,Cyprus,LEMESOS,Higher or Secondary Education Establishments
CENTER FOR TECHNOLOGY RESEARCH ANDINNOVATION (CETRI) LTD,Cyprus,Nicosia,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RTD TALOS LIMITED,Cyprus,LEFKOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AETHERIA HEIGHTS LTD,Cyprus,NICOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE CYPRUS INSTITUTE,Cyprus,NICOSIA,Higher or Secondary Education Establishments
IDRYMA EREVNAS KAI KAINOTOMIAS,Cyprus,NICOSIA,Other
CINTECH SOLUTIONS LTD,Cyprus,LEFKOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LEFKONITZIATIS DAIRY PRODUCTS LTD,Cyprus,LIMASSOL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AVANTI HYLAS 2 CYPRUS LIMITED,Cyprus,LIMASSOL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"MINISTRY OF TRANSPORT, COMMUNICATIONS AND WORKS",Cyprus,NICOSIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE CYPRUS FOUNDATION FOR MUSCULAR DYSTROPHY RESEARCH,Cyprus,AYIOS DOMETIOS,Research Organisations
EUROPEAN UNIVERSITY CYPRUS,Cyprus,NICOSIA,Higher or Secondary Education Establishments
LIMASSOL CHAMBER OF COMMERCE AND INDUSTRY,Cyprus,LIMASSOL,Other
GEOIMAGING LIMITED,Cyprus,LEFKOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LARNAKA MUNICIPALITY,Cyprus,LARNACA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIGNALGENERIX LIMITED,Cyprus,LIMASSOL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARITIME INSTITUTE OF EASTERN MEDITERRANEAN - MAR.IN.E.M.,Cyprus,LEMESOS,Other
SUITE5 DATA INTELLIGENCE SOLUTIONS LIMITED,Cyprus,LIMASSOL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERGEIAKO GRAFEIO KYPRION POLITON,Cyprus,LEFKOSIA,Other
LEFKOSIA MUNICIPALITY,Cyprus,LEFKOSIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CYPRUS SUBSEA CONSULTING AND SERVICE C.S.C.S. LIMITED,Cyprus,LAKATAMIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORION - INSTITOUTO AEIFORIAS KAI ANAPTIKSEON,Cyprus,NICOSIA,Research Organisations
DANAOS SHIPPING COMPANY LIMITED,Cyprus,LIMASSOL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STAR BULK SHIPMANAGEMENT CO. (CYPRUS) LTD,Cyprus,Limassol,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIDROCO HOLDINGS LIMITED,Cyprus,NICOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EIGHT BELLS LTD,Cyprus,NICOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CMMI CYPRUS MARINE AND MARITIME INSTITUTE,Cyprus,LARNACA,Other
KOINONIA CARITAS CYPRUS,Cyprus,NICOSIA,Other
ADDITESS ADVANCED INTEGRATED TECHNOLOGY SOLUTIONS & SERVICES LTD,Cyprus,LEFKOSIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
