name,country,city,businessType
Region of South Moravia,Czech Republic,Brno,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LESPROJEKT SLUZBY SRO,Czech Republic,ZARYBY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ROSTENICE AS,Czech Republic,ROSTENICE-ZVONOVICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WIRELESSINFO,Czech Republic,LITOVEL,Research Organisations
VYZKUMNY USTAV MELIORACI A OCHRANY PUDY VVI,Czech Republic,PRAHA,Research Organisations
"MULTIKULTURNI CENTRUM PRAHA, Z.S.",Czech Republic,PRAHA  3,Other
UNIVERZITA KARLOVA,Czech Republic,PRAHA 1,Higher or Secondary Education Establishments
FYZIKALNI USTAV AV CR V.V.I,Czech Republic,PRAHA 8,Higher or Secondary Education Establishments
"Ustav fyziky plazmatu AV ČR, v. v. i.",Czech Republic,PRAHA 8,Research Organisations
Masarykova univerzita,Czech Republic,BRNO STRED,Higher or Secondary Education Establishments
GLASS SERVICE AS,Czech Republic,VSETIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCIENCE IN CZ SRO.,Czech Republic,PRAHA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRUM VYZKUMU REZ SRO,Czech Republic,HUSINEC-REZ,Research Organisations
JIHOCESKA UNIVERZITA V CESKYCH BUDEJOVICICH,Czech Republic,CESKE BUDEJOVICE,Higher or Secondary Education Establishments
BIOINSTITUT OPS,Czech Republic,OLOMOUC,Other
MENDELOVA UNIVERZITA V BRNE,Czech Republic,BRNO SEVER,Higher or Secondary Education Establishments
USTAV JADERNE FYZIKY AV CR,Czech Republic,REZ - PRAHA,Research Organisations
VYSOKA SKOLA BANSKA - TECHNICKA UNIVERZITA OSTRAVA,Czech Republic,OSTRAVA PORUBA,Higher or Secondary Education Establishments
ELMARCO SRO,Czech Republic,LIBEREC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VYZKUMNY A ZKUSEBNI LETECKY USTAV AS,Czech Republic,PRAHA 18,Research Organisations
COMTES FHT AS,Czech Republic,DOBRANY,Research Organisations
DOOSAN SKODA POWER SRO,Czech Republic,PLZEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
T - ELEKTRONIK SRO,Czech Republic,HOLYSOV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CESKE VYSOKE UCENI TECHNICKE V PRAZE,Czech Republic,PRAHA,Higher or Secondary Education Establishments
ZAPADOCESKA UNIVERZITA V PLZNI,Czech Republic,PILSEN,Higher or Secondary Education Establishments
TECHNOLOGICKE CENTRUM AKADEMIE VED CESKE REPUBLIKY,Czech Republic,PRAHA,Research Organisations
VYSOKE UCENI TECHNICKE V BRNE,Czech Republic,BRNO STRED,Higher or Secondary Education Establishments
STATUTARNI MESTO BRNO,Czech Republic,BRNO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"Biologicke centrum AV CR, v. v. i.",Czech Republic,CESKE BUDEJOVICE,Research Organisations
USTAV VYZKUMU GLOBALNI ZMENY AV CR VVI,Czech Republic,BRNO,Research Organisations
MAVEL AS,Czech Republic,BENESOV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CESNET ZAJMOVE SDRUZENI PRAVNICKYCH OSOB,Czech Republic,PRAHA 6,Research Organisations
USTAV PRISTROJOVE TECHNIKY AVCR VVI,Czech Republic,BRNO,Research Organisations
"UJV REZ, a. s.",Czech Republic,HUSINEC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PLAN4ALL ZS,Czech Republic,HORNI BRIZA,Other
VYSOKA SKOLA CHEMICKO-TECHNOLOGICKA V PRAZE,Czech Republic,PRAHA,Higher or Secondary Education Establishments
USTAV MOLEKULARNI GENETIKY AKADEMIE VED CESKE REPUBLIKY VEREJNA VYZKUMNA INSTITUCE,Czech Republic,PRAHA 4,Research Organisations
TOSEDA SRO,Czech Republic,STARE CIVICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MIKROBIOLOGICKY USTAV AV CR V.V.I,Czech Republic,PRAHA 4,Research Organisations
AKADEMIE VED CESKE REPUBLIKY,Czech Republic,PRAHA 1,Research Organisations
FENIX TNT SRO,Czech Republic,BRNO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"USTAV ORGANICKE CHEMIE A BIOCHEMIE, AV CR, V.V.I.",Czech Republic,PRAHA 6,Research Organisations
USTAV MAKROMOLEKULARNI CHEMIE AV CRVVI,Czech Republic,PRAHA 6,Research Organisations
"IREAS, INSTITUT PRO STRUKTURALNI POLITIKU OPS",Czech Republic,PRAHA 6,Research Organisations
RIZENI LETOVEHO PROVOZU CESKE REPUBLIKY STATNI PODNIK,Czech Republic,JENEC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"USTAV CHEMICKYCH PROCESU AV CR, v. v. i.",Czech Republic,PRAHA 6,Research Organisations
ASIO TECH SPOL SRO,Czech Republic,BRNO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNOLOGICKA AGENTURA CESKE REPUBLIKY,Czech Republic,PRAHA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GISAT S.R.O.,Czech Republic,PRAHA 7,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NANOPHARMA AS,Czech Republic,PARDUBICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Radioactive Waste Repository Authority,Czech Republic,Praha,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LEXICAL COMPUTING CZ SRO,Czech Republic,BRNO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRUM VYZKUMU GLOBALNI ZMENY AV CR VVI,Czech Republic,BRNO,Research Organisations
CESKY METROLOGICKY INSTITUT,Czech Republic,BRNO,Research Organisations
ENDOKRINOLOGICKY USTAV,Czech Republic,PRAHA NOVE MESTO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERZITA PALACKEHO V OLOMOUCI,Czech Republic,OLOMOUC,Higher or Secondary Education Establishments
INSTITUTE OF SOCIOLOGY OF THE ACADEMY OF SCIENCES OF THE CZECH REPUBLIC PUBLIC RESEARCH INSTITUTION,Czech Republic,PRAHA 1,Research Organisations
VUCHZ,Czech Republic,BRNO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"USTAV FYZIKALNI CHEMIE J. HEYROVSKEHO AV CR, v. v. i.",Czech Republic,PRAHA,Other
ARCHEOLOGICKY USTAV AV CR PRAHA VVI,Czech Republic,PRAHA,Research Organisations
VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO,Czech Republic,Brno,Higher or Secondary Education Establishments
STATNI USTAV RADIACNI OCHRANY v.v.i.,Czech Republic,Praha,Research Organisations
"STATNI USTAV JADERNE, CHEMICKE A BIOLOGICKE OCHRANY VVI",Czech Republic,MILIN,Research Organisations
Ecofuel Laboratories,Czech Republic,PRAHA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OSTRAVSKA UNIVERZITA,Czech Republic,OSTRAVA,Higher or Secondary Education Establishments
USTAV ANORGANICKE CHEMIE AV CR VVI,Czech Republic,HUSINEC REZ,Research Organisations
KNIHOVNA AV CR V. V. I.,Czech Republic,PRAHA,Research Organisations
AMIRES THE BUSINESS INNOVATION MANAGEMENT INSTITUTE ZU,Czech Republic,PRAGUE,Other
AMIRES SRO,Czech Republic,PRAHA 6,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT MIKROELEKTRONICKYCH APLIKACI S.R.O.,Czech Republic,PRAHA 5 - SMICHOV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
USTAV TEORIE INFORMACE A AUTOMATIZACE AV CR VVI,Czech Republic,PRAHA 8,Research Organisations
TECHNICKA UNIVERZITA V LIBERCI,Czech Republic,LIBEREC,Higher or Secondary Education Establishments
FYZIOLOGICKY USTAV AKADEMIE VED CESKE REPUBLIKY VEREJNA VYZKUMNA INSTITUCE (VVI),Czech Republic,PRAHA 4,Higher or Secondary Education Establishments
GARRETT MOTION CZECH REPUBLIC SRO,Czech Republic,BRNO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"HONEYWELL, SPOL. S.R.O",Czech Republic,PRAHA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
