name,country,city,businessType
Promundo-US,Democratic Republic of the Congo,Washington,Other
INSTITUT FACULTAIRE DES SCIENCESAGRONOMIQUES (IFA) DE YANGAMBI,Democratic Republic of the Congo,KISANGANI,Higher or Secondary Education Establishments
UNIVERSITE DE KINSHASA,Democratic Republic of the Congo,KINSHASA,Unknown
PROGRAMME NATIONALE DE LUTTE CONTRE LA TRYPANOSOMIASE HUMAINE AFRICAINE,Democratic Republic of the Congo,KINSHASA-GOMBE,Unknown
INSTITUT NATIONAL DE RECHERCHE BIOMEDICALE,Democratic Republic of the Congo,KINSHASA I GOMBE,Unknown
INSTITUT NATIONAL DE RECHERCHE BIOMÃDICALE,Democratic Republic of the Congo,KINSHASA,Unknown
CENTRE DE RECHERCHE EN SCIENCES NATURELLES,Democratic Republic of the Congo,SOUTH KIVU,Unknown
INSTITUT MEDICAL EVANGELIQUE DE KIMPESE,Democratic Republic of the Congo,KIMPESE,Unknown
OBSERVATOIRE SATELLITAL DES FORETS D'AFRIQUE CENTRALE,Democratic Republic of the Congo,KINSHASA,Research Organisations
UNIVERSITE DE KINSHASA,Democratic Republic of the Congo,KINSHASA,Higher or Secondary Education Establishments
INSTITUT NATIONAL DE RECHERCHE BIOMEDICALE DU ZAIRE,Democratic Republic of the Congo,KINSHASA GOMBE,Research Organisations
INSTITUT MEDICAL EVANGELIQUE DE KIMPESE,Democratic Republic of the Congo,Kimpese,Research Organisations
