name,country,city,businessType
ROSKILDE UNIVERSITET,Denmark,ROSKILDE,Higher or Secondary Education Establishments
STATENS SERUM INSTITUT,Denmark,KOBENHAVN S,Research Organisations
DANMARKS TEKNISKE UNIVERSITET,Denmark,KGS LYNGBY,Higher or Secondary Education Establishments
KOBENHAVNS UNIVERSITET,Denmark,KOBENHAVN,Higher or Secondary Education Establishments
H. LUNDBECK AS,Denmark,VALBY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AARHUS UNIVERSITET,Denmark,AARHUS C,Higher or Secondary Education Establishments
DHI A/S,Denmark,HOERSHOLM,Other
NOVOZYMES A/S,Denmark,BAGSVAERD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REGION HOVEDSTADEN,Denmark,HILLEROD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FIELDSENSE A/S,Denmark,AARHUS N,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STATENS MUSEUM FOR KUNST,Denmark,COPENHAGEN,Research Organisations
DANFOSS A/S,Denmark,NORDBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UPFRONT CHROMATOGRAPHY AS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
iMotions A/S,Denmark,Kbh V,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOBENHAVNS PROFESSIONSHOJSKOLE,Denmark,KOBENHAVN,Higher or Secondary Education Establishments
COPENHAGEN BUSINESS SCHOOL,Denmark,FREDERIKSBERG,Higher or Secondary Education Establishments
NOVO NORDISK A/S,Denmark,BAGSVAERD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DANMARKS METEOROLOGISKE INSTITUT,Denmark,KOBENHAVN,Research Organisations
INTERNATIONAL COUNCIL FOR THE EXPLORATION OF THE SEA,Denmark,KOBENHAVN V,Research Organisations
AALBORG UNIVERSITET,Denmark,AALBORG,Higher or Secondary Education Establishments
FONDEN TEKNOLOGIRADET,Denmark,HVIDOVRE,Research Organisations
SYDDANSK UNIVERSITET,Denmark,ODENSE M,Higher or Secondary Education Establishments
DONG Energy Power Holding A/S,Denmark,Fredericia,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DONG ENERGY THERMAL POWER AS,Denmark,FREDERICIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIOMODICS APS,Denmark,KGS LYNGBY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VikingGenetics FMBA,Denmark,Randers,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOBENHAVNS KOMMUNE,Denmark,VALBY,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VESTAS WIND SYSTEMS A/S,Denmark,AARHUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GOMORE APS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STEEPER ENERGY APS,Denmark,HORSHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HALDOR TOPSOE AS,Denmark,KONGENS LYNGBY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIOXPEDIA AS,Denmark,AARHUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LGC Biosearch Technologies,Denmark,Risskov,Other
2.-O LCA CONSULTANTS APS,Denmark,AALBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OPTOROBOTIX APS,Denmark,FREDERIKSBERG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IRD FUEL CELLS A/S,Denmark,FRAUGDE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LANDBRUG & FODEVARER F.M.B.A.,Denmark,KOBENHAVN V,Research Organisations
BLUE OCEAN ROBOTICS APS,Denmark,ODENSE M,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BRABRAND BOLIGFORENING,Denmark,AARHUS V,Other
ALPHAFILM & KOMMUNIKATION APS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ROBOTEK GRUPPEN AS,Denmark,Birkerød,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORBICON AS,Denmark,VIBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Geological Survey of Denmark and Greenland,Denmark,KOBENHAVN K,Other
TEKNOLOGISK INSTITUT,Denmark,TAASTRUP,Research Organisations
CLIIN APS,Denmark,SOBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Fermentationexperts AS,Denmark,Bække,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VANGGAARD JAN BRO,Denmark,BRONDERSLEV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COWI AS,Denmark,KONGENS LYNGBY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INNOVATIONSFONDEN,Denmark,KOBENHAVN K,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FREMSYN APS,Denmark,CHARLOTTENLUND,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BORNHOLMS ENERGI OG FORSYNING AS,Denmark,RONNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BORNHOLMS REGIONSKOMMUNE,Denmark,RONNE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EKTOS TESTING & RELIABILITY SERVICE AS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHR. HANSEN A/S,Denmark,HOERSHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VBM,Denmark,Rødovre,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIQTECH INTERNATIONAL A/S,Denmark,BALLERUP,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DE KULTURHISTORISKE MUSEER I HOLSTEBRO KOMMUNE,Denmark,HOLSTEBRO,Research Organisations
SEGES PS,Denmark,AARHUS,Other
PP POWER APS,Denmark,VEJLE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SYNTESA APS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DANMARKS PELAGISKE PRODUCENTORGANISATION FORENING,Denmark,HIRTSHALS,Other
CLIMATE-KIC APS,Denmark,KOBENHAVN K,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSERO AS,Denmark,HORSENS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIQTECH AS,Denmark,GENTOFTE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAMSO ENERGIAKADEMI FORENING,Denmark,SAMSO,Research Organisations
INSTITUTE OF APPLIED ECONOMICS APS,Denmark,KOBENHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NORDIC-NEUROSTIM APS,Denmark,AALBORG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EXPRES2ION BIOTECHNOLOGIES APS,Denmark,HORSHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ADAPTVAC APS,Denmark,HORSHOLM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MONSENSO A/S,Denmark,COPENHAGEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERGISTYRELSEN,Denmark,KOBENHAVN V,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ALTIFLEX APS,Denmark,HVIDOVRE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LAESSOE JEPPE,Denmark,FREDERIKSBERG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AARHUS KOMMUNE,Denmark,ARHUS C,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INTUGREEN IVS,Denmark,COPENHAGEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTERNATIONAL ORGANISATION FOR THE DEVELOPMENT OF FISHERIES AND AQUACULTURE IN EUROPE*EUROFISH,Denmark,COPENHAGEN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
OKOLOGISK LANDSFORENING,Denmark,ABYHOJ,Other
SWECO DANMARK AS,Denmark,COPENHAGEN S,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FRANK POULSEN ENGINEERING APS,Denmark,HVALSO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGRO INTELLIGENCE APS,Denmark,AARHUS N,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FORENINGEN FOR REDUCERET JORDBEARBEJDNING I DANMARK,Denmark,HILLEROD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VKST I/S,Denmark,SORO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DANISH FOOD CLUSTER,Denmark,AARHUS,Other
KRAEFTENS BEKAEMPELSE,Denmark,KOEBENHAVN,Research Organisations
OTICON A/S,Denmark,SMORUM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DANSK FLYGTNINGEHJAELP FORENING,Denmark,KOBENHAVN K,Other
REGION SYDDANMARK,Denmark,VEJLE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SLA AS,Denmark,KOBENHAVN S,Private for-profit entities (excluding Higher or Secondary Education Establishments)
