name,country,city,businessType
PONTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA,Dominican Republic,SANTIAGO DE LOS CABALLEROS,Higher or Secondary Education Establishments
LA UNIVERSIDAD NACIONAL PEDRO HENRIQUEZ URENA,Dominican Republic,SANTO DOMINGO,Higher or Secondary Education Establishments
Pontificia Universidad Catolica Madre y Maestra,Dominican Republic,Santiago De Los Caballeros,Unknown
Tecnoamerica Sa,Dominican Republic,Santo Domingo,Unknown
Fundacion Redes y Desarrollo,Dominican Republic,Santo Domingo,Unknown
Fundacion de Desarrollo Agropecuario Inc,Dominican Republic,Santa Domingo,Unknown
INSTITUTO SUPERIOR DE AGRICULTURA,Dominican Republic,"LA HERRADURA, SANTIAGO",Unknown
FUNDACION NETWORKS AND DEVELOPMENT,Dominican Republic,SANTO DOMINGO,Unknown
INSTITUTO TECNOLÃGICO DE SANTO DOMINGO AND EL EQUIPO DE INVESTIGACIÃN SOCIAL (EQUIS/INTEC),Dominican Republic,SANTO DOMINGO,Unknown
FUNDACION REDES Y DESAROLLO,Dominican Republic,SANTO DOMINGO,Research Organisations
UNIVERSIDAD IBEROAMERICANA,Dominican Republic,SANTO DOMINGO D.N.,Higher or Secondary Education Establishments
MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA,Dominican Republic,SANTO DOMINGO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
