name,country,city,businessType
MUNICIPIO DEL DISTRITO METROPOLITANO DE QUITO,Ecuador,QUITO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTO NACIONAL AUTONOMO DE INVESTIGACIONES AGROPECUARIAS,Ecuador,QUITO,Research Organisations
SOSECALI C LTDA,Ecuador,GUAYAQUIL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD DE CUENCA,Ecuador,CUENCA,Higher or Secondary Education Establishments
FONDO AMBIENTAL,Ecuador,QUITO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
YEPEZSALMON YEPEZ SALMON ASOCIADOSSA,Ecuador,QUITO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ESTRATEGIAS SOSTENIBLES EKOSOS SA,Ecuador,QUITO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Consorcio Ecuatoriano para el Desarrollo de Internet Avanzado,Ecuador,Cuenca,Research Organisations
ESCUELA POLITECNICA NACIONAL,Ecuador,QUITO,Higher or Secondary Education Establishments
UNIVERSIDAD SAN FRANCISCO DE QUITO,Ecuador,QUITO,Other
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,Ecuador,RIOBAMBA,Higher or Secondary Education Establishments
UNIVERSIDAD DE LAS ARTES,Ecuador,GUAYAQUIL,Higher or Secondary Education Establishments
UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY,Ecuador,URCUQUI,Higher or Secondary Education Establishments
SECRETARIA NACIONAL DE CIENCIA Y TECNOLOGIA,Ecuador,QUITO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON DE PORTOVIEJO,Ecuador,Portoviejo,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,Ecuador,QUITO,Higher or Secondary Education Establishments
YEPEZ MADRUNERO GRACE,Ecuador,QUITO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Universidad Central del Ecuador,Ecuador,Quito,Unknown
Instituto Nacional de InvestigacionesAgropecuarias,Ecuador,Quito,Unknown
MuseÃ² Nacional de Medecina,Ecuador,Quito,Unknown
Centro Nacional de Acuicultura e Investigaciones Marinas 'Edgar Arellano',Ecuador,Guayaquil,Unknown
Instituto Nacional de Pesca,Ecuador,Guayaquil,Unknown
Hospital Vozandes del Oriente,Ecuador,Oriente,Unknown
Pontificia Universidad Catolica del Ecuador,Ecuador,Quito,Unknown
Fundacion Heifer Project Equador,Ecuador,Quito,Unknown
Universidad san Francisco de Quito,Ecuador,Quito,Unknown
Hospital Vozandes,Ecuador,Quito,Unknown
CENTRO LATINOAMERICANO PAR ESTUDIOS Y PROMOCION DE LA SALUD,Ecuador,QUITO,Unknown
Escuela Politecnica Nacional,Ecuador,Quito,Unknown
Facultad Latinoamericana de Ciencias Sociales,Ecuador,Quito,Unknown
MINISTERIO DE ENERGIA Y MINAS,Ecuador,QUITO,Unknown
HOSPITAL VOZANDES QUITO,Ecuador,QUITO,Unknown
INSTITUTO NACIONAL DE METEOROLOGIA E HIDROLOGIA,Ecuador,QUITO,Unknown
FUNDACION PUEBLO INDIO DEL ECUADOR,Ecuador,QUITO,Unknown
INSTITUTO NACIONAL DE INVESTIGACIONES AGROPECUARIAS,Ecuador,QUITO,Unknown
CORPORACION DE PROMOCION UNIVERSITARIA. UNIVERSIDAD SAN FRANCISCO DE QUITO,Ecuador,QUITO,Unknown
FUNDACION CENAIM-ESPOL,Ecuador,GUAYAQUIL,Unknown
CAMARA NACIONAL DE ACUACULTURA DE ECUADOR,Ecuador,GUAYAQUIL,Unknown
UNIVERSIDAD NACIONAL DE LOJA,Ecuador,LOJA,Unknown
CORPORACION PARA EL DESARROLLO DE LA PRODUCCION Y EL MEDIO AMBIENTE LABORAL,Ecuador,QUITO,Unknown
INSTITUTO DE ESTUDIOS AVANZADOS,Ecuador,QUITO,Unknown
