name,country,city,businessType
THE AGRICULTURAL RESEARCH CENTER,Egypt,GIZA,Research Organisations
ZEWAIL CITY OF SCIENCE & TECHNOLOGY,Egypt,GIZA,Research Organisations
SEKEM DEVELOPMENT FOUNDATION - SDF,Egypt,CAIRO,Other
ACADEMY OF SCIENTIFIC RESEARCH AND TECHNOLOGY ASRT,Egypt,CAIRO,Higher or Secondary Education Establishments
CENTRE FOR ENVIRONMENT AND DEVELOPMENT FOR THE ARAB REGION AND EUROPE,Egypt,CAIRO,Research Organisations
NATIONAL INSTITUTE OF OCEANOGRAPHY AND FISHERIES,Egypt,CAIRO,Research Organisations
MINISTRY OF HIGHER EDUCATION AND SCIENTIFIC RESEARCH,Egypt,CAIRO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EGYPTIAN CENTER FOR INNOVATION AND TECHNOLOGY DEVELOPMENT,Egypt,GIZA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CAIRO UNIVERSITY,Egypt,GIZA,Higher or Secondary Education Establishments
KAFR EL-SHEIKH UNIVERSITY,Egypt,KAFRELSHEIKH,Higher or Secondary Education Establishments
NILE UNIVERSITY,Egypt,GIZA,Higher or Secondary Education Establishments
CAIRO LAB FOR URBAN STUDIES TRAINING & ENVIRONMENTAL RESEARCH CLUSTER,Egypt,CAIRO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARAB INSTITUTE OF NAVIGATION,Egypt,ALEXANDRIA,Research Organisations
THE AMERICAN UNIVERSITY IN CAIRO,Egypt,CAIRO,Higher or Secondary Education Establishments
Central Metallurgical Research and Development Institute,Egypt,Helwan,Research Organisations
HELIOPOLIS UNIVERSITY ASSOCIATION,Egypt,CAIRO,Higher or Secondary Education Establishments
"ISIS FOR FOOD INDUSTRIES, LTD",Egypt,CAIRO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOHAG UNIVERSITY,Egypt,SOHAG,Higher or Secondary Education Establishments
MINISTRY OF WATER RESOURCES AND IRRIGATION,Egypt,Giza,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ARAB NETWORK FOR ENVIRONMENT & DEVELOPMENT,Egypt,ZAHRAA MAADI CAIRO,Other
National Research Center,Egypt,Cairo,Research Organisations
BIBLIOTHECA ALEXANDRINA*LIBRARY OFALEXANDRIA BIBALEX,Egypt,ALEXANDRIA,Research Organisations
KNOWLEDGE ECONOMY FOUNDATION FOR SOCIETY DEVELOPMENT,Egypt,CAIRO,Other
INFORMATION TECHNOLOGY INDUSTRY DEVELOPMENT AGENCY,Egypt,GIZA,Research Organisations
University 'Ain.Shams',Egypt,Cairo,Unknown
University of Cairo,Egypt,Cairo - Gizeh,Unknown
University of Alexandria,Egypt,Chatby - Alexandria,Unknown
University of Alexandria,Egypt,Alexandria,Unknown
UNIVERSITY OF CAIRO,Egypt,GIZA,Unknown
Drainage Research Institute,Egypt,Cairo,Unknown
New and Renewable Energy Authority,Egypt,Cairo,Unknown
Mubarak City for Scientific Research,Egypt,El-Dekheela - Alexandria,Unknown
ECTRA EGYPTION CONSULTING AND TRAINING CO,Egypt,ZAMALEK,Unknown
Electronics Research Institute,Egypt,Dokki,Unknown
Pyramids Paper Mills,Egypt,Cairo,Unknown
STANDARDATA EGYPT,Egypt,MOHANDESSIN,Unknown
Ain-Shams University,Egypt,Abbasia,Unknown
Agricultural Economic Research Institute,Egypt,Dokki - Cairo,Unknown
Environment and Climate Research Institute,Egypt,13621 Delta Barrage,Unknown
Ministry of Health and Population - Republic of Egypt,Egypt,Cairo,Unknown
University of Zagazig,Egypt,ZAQAZIL.EL,Unknown
Suez Canal University,Egypt,Ismailia,Unknown
El Minia University,Egypt,El Minia,Unknown
National Authority for Remote Sensing& Space Sciences,Egypt,Cairo,Unknown
Agricultural Genetic Engineering Research Institute,Egypt,Giza,Unknown
El-Bosaily Protected Cultivation Unit,Egypt,Imbaba,Unknown
Central Laboratory for Food and Feed,Egypt,Giza - Cairo,Unknown
The National Institute of Oceanography and Fisheries,Egypt,Hurgada,Unknown
University of Mansourah,Egypt,Mansourah,Unknown
Scubadoo Diving Center Ltd // Markez Lil Ghats Al Mahdouda,Egypt,Cairo,Unknown
"Unesco - United Nations Educational, Scientific and Cultural Organization",Egypt,Cairo,Unknown
Standardata Egypt,Egypt,Mohandessin,Unknown
Agricultural Research Centre - Field Crops Research Institute,Egypt,Gizeh,Unknown
Maehad Ad-Dirasat Wal Bohout Al Ihsaeya // Institute of Statistical Studies & Research,Egypt,Cairo,Unknown
Menofiya University,Egypt,Menofiya Governate,Unknown
National Research Centre,Egypt,Cairo - Dokki,Unknown
Standardata Egypt Sa,Egypt,"Mohandessin, Cairo",Unknown
Institut FranÃ§ais d'ArchÃ©ologie Orientale,Egypt,Cairo,Unknown
THE NATIONAL INSTITUTE OF OCEANOGRAPHY AND FISHERIES,Egypt,CAIRO,Unknown
MINISTRY OF HEALTH AND POPULATION,Egypt,CAIRO,Unknown
UNIVERSITY OF AIN SHAMS,Egypt,CAIRO,Unknown
THE ENGINEERING COMPANY FOR COMPUTER SYSTEMS DEVELOPMENT,Egypt,GIZ,Unknown
UNIVERSITY OF ALEXANDRIA,Egypt,ALEXANDRIA,Unknown
NATIONAL RESEARCH CENTRE,Egypt,CAIRO,Unknown
UNIVERSITY OF CAIRO,Egypt,CAIRO,Unknown
BAYANET,Egypt,CAIRO,Unknown
NEW AND RENEWABLE ENERGY AUTHORITY,Egypt,CAIRO,Unknown
STANDARDATA EGYPT,Egypt,,Unknown
MEDICAL RESEARCH INSTITUTE,Egypt,ALEXANDRIA,Unknown
THEODOR BILHARZ RESEARCH INSTITUTE,Egypt,GIZA,Unknown
"EGYPTIAN REFERENCE DIAGNOSTIC CENTRE, MINISTRY OF HEALTH",Egypt,EL DOQQI,Unknown
SCHISTOSOMIASIS VACCINE DEVELOPMENT PROJECT,Egypt,CAIRO,Unknown
CENTRAL LABORATORY FOR AGRICULTURAL CLIMATE,Egypt,GIZA,Unknown
NATIONAL AUTHORITY FOR REMOTE SENSING & SPACE SCIENCES,Egypt,CAIRO,Unknown
PLANT PROTECTION RESEARCH INSTITUTE,Egypt,ALEXANDRIA,Unknown
INTERNATIONAL COMPANY OF BIOAGRICULTURE,Egypt,"END FAISAL - AL HARRAM, GIZA, CAIRO",Unknown
UNIVERSITY OF CAIRO,Egypt,EL DOQQI,Unknown
UNIVERSITY OF MANSOURAH,Egypt,MANSOURA,Unknown
ELECTRONIC RESEARCH INSTITUTE,Egypt,DOKKI - CAIRO,Unknown
MINISTRY OF AGRICULTURE AND LAND RECLAMATION,Egypt,CAIRO,Unknown
RESEARCH INSTITUTE FOR GROUNDWATER,Egypt,KANATER,Unknown
NATIONAL RESEARCH CENTRE,Egypt,EL DOQQI,Unknown
EGYPTIAN MUSEUM,Egypt,CAIRO,Unknown
CENTRE FOR ENVIRONMENT AND DEVELOPMENT FOR THE ARAB REGION AND EUROPE,Egypt,CAIRO,Unknown
GENERAL ORGANISATION OF TEACHING HOSPITALS AND INSTITUTES,Egypt,CAIRO,Unknown
HALAZEN DEVELOPMENT ASSOCIATION,Egypt,MATROUH,Unknown
EL BANNA FOR DESALINATION AND ENERGY TECHNOLOGY,Egypt,ALEXANDRIA,Unknown
NATIONAL WATER RESEARCH CENTRE,Egypt,CAIRO,Unknown
EGYPTIAN SOCIETY ON WATER RESOURCES CONSERVATION,Egypt,IMBABA,Unknown
CENTRAL LABORATORY FOR AGRICULTURAL EXPERT SYSTEMS,Egypt,GIZA,Research Organisations
NEW AND RENEWABLE ENERGY AUTHORITY,Egypt,"NASR CITY, CAIRO",Unknown
CENTER FOR DOCUMENTATION OF CULTURAL AND NATURAL HERITAGE,Egypt,GIZA,Unknown
THE EGYPTIAN COMPANY FOR BLOOD TRANSFUSION SERVICES,Egypt,"AGOUZA, GIZA",Unknown
"AIN SHAMS UNIVERSITY, FAC. OF AGRIC., FOOD SCI. DEPT",Egypt,CAIRO,Unknown
SUPREME COUNCIL OF ANTIQUITIES,Egypt,CAIRO,Unknown
EGYPTIAN MINISTRY OF HEALTH AND POPULATION,Egypt,CAIRO,Unknown
NORTH SOUTH CONSULTANTS EXCHANGE,Egypt,"ZAMALEK, CAIRO",Unknown
NATIONAL RESEARCH CENTRE,Egypt,DOKKI - CAIRO,Unknown
THE EGYPTIAN MUSEUM,Egypt,CAIRO,Unknown
HOLDING COMPANY FOR BIOLOGICAL PRODUCTS AND VACCINES (VACSERA),Egypt,GIZA,Unknown
FOOD TECHNOLOGY RESEARCH INSTITUTE,Egypt,GIZA,Unknown
FOOD TECHNOLOGY CENTER,Egypt,CAIRO - GIZA,Unknown
AGRICULTURAL RESEARCH CENTER,Egypt,GIZA,Unknown
HORTICULTURAL RESEARCH INSTITUTE,Egypt,"ORMAN, GIZA",Unknown
ACADEMY OF SCIENTIFIC RESEARCH AND TECHNOLOGY,Egypt,CAIRO,Unknown
"AIN SHAMS UNIVERSITY, FACULTY OF ENGINEERING",Egypt,CAIRO,Unknown
NATIONAL AUTHORITY FOR REMOTE SENSING AND SPACE SCIENCES,Egypt,"EL-NOZHA EL-GEDEDA, CAIRO",Unknown
NATIONAL WATER RESEARCH CENTER,Egypt,DELTA BARRAGE,Unknown
NATIONAL RESEARCH INSTITUTE OF ASTRONOMY AND GEOPHYSICS,Egypt,CAIRO,Unknown
ORGANIZATION FOR ENERGY PLANNING,Egypt,CAIRO,Unknown
SUEZ CANAL UNIVERSITY,Egypt,ISMAILIA,Unknown
AIN SHAMS UNIVERSITY,Egypt,CAIRO,Unknown
LOTUS SOLAR TECHNOLGIES,Egypt,CAIRO,Unknown
National Research Centre,Egypt,CAIRO,Unknown
New and Renewable Energy Authority,Egypt,CAIRO,Unknown
MINISTRY OF COMMUNICATIONS & INFORMATION TECHNOLOGY,Egypt,GIZA,Unknown
ALEXANDRIA UNIVERSITY,Egypt,ALEXANDRIA,Unknown
"UNIVERSITE AIN SHAMS, FACULTY OF EDUCATION - DEPT. OF BIOLOGICAL AND GEOLOGICAL SCIENCES",Egypt,LE CAIRE,Unknown
CENTER FOR THE DOCUMENTATION OF CULTURAL AND NATURAL HERITAGE,Egypt,CAIRO,Unknown
EGYPTIAN ENVIRONMENTAL AFFAIRS AGENCY,Egypt,CAIRO,Unknown
THE NATIONAL RESEARCH CENTRE,Egypt,GIZA,Unknown
CAIRO UNIVERSITY,Egypt,GIZA,Unknown
NATIONAL RESEARCH CENTER,Egypt,CAIRO,Unknown
CENTRAL METALLURGICAL REASEARCH AND DEVELOPMENT INSTITUTE,Egypt,CAIRO,Unknown
INFORMATION TECHNOLOGY INDUSTRY DEVELOPMENT AGENCY,Egypt,GIZA,Unknown
CENTRAL LABORATORY FOR VETERINARY QUALITY CONTROL ON POULTRY PRODUCTION,Egypt,DOKKI,Unknown
NATIONAL CENTER FOR DOCUMENTATION OF CULTURAL AND NATURAL HERITAGE,Egypt,GIZA,Unknown
GERMAN UNIVERSITY IN CAIRO,Egypt,NEW CAIRO CITY,Unknown
"KAFR EL-SHEIKH UNIVERSITY - FACULTY OF AGRICULTURE, DEPT. OF AGRICULTURAL BOTANY",Egypt,KAFR EL-SHEIKH,Unknown
CAIRO UNIVERSITY- FACULTY OF ECONOMICS AND POLITICAL SCIENCES,Egypt,GIZA,Unknown
LIBRARY OF ALEXANDRIA (BIBLIOTHECA ALEXANDRINA),Egypt,ALEXANDRIA,Unknown
THE NATIONAL WATER RESEARCH CENTRE,Egypt,CAIRO,Unknown
NATIONAL CENTRE FOR DOCUMENTATION OF CULTURAL AND NATURAL HERITAGE,Egypt,GIZA,Unknown
MINISTRY OF WATER RESOURCES AND IRRIGATION - NATIONAL WATER RESEARCH CENTER,Egypt,QALYOUBIA,Unknown
"MINISTRY OF WATER RESOURCES AND IRRIGATION, NATIONAL WATER RESEARCH CENTER, WATER MANAGEMENT RESEARCH INSTITUTE",Egypt,QANATER,Unknown
"MINISTRY OF AGRICULTURE AND LAND RECLAMATION, EGYPT",Egypt,CAIRO / GIZA,Unknown
INTERNATIONAL CONSULTANTS EGYPT,Egypt,ALEXANDRIA,Unknown
CENTRE FOR ENVIRONMENT & DEVELOPMENT FOR THE ARAB REGION & EUROPE,Egypt,CAIRO,Unknown
AGRICULTURAL RESEARCH CENTER - RICE RESEARCH PROGRAMAGRICULTURAL GENETIC ENGINEERING RESEARCH INSTITUTE (AGERI),Egypt,GIZA,Unknown
ENGINEERING CENTER FOR ARCHAEOLOGY AND ENVIRONMENT (ECAE),Egypt,GIZA,Unknown
TOWNHOUSE GALLERY OF CONTEMPORARY ART,Egypt,CAIRO,Unknown
MIMAR FOR ENGINEERING CONSULTANCY,Egypt,CAIRO,Unknown
NORTH SOUTH CONSULTANTS EXCHANGE,Egypt,CAIRO,Unknown
CONSEIL SUPRÃME DES ANTIQUITÃS EGYPTIENNES,Egypt,CAIRO,Unknown
"FACULTY OF VETERINARY MEDICINE, SADAT CITY, EGYPT",Egypt,SADAT CITY,Unknown
LIBRARY OF ALEXANDRIA,Egypt,ALEXANDRIA,Unknown
EGYPTIAN ASSOCIATION FOR WATER AND ENERGY,Egypt,ALEXANDRIA,Unknown
EGYPTIAN UNIVERSITIES NETWORK,Egypt,CAIRO,Unknown
NEW AND RENEWABLE ENERGY AUTHORITY,Egypt,NASR CITY/CAIRO,Unknown
MUBARAK CITY FOR SCIENTIFIC RESEARCH AND TECHNOLOGY APPLICATIONS,Egypt,ALEXANDRIA,Unknown
NATIONAL INSTITUTE OF LASER ENHANCED SCIENCE,Egypt,CAIRO,Unknown
NATIONAL RESEARCH CENTER,Egypt,DOKKI - CAIRO,Unknown
"RESEARCH & TRAINING CENTER ON VECTORS OF DISEASES, AIN SHAMS UNIVERSITY",Egypt,CAIRO,Unknown
AL WADI CO.,Egypt,DAKHLA,Unknown
EGYPTIAN SOLAR RESEARCH CENTER LTD,Egypt,NASR CITY - CAIRO,Unknown
ALEXANDRIA UNIVERSITY,Egypt,Alexandria,Higher or Secondary Education Establishments
IBM WORLD TRADE CORPORATION JOINT STOCK COMPANY,Egypt,"EL-HARAL,GIZA",Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE ENGINEERING COMPANY FOR DIGITAL SYSTEMS DEVELOPEMENT,Egypt,GIZA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAKHR SOFTWARE CO.,Egypt,CAIRO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF COMMUNICATIONS & INFORMATION TECHNOLOGY,Egypt,GIZA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ARAB & AFRICAN RESEARCH CENTER LIMITED PARTNERSHIP,Egypt,GIZA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Center for economic and financial research and studies,Egypt,Giza,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ain Shams University Asu Faculty of Medecine,Egypt,ABASSYIA CAIRO,Higher or Secondary Education Establishments
Theodor Bilharz Research Institute,Egypt,Giza,Research Organisations
