name,country,city,businessType
ETTEVOTLUSE ARENDAMISE SIHTASUTUS,Estonia,TALLINN,Other
Institute of Baltic Studies,Estonia,TARTU,Research Organisations
TARTU ULIKOOL,Estonia,TARTU,Higher or Secondary Education Establishments
MITTETULUNDUSUHING LIIVIMAA LIHAVEIS,Estonia,VORU MAAKOND,Other
TALLINNA TEHNIKAULIKOOL,Estonia,TALLINN,Higher or Secondary Education Establishments
EESTI MAAULIKOOL,Estonia,TARTU,Higher or Secondary Education Establishments
ADVANCED SPORTS INSTALLATIONS EUROPE AS,Estonia,TALLINNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TERVISE ARENGU INSTITUUT,Estonia,TALLINN,Research Organisations
CYBERNETICA AS,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAAELUMINISTEERIUM,Estonia,Tallinn,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TALLINN UNIVERSITY,Estonia,TALLINN,Higher or Secondary Education Establishments
Sihtasutus Tallinna Tehnika- ja Teaduskeskus,Estonia,TALLINN,Other
EESTI KUTSELISTE MESINIKE UHING,Estonia,TARTU,Other
STACC OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAJANDUS JA KOMMUNIKATSIOONIMINISTEERIUM,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KINASERA OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EESTI LIIGUTUSHAIRETE SELTS,Estonia,TARTU,Other
KESKKONNAMINISTEERIUM,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIHTASUTUS EESTI TEADUSAGENTUUR,Estonia,TARTU,Other
JEKO DISAIN OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OU ENDOKRINOLOOGIAKESKUS,Estonia,Tartu,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRAANUL BIOTECH OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTERSPECTRUM OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLLUMAJANDUSUURINGUTE KESKUS,Estonia,SAKU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SOTSIAALMINISTEERIUM,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TALLINNA LINN,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GUARDTIME OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SMARTMATIC-CYBERNETICA CENTRE OF EXCELLENCE FOR INTERNET VOTING OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TALLINNA KESKKONNAAMET,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VETERINAAR JA TOIDULABORATOORIUM,Estonia,TARTU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TERVISEAMET,Estonia,TALLINN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIHTASUTUS POLIITIKAUURINGUTE KESKUS PRAXIS,Estonia,TALLINN,Research Organisations
GELATEX TECHNOLOGIES OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CIVITTA EESTI AS,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLLUMAJANDUSE REGISTRITE JA INFORMATSIOONI AMET,Estonia,TARTU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIHTASUTUS ARCHIMEDES,Estonia,TALLINN,Other
MITTETULUNDUSUHING KANTARA INITIATIVE EUROPE,Estonia,TALLINN,Other
CRYSTALSOL OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INVENT BALTICS OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELEKTRILEVI OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELERING AS,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEC Insenerilahendused,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BALTIC WORKBOATS AS,Estonia,NASVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHEMI-PHARM AS,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OU IMECC,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKTSIASELTS ELCOGEN,Estonia,TALLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MITTETULUNDUSUHING TARTU REGIOONI ENERGIAAGENTUUR,Estonia,TARTU,Other
KORTERIUHISTU RANNALIIVA,Estonia,VORU,Other
SIHTASUTUS TALLINNA TEADUSPARK TEHNOPOL,Estonia,TALLINN,Other
SISEKAITSEAKADEEMIA,Estonia,TALLINN,Higher or Secondary Education Establishments
SKELETON TECHNOLOGIES OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UBIK SOLUTIONS OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PROTOBIOS OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LDI INNOVATION OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MIKROMASCH EESTI OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DIGITAL SPUTNIK LIGHTING OU,Estonia,TALLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CODEBORNE OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THREOD SYSTEMS OU,Estonia,LUBJA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RELADE OU,Estonia,TARTU CITY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEREDOT OU,Estonia,TALLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MOBI SOLUTIONS OU,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIHTASUTUS STOCKHOLMI KESKKONNAINSTITUUDI TALLINNA KESKUS,Estonia,TALLINN,Research Organisations
LINGVIST TECHNOLOGIES OU,Estonia,TALLINN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIRAJA OU,Estonia,TALLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AS REACH-U,Estonia,TARTU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAKSU- JA TOLLIAMETI,Estonia,TALLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KESKKONNAINSPEKTSIOON,Estonia,Tallinn,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SIHTASUTUS TALLINNA ETTEVOTLUSINKUBAATORID,Estonia,Tallinn,Other
