name,country,city,businessType
MEKELLE UNIVERSITY,Ethiopia,MEKELLE,Higher or Secondary Education Establishments
ICEADDIS IT CONSULTANCY PLC,Ethiopia,ADDIS ABABA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OROMIYA AGRICULTURAL RESEARCH INSTITUTE,Ethiopia,HOLETA,Research Organisations
UNIVERSITY OF GONDAR,Ethiopia,GONDAR,Higher or Secondary Education Establishments
WATER AND LAND RESOURCE CENTER,Ethiopia,ADDIS ABABA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ADDIS ABABA UNIVERSITY,Ethiopia,ADDIS ABABA,Higher or Secondary Education Establishments
JIMMA UNIVERSITY,Ethiopia,JIMMA,Higher or Secondary Education Establishments
BAHIR DAR UNIVERSITY,Ethiopia,BAHIR DAR,Higher or Secondary Education Establishments
GEOMATRIX PLC,Ethiopia,ADDIS ABABA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AFRICAN UNION,Ethiopia,ADDIS ABABA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GEOSAS CONSULTING SERVICE PLC,Ethiopia,ADDIS ABABA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HAWASSA UNIVERSITY,Ethiopia,HAWASSA,Higher or Secondary Education Establishments
WOLAITA SODO UNIVERSITY,Ethiopia,WOLAITA SODO,Higher or Secondary Education Establishments
AMHARA NATIONAL REGION AGRICULTURALRESEARCH INSTITUTE,Ethiopia,BAHIR DAR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"SOUTHERN NATIONS, NATIONALITIES AND PEOPLES REGIONAL AGRICULTURAL RESEARCH INSTITUTE",Ethiopia,HAWASSA,Research Organisations
ARBAMINCH UNIVERSITY*AMU,Ethiopia,ARBA MINCH,Higher or Secondary Education Establishments
RELIEF SOCIETY OF TIGRAY,Ethiopia,MEKELLE,Other
HARAMAYA UNIVERSITY,Ethiopia,DIRE DAWA,Higher or Secondary Education Establishments
INSTITUTE FOR SUSTAINABLE DEVELOPMENT,Ethiopia,ADDIS ABABA,Other
GUTS AGRO INDUSTRY PLC,Ethiopia,ADDIS ABABA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORGANISATION FOR SOCIAL SCIENCE RESEARCH IN EASTERN AND SOUTHERN AFRICA,Ethiopia,ADDIS ABABA,Research Organisations
MINISTRY OF COMMUNICATION AND INFORMATION TECHNOLOGY,Ethiopia,ADDIS ABABA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Addis Abeba University,Ethiopia,Addis-Abeba,Unknown
Institute of Agricultural Research,Ethiopia,Addis-Abeba,Unknown
Alemaya University of Agriculture,Ethiopia,Debre Zeit,Unknown
Farm-Africa,Ethiopia,Addis Abeba,Unknown
Institute of Agricultural Research,Ethiopia,Holetta,Unknown
All Africa Leprosy & Rehabilitation Training Centre (Alert),Ethiopia,Shoa,Unknown
ARMAUER HANSEN RESEARCH INSTITUTE,Ethiopia,ADDIS ABEBA,Unknown
ADDIS ABEBA UNIVERSITY,Ethiopia,ADDIS ABEBA,Unknown
Addis Ababa University,Ethiopia,Addis-Abeba,Unknown
Ethiopian Livestock Meat Corporation,Ethiopia,Addis-Abeba,Unknown
