name,country,city,businessType
HAVSTOVAN,Faroe Islands,TORSHAVN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SP/F SYNTESA,Faroe Islands,SYORUGOTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PF FISKAALING,Faroe Islands,HVALVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPF OCEAN RAINFOREST,Faroe Islands,KALDBAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SP/F KPT,Faroe Islands,VAGUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPF BLUE OCEAN,Faroe Islands,TORSHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHRISTIANSEN SUNI,Faroe Islands,HOYVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SP/F DECISION3,Faroe Islands,TORSHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPF TOKNI,Faroe Islands,TORSHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SP/F GREENARC,Faroe Islands,KOLLAFJOROUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE FAROESE RESEARCH COUNCIL (GRANSKINGARRADID),Faroe Islands,Torhshavn,Research Organisations
SPF LOGPH,Faroe Islands,TORSHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SP/F DELIVER,Faroe Islands,ARGIR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MRCC TORSHAVN,Faroe Islands,TORSHAVN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SPF FRAMA,Faroe Islands,KLAKSVIG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JARDFEINGI,Faroe Islands,TORSHAVN,Other
FRODSKAPARSETUR FOROYA,Faroe Islands,TORSHAVN,Higher or Secondary Education Establishments
THE FAROESE HOSPITAL SYSTEM,Faroe Islands,TORSHAVN,Unknown
FAROE ISLANDS GEOLOGY MUSEUM,Faroe Islands,HOYVIK,Unknown
THE FAROZSE FISHERIES LABORATORY,Faroe Islands,TORSHAVN,Unknown
FAROESE HOSPITAL SYSTEM,Faroe Islands,TORSHAVN,Unknown
SEV,Faroe Islands,TORSHAVN,Unknown
NEMA PF,Faroe Islands,TORSHAVN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
