name,country,city,businessType
JYVASKYLAN YLIOPISTO,Finland,JYVASKYLA,Higher or Secondary Education Establishments
HELSINGIN YLIOPISTO,Finland,HELSINGIN YLIOPISTO,Higher or Secondary Education Establishments
3DTECH OY,Finland,SALO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AALTO KORKEAKOULUSAATIO SR,Finland,ESPOO,Higher or Secondary Education Establishments
BLUEFORS CRYOGENICS OY,Finland,HELSINKI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TAMPEREEN KORKEAKOULUSAATIO SR,Finland,TAMPERE,Higher or Secondary Education Establishments
ILMATIETEEN LAITOS,Finland,HELSINKI,Research Organisations
SIIRTOLAISUUSINSTITUUTTISAATIO-STITELSEN FOR MIGRATIONSINSTITUTET,Finland,Turku,Research Organisations
JOENSUUN SEUDUN MONIKULTTUURISUUSYHDISTYS RY,Finland,JOENSUU,Other
ITA-SUOMEN YLIOPISTO,Finland,KUOPIO,Higher or Secondary Education Establishments
LUONNONVARAKESKUS,Finland,HELSINKI,Research Organisations
RUOKAVIRASTO,Finland,SEINAJOKI,Research Organisations
INTEGRATED CARBON OBSERVATION SYSTEM EUROPEAN RESEARCH INFRASTRUCTURECONSORTIUM,Finland,HELSINKI,Research Organisations
Teknologian tutkimuskeskus VTT Oy,Finland,Espoo,Research Organisations
TERVEYDEN JA HYVINVOINNIN LAITOS,Finland,HELSINKI,Research Organisations
POLIISIAMMATTIKORKEAKOULU,Finland,TAMPERE,Higher or Secondary Education Establishments
KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY,Finland,MIKKELI,Higher or Secondary Education Establishments
PICOSUN OY,Finland,ESPOO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OLVI OYJ,Finland,LISALMI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURUN YLIOPISTO,Finland,Turku,Higher or Secondary Education Establishments
METGEN OY,Finland,KAARINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARCTIC IP INVESTMENT AB,Finland,SALO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUDAT OY,Finland,ESPOO,Other
SUOMEN YMPARISTOKESKUS,Finland,HELSINKI,Research Organisations
CSC-TIETEEN TIETOTEKNIIKAN KESKUS OY,Finland,ESPOO,Other
METSA FIBRE OY,Finland,ESPOO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALMET TECHNOLOGIES OY,Finland,ESPOO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ABO AKADEMI,Finland,ABO,Higher or Secondary Education Establishments
MEYER TURKU OY,Finland,Turku,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PAAVOLA RISTO KALERVO,Finland,ELIMAKI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RAINIO LASSE,Finland,SAVERO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NOKIA SOLUTIONS AND NETWORKS OY,Finland,ESPOO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PROAGRIA KESKUSTEN LIITTO RY,Finland,VANTAA,Other
OULUN YLIOPISTO,Finland,OULU,Higher or Secondary Education Establishments
GASERA OY,Finland,TURKU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN FOREST INSTITUTE,Finland,JOENSUU,Other
F-SECURE OYJ,Finland,HELSINKI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CITY OF TURKU,Finland,TURKU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
WESTERN SYSTEMS OY,Finland,HYVINKAA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURUN KAUPUNKILIIKENNE OY,Finland,TURKU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TURUN AMMATTIKORKEAKOULU OY,Finland,TURKU,Higher or Secondary Education Establishments
VARSINAIS-SUOMEN LIITTO,Finland,TURKU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GASUM BIOVAKKA OY,Finland,TURKU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRY OF AGRICULTURE AND FORESTRY,Finland,HELSINKI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
