name,country,city,businessType
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,France,PARIS,Research Organisations
SORBONNE UNIVERSITE,France,PARIS,Higher or Secondary Education Establishments
AIRBUS DS SAS,France,ELANCOURT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CS GROUP-FRANCE,France,LE PLESSIS ROBINSON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PERTIMM DEVELOPPEMENT,France,ASNIERES SUR SEINE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",France,PARIS CEDEX 07,Research Organisations
STMICROELECTRONICS CROLLES 2 SAS,France,CROLLES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,France,PARIS 15,Research Organisations
ECOLE CENTRALE DE LYON,France,ECULLY,Higher or Secondary Education Establishments
THALES SIX GTS FRANCE SAS,France,GENNEVILLIERS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EATON INDUSTRIES (FRANCE) SAS,France,MONTBONNOT SAINT MARTIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE,France,TOULOUSE,Higher or Secondary Education Establishments
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,PARIS,Research Organisations
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,France,PARIS,Research Organisations
BIOMERIEUX SA,France,Marcy l'Etoile,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT DE L'ELEVAGE,France,PARIS,Research Organisations
INRAE TRANSFERT SAS,France,PARIS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CORTECNET,France,VOISINS LE BRETONNEUX,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE D'AIX MARSEILLE,France,Marseille,Higher or Secondary Education Establishments
UNIVERSITE DE VERSAILLES SAINT-QUENTIN-EN-YVELINES.,France,VERSAILLES,Higher or Secondary Education Establishments
THALES,France,COURBEVOIE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT NATIONAL DE RECHERCHE ENINFORMATIQUE ET AUTOMATIQUE,France,LE CHESNAY CEDEX,Research Organisations
OFFICE NATIONAL D'ETUDES ET DE RECHERCHES AEROSPATIALES,France,PALAISEAU,Research Organisations
THALES ALENIA SPACE FRANCE SAS,France,TOULOUSE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EXPLORA NOVA SARL,France,LA ROCHELLE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Streetlab,France,Paris,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ECRIN EUROPEAN CLINICAL RESEARCH INFRASTRUCTURE NETWORK,France,PARIS,Research Organisations
INSTITUT PASTEUR,France,PARIS CEDEX 15,Research Organisations
GEIE ERCIM,France,BIOT,Other
TcLand Expression,France,NANTES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,France,MARSEILLE,Research Organisations
INNO TSD,France,SOPHIA ANTIPOLIS VALBONNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE PIERRE ET MARIE CURIE - PARIS 6,France,PARIS,Higher or Secondary Education Establishments
FONDATION NATIONALE DES SCIENCES POLITIQUES,France,PARIS,Higher or Secondary Education Establishments
Centre d’etudes et de documentation juridiques et economiques,France,Paris,Other
Institut de prospective Economique du Monde Mediterraneen,France,Paris,Other
