name,country,city,businessType
Centre de Recherches Medicales de Lambarene,Gabon,Lambaréné,Research Organisations
Compagnie des Mines d' Uranium de Franceville,Gabon,Libreville,Unknown
MinistÃšre de l'Agriculture,Gabon,Libreville,Unknown
Centre International de Recherches Medicales de Franceville,Gabon,Franceville,Unknown
Centre Hospitalier de Libreville,Gabon,Libreville,Unknown
UniversitÃ© Omar Bongo,Gabon,Libreville,Unknown
Centre National de la Recherche Scientifique et Technologique,Gabon,Libreville,Unknown
Centre d'Appui Technique Ã  l'HÃ©vÃ©aculture,Gabon,Libreville,Unknown
HÃŽpital 'Dr A.Schweitzer' Lambarene,Gabon,Lambarene,Unknown
MinistÃšre de la SantÃ© Publique,Gabon,Libreville,Unknown
HOPITAL ALBERT SCHWEITZER,Gabon,LAMBARENE,Unknown
CENTRE INTERNATIONAL DE RECHERCHES MEDICALES DE FRANCEVILLE,Gabon,FRANCEVILLE,Unknown
"MEDICAL RESEARCH UNIT, ALBERT SCHWEITZER HOSPITAL",Gabon,LAMBARENE,Unknown
"UNITE DE RECHERCHES MEDICALES, HOPITAL ALBERT SCHWEITZER",Gabon,LAMBARENE,Unknown
HÃPITAL ALBERT SCHWEITZER,Gabon,LAMBARENE,Unknown
CENTRE INTERNATIONAL DE RECHERCHES MÃDICALES DE FRANCEVILLE,Gabon,FRANCEVILLE,Unknown
MINISTERE DES EAUX ET FORETS,Gabon,LIBREVILLE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Centre de Recherches Medicales de LambarÃ©nÃ©,Gabon,LambarÃ©nÃ©,Research Organisations
Fondation international de l'Hopital de Dr. Albert Schweitzer de LAMBARENE,Gabon,Lambarene,Other
INSTITUT AFRICAIN D INFORMATIQUE,Gabon,LIBREVILLE,Higher or Secondary Education Establishments
