name,country,city,businessType
WORLD EXPERIENCE FOR GEORGIA,Georgia,TBILISI,Other
MINISTRY OF EDUCATION AND SCIENCE OF GEORGIA,Georgia,TBILISI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SHOTA RUSTAVELI NATIONAL SCIENCE FOUNDATION,Georgia,TBILISI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY,Georgia,TBILISI,Higher or Secondary Education Establishments
NATIONAL CENTER FOR TUBERCULOSIS AND LUNG DISEASES JSC,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEORGIAN ASSOCIATION OF LANDSCAPE ARCHITECTS,Georgia,TBILISI,Research Organisations
ASOTSCIATSIA EVROPULI GAMOKVLEVEBI SAQARTVELOS INOVACIURI GANVITAREBISTVIS,Georgia,Tbilisi,Other
GEORGIAN FARMERS ASSOCIATION,Georgia,TIBLISI,Other
INDATA LLC,Georgia,TIBLISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PUBLIC SERVICE DEVELOPMENT AGENCY,Georgia,TBILISI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Economic Policy and Research Center,Georgia,TBILISI,Other
CAUCASUS UNIVERSITY LTD,Georgia,TBILISI,Higher or Secondary Education Establishments
ENERGY INVESTMENT CONSULTANT LLC,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEORGIAN LEASING COMPANY LLC,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELIAVA BIO PREPARATIONS LTD,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"GIORGI ELIAVA INSTITUTE OF BACTERIOPHAGY, MICROBIOLOGY AND VIROLOGY",Georgia,TBILISI,Other
CENTER FOR SOCIAL SCIENCES,Georgia,TBILISI,Other
"International Center for Advancement of Research, Technology and Innovation",Georgia,Tbilisi,Other
CRRC GEORGIA NON-ENTREPRENEURIAL (NON-COMMERCIAL,Georgia,TBILISI,Research Organisations
GEORGIAN RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION,Georgia,TBILISI,Other
ILIA VEKUA SOKHUMI INSTITUTE OF PHYSICS AND TECHNOLOGY,Georgia,TBILISI,Research Organisations
ENERGOEPEKTUROBIS TSENTRI SAKARTVELO,Georgia,TBILISI,Other
ILIA STATE UNIVERSITY,Georgia,TBILISI,Higher or Secondary Education Establishments
GIS and RS Consulting Center GeoGraphic,Georgia,Tbilisi,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEORGIAN INSTITUTE OF POLITICS,Georgia,TBILISI,Research Organisations
"INFECTIOUS DISEASES, AIDS AND CLINICAL IMMUNOLOGY RESEARCH CENTER",Georgia,TIBLISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DAVID TVILDIANI MEDICAL UNIVERSITY LLC,Georgia,TBILISI,Higher or Secondary Education Establishments
Agrarian Research and Development Center,Georgia,Tbilisi,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SHOTA RUSTAVELI STATE UNIVERSITY,Georgia,BATUMI,Higher or Secondary Education Establishments
GEORGIAN ACADEMY OF SCIENCES,Georgia,TBILISI,Unknown
Sensori System R&T Centre,Georgia,,Unknown
A. RAZMADZE MATHEMATICAL INSTITUTE,Georgia,TBILISI,Unknown
Marine Ecology and Fisheries Research Institute,Georgia,Batumi,Unknown
Tbilisi State University,Georgia,Tbilisi,Unknown
GEORGIAN RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION,Georgia,TBILISI,Unknown
TBILISI STATE UNIVERSITY,Georgia,TBILISI,Unknown
STATE DEPARTMENT OF HYDROMETEOROLOGY OF GEORGIA,Georgia,BATUMI,Unknown
CENTER FOR SOCIAL STUDIES,Georgia,TBILISI,Unknown
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",Georgia,ATLANTA,Unknown
GEORGIAN HUMANITARIAN UNIVERSITY,Georgia,TBILISI,Unknown
EAST-WEST ECONOMIC NETWORK-GEORGIA,Georgia,TBILISI,Unknown
YOUNG SCIENTISTS DEVELOPMENT CENTRE OF GEORGIA,Georgia,TBILISI,Unknown
MESI LIMITED,Georgia,TBILISI,Unknown
GEORGIAN RESEARCH AND EDUCATIONAL NETWORKING ASSOCIATION,Georgia,Tbilisi,Higher or Secondary Education Establishments
SCHATTAUER GMBH,Georgia,STUTTGART,Unknown
IV JAVAKHISHVILI TBILISI STATE UNIVERSITY,Georgia,TBILISI,Unknown
MAX-PLANCK-GESELLSCHAFT,Georgia,GOLM,Unknown
MIKHEIL NODIA INSTITUTE OF GEOPHYSICS,Georgia,TBILISI,Unknown
IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY,Georgia,TBILISI,Unknown
M. NODIA INSTITUTE OF GEOPHYSICS OF GEORGIAN ACADEMY OF SCIENCES,Georgia,TBILISI,Unknown
DEPARTMENT OF HYDROMETEOROLOGY OF THE MINISTRY OF ENVIRONMENTAL PROTECTION AND NATURAL RESOURCES OF GEORGIA,Georgia,TBILISI,Unknown
SAKNAPIRDATSVA (GEORGIAN COASTAL PROTECTION) SCIENTIFIC-INDUSTRIAL CENTER OF RESEARCH AND GOVERNANCE OF COASTAL FORMATION PROCESSES,Georgia,TBILISI,Unknown
GEORGIAN STATE ZOOTECHNICAL VETERINARY ACADEMY,Georgia,TBILISI,Unknown
GEORGIAN TECHNICAL UNIVERSITY,Georgia,TBILISI,Unknown
"DEPARTMENT OF PHYSICS, TBILISI STATE UNIVERSITY",Georgia,TBILISI,Unknown
EAST WEST ECONOMIC NETWORK GEORGIA,Georgia,TBILISI,Unknown
AMALTEA JOINT-STOCK COMPANY,Georgia,TBILISI,Unknown
GEORGIAN PRODUCTS LTD,Georgia,TBILISI,Unknown
"CENTER FOR SOCIAL AND ECONOMIC RESEARCH, FOUNDATION CASE-TRANSCAUCASUS",Georgia,TBILISI,Unknown
CAUCASUS RESEARCH RESOURCE CENTER-GEORGIA,Georgia,TBILISI,Unknown
AUTOENERGO LIMITED,Georgia,"ZHINVALI, DUSHETI REGION",Unknown
GEORGIAN RESEARCH INSTITUTE OF POWER ENGINEERING AND POWER STRUCTURES,Georgia,TBILISI,Unknown
IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY,Georgia,,Unknown
IV. JAVAKHISHVILI TBILISI STATE UNIVERSITY,Georgia,TBILISI,Unknown
THE SERVICE OF HYDROMETEOROLOGYCAL PROVISION AND ENVIRONMENTAL MONITORING OF THE MINISTRY OF ENVIRONMENT OF GEORGIA,Georgia,TBILISI,Unknown
THE CENTRE FOR THE MONITORING AND PROGNOSTICATION OF THE MINISTRY OF ENVIRONMENT PROTECTION AND NATURAL RESOURCES,Georgia,TBILISI,Unknown
GEORGIAN TECHNICAL UNIVERSITY,Georgia,TBILISI,Higher or Secondary Education Establishments
L. SAKVARELIDZE NATIONAL CENTER FOR DISEASE CONTROL AND PUBLIC HEALTH,Georgia,Tbilisi,Research Organisations
REGIONAL ENVIRONMENTAL CENTRE FOR THE CAUCASUS,Georgia,TBILISI,Other
AGRARIAN UNIVERSITY OF GEORGIA,Georgia,TBILISI,Higher or Secondary Education Establishments
BIOLOGICAL FARMING ASSOCIATION ELKANA,Georgia,TBILISI,Other
Tbilisi State Medical University,Georgia,Tbilisi,Higher or Secondary Education Establishments
GEOWEL RESEARCH,Georgia,Tbilisi,Research Organisations
WATER ECOLOGY AND FISHERIES RESEARCH INSTITUTE UNION,Georgia,Batumi,Research Organisations
GEORGIAN FOUNDATION FOR STRATEGIC AND INTERNATIONAL STUDIES - GFSIS,Georgia,TBILISI,Research Organisations
REGIONAL CENTRE FOR STRATEGIC STUDIES,Georgia,TBILISI,Research Organisations
EURASIA Partnership Foundation - Georgia,Georgia,TBILISI,Research Organisations
THE FUND GEORGIAN CENTER FOR AGRIBUSINESS DEVELOPMENT,Georgia,TBILISI,Other
GORBI GALLUP INTERNATIONAL,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Curatio International Foundation,Georgia,Tbilisi,Research Organisations
GAMMA LTD,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
The Centre for Monitoring and Prognostication of the Ministry of Environment Protection and Natural Resources of Georgia,Georgia,Tbilisi,Research Organisations
INSTITUTE OF HYDROMETEOROLOGY,Georgia,TBILISI,Research Organisations
MIKHEIL NODIA INSTITUTE OF GEOPHYSICS,Georgia,TBILISI,Research Organisations
INSTITUTE OF WATER MANAGEMENT,Georgia,TBILISI,Research Organisations
Georgian Research and Development Foundation,Georgia,TBILISI,Other
ENERGY EFFICIENCY AND ENVIRONMENTALPROTECTION LTD,Georgia,TBILISI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE NATIONAL ENVIRONMENTAL AGENCY,Georgia,TBILISI,Research Organisations
