name,country,city,businessType
INSTITUT FUR ANGEWANDTE INFORMATIK (INFAI) EV,Germany,LEIPZIG,Research Organisations
DEUTSCHES KREBSFORSCHUNGSZENTRUM HEIDELBERG,Germany,HEIDELBERG,Research Organisations
ASCORA GMBH,Germany,GANDERKESEE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,Germany,MUNCHEN,Research Organisations
DEUTSCHES ZENTRUM FUER LUFT - UND RAUMFAHRT EV,Germany,KOELN,Research Organisations
DEUTSCHE HOCHSCHULE DER POLIZEI,Germany,MUENSTER,Higher or Secondary Education Establishments
GESIS-LEIBNIZ-INSTITUT FUR SOZIALWISSENSCHAFTEN EV,Germany,MANNHEIM,Research Organisations
EUROPEAN MOLECULAR BIOLOGY LABORATORY,Germany,HEIDELBERG,Research Organisations
TECHNISCHE UNIVERSITAT DARMSTADT,Germany,DARMSTADT,Higher or Secondary Education Establishments
FORSCHUNGSZENTRUM JULICH GMBH,Germany,JULICH,Research Organisations
NAMLAB GGMBH,Germany,DRESDEN,Research Organisations
PRO DESIGN Electronic GmbH,Germany,Bruckmuehl,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AUTOMOTIVE SIMULATION CENTER STUTTGART EV,Germany,STUTTGART,Research Organisations
UNIVERSITAET STUTTGART,Germany,STUTTGART,Higher or Secondary Education Establishments
UNIVERSITAET HAMBURG,Germany,HAMBURG,Higher or Secondary Education Establishments
INNOVATIONLAB GMBH,Germany,HEIDELBERG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN,Germany,DARMSTADT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HUMBOLDT-UNIVERSITAET ZU BERLIN,Germany,BERLIN,Higher or Secondary Education Establishments
BAYERISCHE FORSCHUNGSALLIANZ BAVARIAN RESEARCH ALLIANCE GMBH,Germany,MUNCHEN,Other
UNIVERSITAT BAYREUTH,Germany,BAYREUTH,Higher or Secondary Education Establishments
LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Germany,MUENCHEN,Higher or Secondary Education Establishments
PHILIPPS UNIVERSITAET MARBURG,Germany,MARBURG,Higher or Secondary Education Establishments
FRIEDRICH LOEFFLER INSTITUT - BUNDESFORSCHUNGSINSTITUT FUER TIERGESUNDHEIT,Germany,GREIFSWALD-INSEL RIEMS,Research Organisations
LOHMANN TIERZUCHT GMBH,Germany,CUXHAVEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEORG-AUGUST-UNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS,Germany,GOTTINGEN,Higher or Secondary Education Establishments
UNIVERSITAETSKLINIKUM AACHEN,Germany,AACHEN,Higher or Secondary Education Establishments
INSILICO BIOTECHNOLOGY AG,Germany,STUTTGART,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BRUKER BIOSPIN GMBH,Germany,RHEINSTETTEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GE Global Research,Germany,München,Other
JOHANN WOLFGANG GOETHE-UNIVERSITATFRANKFURT AM MAIN,Germany,FRANKFURT AM MAIN,Higher or Secondary Education Establishments
UNIVERSITAETSKLINIKUM FREIBURG,Germany,FREIBURG,Higher or Secondary Education Establishments
ARGOS MESSTECHNIK GMBH,Germany,KARLSRUHE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ATTOCUBE SYSTEMS AG,Germany,HAAR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN-NUERNBERG,Germany,ERLANGEN,Higher or Secondary Education Establishments
ROBERT BOSCH GMBH,Germany,GERLINGEN-SCHILLERHOEHE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAT KONSTANZ,Germany,KONSTANZ,Higher or Secondary Education Establishments
ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,Germany,FREIBURG,Higher or Secondary Education Establishments
AIRBUS DEFENCE AND SPACE GMBH,Germany,TAUFKIRCHEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Menlo Systems GmbH,Germany,Martinsried,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KARLSRUHER INSTITUT FUER TECHNOLOGIE,Germany,KARLSRUHE,Higher or Secondary Education Establishments
MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,Germany,MUENCHEN,Research Organisations
TOPTICA PHOTONICS AG,Germany,GRAEFELFING,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,AACHEN,Higher or Secondary Education Establishments
UNIVERSITAET AUGSBURG,Germany,AUGSBURG,Higher or Secondary Education Establishments
UNIVERSITAET LEIPZIG,Germany,LEIPZIG,Higher or Secondary Education Establishments
FRIEDRICH-SCHILLER-UNIVERSITAT JENA,Germany,JENA,Higher or Secondary Education Establishments
EBERHARD KARLS UNIVERSITAET TUEBINGEN,Germany,TUEBINGEN,Higher or Secondary Education Establishments
VANGUARD AUTOMATION GMBH,Germany,KARLSRUHE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DEUTSCHES ZENTRUM FUR NEURODEGENERATIVE ERKRANKUNGEN EV,Germany,BONN,Research Organisations
NEUROPROOF GMBH,Germany,ROSTOCK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAET ULM,Germany,ULM,Higher or Secondary Education Establishments
UNIVERSITAETSMEDIZIN GOETTINGEN - GEORG-AUGUST-UNIVERSITAET GOETTINGEN - STIFTUNG OEFFENTLICHEN RECHTS,Germany,GOETTINGEN,Higher or Secondary Education Establishments
FORSCHUNGSVERBUND BERLIN EV,Germany,BERLIN,Research Organisations
GSI HELMHOLTZZENTRUM FUER SCHWERIONENFORSCHUNG GMBH,Germany,DARMSTADT,Other
HELMHOLTZ-ZENTRUM DRESDEN-ROSSENDORF EV,Germany,DRESDEN,Research Organisations
NATURWISSENSCHAFTLICHES UND MEDIZINISCHES INSTITUT AN DER UNIVERSITAET TUEBINGEN,Germany,REUTLINGEN,Research Organisations
LIFE AND BRAIN GMBH,Germany,BONN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GERMAN STEMCELL NETWORK (GSCN) - DEUTSCHES STAMMZELLNETZWERK EV,Germany,Berlin,Research Organisations
MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,Germany,Munich,Other
MEDRES-MEDICAL RESEARCH GMBH,Germany,KOLN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JENACELL GMBH,Germany,JENA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECOBIOSCIENCES GMBH,Germany,LANDSHUT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT FUR RUNDFUNKTECHNIK GMBH,Germany,MUNCHEN,Research Organisations
RUNDFUNK BERLIN-BRANDENBURG,Germany,BERLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KONSOLE LABS GMBH,Germany,BERLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNISCHE UNIVERSITAET MUENCHEN,Germany,MUENCHEN,Higher or Secondary Education Establishments
