name,country,city,businessType
COUNCIL FOR SCIENTIFIC AND INDUSTRIAL RESEARCH,Ghana,ACCRA,Research Organisations
UNIVERSITY OF GHANA,Ghana,LEGON ACCRA,Higher or Secondary Education Establishments
WEST AFRICAN SCIENCE SERVICES CENTRE ON CLIMATE CHANGE AND ADAPTED LAND USE,Ghana,CANTONMENTS ACCRA,Other
KUMASI HIVE,Ghana,KUMASI,Other
ISPACE FOUNDATION,Ghana,ACCRA,Other
CLOUD PORT LIMITED,Ghana,TEMA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Farmerline Ltd,Ghana,KUMASI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WEST AND CENTRAL AFRICAN RESEARCH AND EDUCATION NETWORK,Ghana,Accra,Other
ASSOCIATION OF GHANA INDUSTRIRES,Ghana,ACCRA,Other
INSTITUTE FOR SUSTAINABLE ENERGY AND ENVIRONMENTAL SOLUTIONS,Ghana,ACCRA,Research Organisations
UNIVERSITY FOR DEVELOPMENT STUDIES,Ghana,TAMALE,Higher or Secondary Education Establishments
"FORUM FOR AGRICULTURAL RESEARCH IN AFRICA, GHANA",Ghana,ACCRA,Other
SEWEREAGE SYSTEMS GHANA LIMITED,Ghana,ACCRA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY KUMASI,Ghana,KUMASI,Higher or Secondary Education Establishments
GHANA INSURANCE ASSOCIATION,Ghana,ACCRA,Other
CENTRE FOR REMOTE SENSING AND GEOGRAPHIC INFORMATION SERVICES LBG,Ghana,ACCRA,Other
KUNDOK DEVELOPMENT CONSULT LIMITED,Ghana,TAMALE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRESBYTERIAN CHURCH OF GHANA,Ghana,ACCRA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DEXAFRICA LIMITED,Ghana,ACCRA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF CAPE COAST,Ghana,CAPE COAST,Higher or Secondary Education Establishments
CENTRE FOR INITIATIVES ON FOOD SECURITY AND ENVIRONMENT,Ghana,TAMALE,Other
UNIVERSITY OF GHANA,Ghana,ACCRA,Unknown
University of Science and Technology Ghana,Ghana,Accra,Unknown
"UNIVERSITY OF SCIENCE AND TECHNOLOGY, KUMASI",Ghana,KUMASI,Unknown
COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Ghana,ACCRA,Unknown
University of Ghana,Ghana,Legon,Unknown
Ministry of Agriculture,Ghana,Accra,Unknown
Council of Scientific and Industrial Research,Ghana,Accra,Unknown
MINISTRY OF HEALTH - GHANA,Ghana,NAVRONGO,Unknown
Ministry of health - Ghana,Ghana,Accra,Unknown
Noguchi Memorial Institute for Medical Research,Ghana,Legon,Unknown
Forestry Research Institute of Ghana,Ghana,Kumasi,Unknown
Regional Health Administration of Eastern Region - Ministry of Health,Ghana,Accra,Unknown
Friends of the Earth,Ghana,Accra,Unknown
Ministry of Food and Agriculture,Ghana,Tema,Unknown
University of Cape Coast,Ghana,Cape Coast,Unknown
Ministry of Agriculture - Ghana,Ghana,Accra,Unknown
Food and Agriculture Organisation of the United Nations,Ghana,Accra,Unknown
Savanna Agricultural Research Institute,Ghana,Tamale,Unknown
FOOD RESEARCH INSTITUTE,Ghana,ACCRA,Unknown
FORESTRY RESEARCH INSTITUTE OF GHANA,Ghana,KUMASI,Unknown
CROPS REASEARCH INSTITUTE,Ghana,KUMASI,Unknown
COCOA RESEARCH INSTITUTE OF GHANA,Ghana,TAFO-AKIM,Unknown
SAVANNA AGRICULTURAL RESEARCH INSTITUTE,Ghana,TAMALE,Unknown
COMMUNITY WATER AND SANITATION AGENCY,Ghana,HO,Unknown
FEED & FLOUR (GHANA) LIMITED,Ghana,ACCRA,Unknown
"KWAME NKURMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY, KUMASI",Ghana,KUMASI,Unknown
GHANA METEOROLOGICAL AGENCY,Ghana,ACCRA,Unknown
BOMARTS FARMS LIMITED,Ghana,DOBRO,Unknown
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Ghana,KUMASI,Unknown
UNIVERSITY FOR DEVELOPMENT STUDIES TAMALE,Ghana,TAMALE,Unknown
NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH,Ghana,ACCRA,Unknown
UNIVERSITY OF GHANA,Ghana,,Unknown
"KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY, KUMASI",Ghana,KUMASI,Unknown
GHANA HEALTH SERVICE,Ghana,ACCRA,Unknown
NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH,Ghana,"LEGON, ACCRA",Unknown
MINISTRY OF FOOD AND AGRICULTURE,Ghana,ACCRA,Unknown
COUNCIL FOR SCIENTIFIC AND INDUSTRIAL RESEARCH - CROPS RESEARCH INSTITUTE (CSIR-CRI),Ghana,KUMASI,Unknown
"HEALTH RESEARCH UNIT, GHANA HEALTH SERVICE",Ghana,ACCRA,Unknown
"SCHOOL OF MEDICAL SCIENCES, KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY",Ghana,KUMASI,Unknown
INDEPTH NETWORK,Ghana,"KANDA, ACCRA",Unknown
"SOIL RESEARCH INSTITUTE, COUCIL FOR SCIENTIFIC AND INDUSTRIAL RESEARCH",Ghana,KUMASI,Unknown
"INSTITUTE OF STATISTICAL, SOCIAL AND ECONOMIC RESEARCH, UNIVERSITY OF GHANA",Ghana,LEGON-ACCRA,Unknown
INDEPTH NETWORK,Ghana,ACCRA,Other
FISH FOR AFRICA - GHANA LIMITED BYGUARANTEE,Ghana,ASHAIMAN ACCRA,Research Organisations
"Training, Research and Networking for Development LBG",Ghana,KUMASI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZOOM DOMESTIC WASTE SERVICES LIMITED,Ghana,Accra,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRE FOR ENVIROMNEMT IMPACTS ANALYSIS LTD,Ghana,CAPE COAST,Research Organisations
THE GHANA CENTER FOR DEMOCRATIC DEVELOPMENT LBG,Ghana,ACCRA,Research Organisations
Geological Survey Department,Ghana,Accra,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GHANA HEALTH SERVICE,Ghana,ACCRA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ministry of health,Ghana,ACCRA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GHANA INDIA KOFI ANNAN CENTRE OF EXCELLENCE IN ICT â ADVANCED INFORMATION TECHNOLOGY INSTITUTE,Ghana,ACCRA,Higher or Secondary Education Establishments
ONEVILLAGE FOUNDATION,Ghana,WINNEBA,Research Organisations
ST. BAASA GHANA LIMITED,Ghana,CHIRAA SUNYANI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOCIAL DEVELOPMENT AND IMPROVEMENT AGENCY LBG,Ghana,BECHEM,Other
CALTECH VENTURES LTD,Ghana,ACCRA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASSOCIATION OF AFRICAN UNIVERSITIES,Ghana,Accra,Other
"MINISTRY OF EDUCATION, SPORTS AND SCIENCE",Ghana,ACCRA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"MINISTRY OF ENVIRONMENT, SCIENCE AND TECHNOLOGY",Ghana,ACCRA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Ghana Meteorological Agency,Ghana,Accra,Research Organisations
