name,country,city,businessType
AGRO APPS I.K.E.,Greece,THESSALONIKI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS,Greece,THERMI THESSALONIKI,Research Organisations
NEUROPUBLIC AE PLIROFORIKIS & EPIKOINONION,Greece,PEIRAIAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARISTOTELIO PANEPISTIMIO THESSALONIKIS,Greece,THESSALONIKI,Higher or Secondary Education Establishments
GAIA EPICHEIREIN ANONYMI ETAIREIA PSIFIAKON YPIRESION,Greece,MAROUSI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
G & K KEFALAS GEORGIKI OE,Greece,CHRYSAVGI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ETAM ANONYMH ETAIREIA SYMBOYLEYTIKON KAI MELETHTIKON YPIRESION,Greece,IRAKLEIO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SATWAYS - PROIONTA KAI YPIRESIES TILEMATIKIS DIKTYAKON KAI TILEPIKINONIAKON EFARMOGON ETAIRIA PERIORISMENIS EFTHINIS EPE,Greece,HALANDRI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DIMOS RODOU,Greece,RHODOS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS,Greece,ATHINA,Research Organisations
ALLILEGGIE SOLIDARITYNOW,Greece,ATHENS,Other
NATIONAL TECHNICAL UNIVERSITY OF ATHENS - NTUA,Greece,ATHINA,Higher or Secondary Education Establishments
AGROKNOW IKE,Greece,MAROUSI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL INFRASTRUCTURES FOR RESEARCH AND TECHNOLOGY,Greece,ATHINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ATHINA-EREVNITIKO KENTRO KAINOTOMIAS STIS TECHNOLOGIES TIS PLIROFORIAS, TON EPIKOINONION KAI TIS GNOSIS",Greece,MAROUSSI,Research Organisations
