name,country,city,businessType
ASIAQ MISISSUEQQAARNERIT,Greenland,NUUK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRONLANDS NATURINSTITUT,Greenland,NUUK,Research Organisations
Ilisimatusarfik,Greenland,NUUK,Higher or Secondary Education Establishments
NUNAZYMES APS,Greenland,NUUK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
National Museum and Archive of Greenland,Greenland,Nuuk,Other
GREENLAND OIL SPILL RESPONSE AS,Greenland,NUUK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GREENLAND INSTITUTE OF NATURAL RESOURCES,Greenland,NUUK,Unknown
GREENLAND FISHERIES LICENCE CONTROL AUTHORITY,Greenland,NUUK,Unknown
DIRECTORATE FOR CULTURE EDUCATION YOUTH AND CHURCH,Greenland,NUUK,Unknown
GREENLAND MINERALS AND ENERGY (TRADING) AS,Greenland,NARSAQ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
