name,country,city,businessType
UNIVERSIDAD GALILEO,Guatemala,GUATEMALA,Higher or Secondary Education Establishments
Consejo Superior Universitario Centroamericano,Guatemala,GUATEMALA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSIDAD DEL VALLE DE GUATEMALA,Guatemala,GUATEMALA,Higher or Secondary Education Establishments
Centro de Educacion e Investigacion en Salud,Guatemala,Guatemala,Unknown
Instituto de Ciencia e de Tecnologia Agraria,Guatemala,Guatemala,Unknown
Instituto Central de la NutriciÃ³n,Guatemala,Guatemala,Unknown
Empresa JMatute,Guatemala,Guatemala Ciudad,Unknown
Universidad del Valle de Guatemala,Guatemala,Guatemala City,Unknown
INSTITUTO CENTROAMERICANO DE LA SALUD - GUATEMALA,Guatemala,GUATEMALA CITY,Unknown
"General Hospital ""San Juan de Dios""",Guatemala,Guatemala,Unknown
Instit. Interameric. de Cooperacion para la Agricultura - Prog. Cooperat. Proteccion y Modernisacion Cafeicultura,Guatemala,Guatemala Ciudad,Unknown
Instituto Nacional de Bosques,Guatemala,Ciudad de Guatemala,Unknown
INSTITUTO INTERAMERICANO DE COOPERACION PARA LA AGRICULTURA - OFICINA EN GUATEMALA,Guatemala,GUATEMALA,Unknown
PARROQUIA SANTIAGO JOCOTAN,Guatemala,CHIQUIMULA - JOCOTAN,Unknown
UNIVERSIDAD DEL VALLE DE GUATEMALA,Guatemala,GUATEMALA,Unknown
FUNDACION PARA EL DESARROLLO RURAL,Guatemala,GUATEMALA CITY,Unknown
CENTRO DE FORMACION DE LIDERES SA,Guatemala,GUATEMALA,Unknown
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES SEDE ACADEMICA GUATEMALA,Guatemala,GUATEMALA,Unknown
UNIVERSIDAD SAN CARLOS DE GUATEMALA,Guatemala,Guatemala,Unknown
"INSTITUTO NACIONAL DE SISMOLOGIA, VULCANOLOGIA, METEOROLOGIA E HIDROLOGIA",Guatemala,GUATEMALA,Unknown
BIOCOMBUSTIBLES DE GUATEMALA SOCIEDAD ANONIMA,Guatemala,Guatemala,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD SAN CARLOS DE GUATEMALA,Guatemala,GUATEMALA,Higher or Secondary Education Establishments
SUPERINTENDENCIA DE TELECOMUNICACIONES,Guatemala,CIUDAD DE GUATEMALA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENTRO DE ESTUDIOS PARA LA EQUIDAD Y GOBERNANZA EN LOS SISTEMAS DE SALUD,Guatemala,GUATEMALA CITY,Research Organisations
FEDERACION DE CAMARAS Y ASOCIACIONES INDUSTRIALES CENTROAMERICANAS,Guatemala,Ciudad de Guatemala,Other
