name,country,city,businessType
FUNDACION HONDURENA DE INVESTIGACION AGRICOLA,Honduras,SAN PEDRO SULA,Research Organisations
Universidad Nacional AutÃ³noma de Honduras,Honduras,Tegucigalpa DC,Unknown
Escuela Agricola Panamericana Inc.,Honduras,El Zamorano,Unknown
"Laboratorio Central ""Alonso Suazo"" - Ministerio de Salud",Honduras,Tegucigalpa,Unknown
Instituto HondureÃ±o del CafÃ©,Honduras,Tegucigalpa,Unknown
SECRETARIA DE SALUD DE HONDURAS,Honduras,TEGUCIGALPA,Unknown
CONSEJO HONDURE?O DE CIENCIA Y TECNOLOGIA,Honduras,TEGUCIGALPA,Unknown
UNIVERSIDAD NACIONAL AUTONOMA DE HONDURAS,Honduras,TEGUCIGALPA,Unknown
UNIVERSIDAD NACIONAL AUTONOMA DE HONDURAS,Honduras,Tegucigalpa,Unknown
SECRETARIA DE SALUD DE HONDURAS,Honduras,Tegucigalpa,Unknown
Centro de Ecologia Marina de Utila,Honduras,Bay Islands,Research Organisations
COMISION TECNICA REGIONAL DE TELECOMUNICACIONES,Honduras,TEGUCIGALPA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VANGUARDIA SD DE RL DE CV,Honduras,SAN PEDRO SULA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSIDAD PEDAGOGICA NACIONAL FRANCISCO MORAZAN,Honduras,TEGUCIGALPA,Higher or Secondary Education Establishments
