name,country,city,businessType
THE UNIVERSITY OF HONG KONG,Hong Kong,Pokfulam,Higher or Secondary Education Establishments
HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,Hong Kong,HONG KONG,Higher or Secondary Education Establishments
CITY UNIVERSITY OF HONG KONG,Hong Kong,HONG KONG,Higher or Secondary Education Establishments
BioMarine,Hong Kong,Hong Kong,Other
RESET CARBON LIMITED,Hong Kong,SHEUNG WAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Hong Kong Polytechnique University,Hong Kong,Hong Kong,Higher or Secondary Education Establishments
HONG KONG BAPTIST UNIVERSITY,Hong Kong,HONG KONG,Higher or Secondary Education Establishments
CHINESE UNIVERSITY OF HONG KONG,Hong Kong,"SHATIN, NEW TERRITORIES",Unknown
HONG KONG BAPTIST UNIVERSITY,Hong Kong,KOWLOON,Unknown
HONG KONG UNIVERSITY - PASTEUR RESEARCH CENTRE LIMITED,Hong Kong,HONG KONG,Unknown
THE UNIVERSITY OF HONG KONG,Hong Kong,HONG KONG,Unknown
"DEPARTMENT OF COMMUNITY MEDICINE, THE UNIVERSITY OF HONG KONG",Hong Kong,POKFULAM,Unknown
THE UNIVERSITY OF HONG KONG,Hong Kong,,Unknown
HKU - Pasteur Research Centre Limited,Hong Kong,pokfulam hong kong,Research Organisations
M-Solv (HK) Limited,Hong Kong,HONG KONG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SEAMWELL (HONG KONG) LIMITED,Hong Kong,HONG KONG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEADVILLE ASPOCOMP INTERNATIONAL LIMITED,Hong Kong,HONG KONG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
