name,country,city,businessType
NEMZETI BIODIVERZITAS- ES GENMEGORZESI KOZPONT,Hungary,TAPIOSZELE,Research Organisations
SZEGEDI TUDOMANYEGYETEM,Hungary,SZEGED,Higher or Secondary Education Establishments
ATOMMAGKUTATO INTEZET,Hungary,DEBRECEN,Higher or Secondary Education Establishments
SZENT ISTVAN UNIVERSITY,Hungary,GODOLLO,Higher or Secondary Education Establishments
EUROPA MEDIA SZOLGALTATO NON PROFITKOZHASZNU KFT,Hungary,BUDAPEST,Other
ESSRG KFT,Hungary,BUDAPEST,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PANNON EGYETEM,Hungary,VESZPREM,Higher or Secondary Education Establishments
WIGNER FIZIKAI KUTATOKOZPONT,Hungary,Budapest,Research Organisations
INSTITUTE OF EXPERIMENTAL MEDICINE - HUNGARIAN ACADEMY OF SCIENCES,Hungary,Budapest,Research Organisations
FORESEE KUTATOCSOPORT NONPROFIT KOZHASZNU KFT,Hungary,BUDAPEST,Research Organisations
PECSI TUDOMANYEGYETEM - UNIVERSITY OF PECS,Hungary,PECS,Higher or Secondary Education Establishments
MOL MAGYAR OLAJ ES GAZIPARI NYILVANOSAN MUKODO RESZVENYTARSASAG,Hungary,BUDAPEST,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAGYAR TUDOMANYOS AKADEMIA SZAMITASTECHNIKAI ES AUTOMATIZALASI KUTATOINTEZET,Hungary,BUDAPEST,Research Organisations
ENERGIATUDOMANYI KUTATOKOZPONT,Hungary,Budapest,Research Organisations
"AKA KERESKEDELMI, TERMELO ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG",Hungary,VILLANY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEDEL MARKET MEZOGAZDASAGI TERMELOKERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,Hungary,JAKABSZALLAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEMZETI AGRARKUTATASI ES INNOVACIOS KOZPONT,Hungary,GODOLLO,Other
HUPX MAGYAR SZERVEZETT VILLAMOSENERGIA-PIAC ZARTKORUEN MUKODO RESZVENYTARSASAG,Hungary,BUDAPEST,Private for-profit entities (excluding Higher or Secondary Education Establishments)
