name,country,city,businessType
MATIS OHF,Iceland,REYKJAVIK,Research Organisations
Atferlisgreining ehf,Iceland,Reykjavik,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MENTIS CURA EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NYSKOPUNARMIDSTOD ISLANDS,Iceland,REYKJAVIK,Research Organisations
Reykjavik Geothermal,Iceland,Reykjavik,Other
VEDURSTOFA ISLANDS,Iceland,REYKJAVIK,Research Organisations
Ossur hf,Iceland,Reykjavik,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORKUVEITA REYKJAVIKUR SF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HASKOLI ISLANDS,Iceland,REYKJAVIK,Higher or Secondary Education Establishments
KATLA GEOPARK,Iceland,SELFOSS,Other
NORDURSLODAGATTIN EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LANDSPITALI UNIVERSITY HOSPITAL,Iceland,REYKJAVIK,Higher or Secondary Education Establishments
MARKMAR EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ICELAND SEAFOOD INTERNATIONAL EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",Iceland,REYKJAVIK,Research Organisations
HAFRANNSOKNASTOFNUNIN,Iceland,REYKJAVIK,Research Organisations
FORNLEIFASTOFNUN ISLANDS,Iceland,REYKJAVIK,Research Organisations
STOFNUN VILHJALMS STEFANSSONAR,Iceland,AKUREYRI,Research Organisations
GEROSION EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RANNSOKNAMIDSTOD ISLANDS,Iceland,REYKJAVIK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SVARMI EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LANDBUNADARHASKOLI ISLANDS,Iceland,BORGARNES,Higher or Secondary Education Establishments
GEORG-RANNSOKNARKLASI I JARDHITA,Iceland,REYKJAVIK,Research Organisations
ISLENSKAR ORKURANNSOKNIR,Iceland,REYKJAVIK,Research Organisations
BJONUSTU-OG BEKKINGARMIOSTOO FYRIRBLINDA SJONSKERTA OG DAUFBLINDA EINSTAKLINGA,Iceland,REYKJAVIK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REYKJAVIKURBORG,Iceland,REYKJAVIK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
P.VALD EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JGK TECH EHF,Iceland,HAFNARFJORDUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAREL HF,Iceland,GARDABAER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HAMPIDJAN HF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLAR TOGBUNADUR EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RAFNAR EHF,Iceland,KOPAVOGUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SKYNJAR TECHNOLOGIES EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FJOELBLENDIR EHF.,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRID EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AURORA SEAFOOD EHF,Iceland,GARDABAER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GREENVOLT NANOMA EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CURIO EHF,Iceland,HAFNARFJORDUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEMENTO EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NOX MEDICAL EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ORKUSTOFNUN,Iceland,REYKJAVIK,Other
GENIS HF,Iceland,SIGLUFJORDUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Marorka ehf,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAGANATURA EHF,Iceland,HAFNARFJORDUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OPTITOG EHF.,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALKA EHF,Iceland,KOPAVOGUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
D-TECH EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASCO HARVESTER EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LAKI POWER EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HS ORKA HF,Iceland,GRINDAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LANDSVIRKJUN,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DOHOP EHF,Iceland,REYKJAVIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
