name,country,city,businessType
INBI FOUNDATION,India,HYDERABAD,Other
HARISH-CHANDRA RESEARCH INSTITUTE,India,ALLAHABAD,Research Organisations
University of Delhi,India,NEW DELHI,Higher or Secondary Education Establishments
Society for Promoting Participative Ecosystem Management,India,PUNE,Research Organisations
INSTITUTE FOR RESOURCE ANALYSIS AND POLICY,India,HYDERABAD,Other
INDIAN INSTITUTE OF TECHNOLOGY KANPUR,India,KANPUR,Higher or Secondary Education Establishments
THE ENERGY AND RESOURCES INSTITUTE,India,NEW DELHI,Research Organisations
PROGRESSIVE WATER ENGINEERING PRIVATE LIMITED,India,NEW DELHI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INDIAN INSTITUTE OF TECHNOLOGY DELHI,India,NEW DELHI,Higher or Secondary Education Establishments
ION EXCHANGE (INDIA) LIMITED,India,MUMBAI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRE FOR WOMEN'S DEVELOPMENT STUDIES,India,NEW DELHI,Research Organisations
INDIAN INSTITUTE OF MANAGEMENT,India,AHMEDABAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATIONAL INSTITUTE OF INDUSTRIAL ENGINEERING,India,MUMBAI,Other
MALAVIYA NATIONAL INSTITUTE OF TECHNOLOGY JAIPUR,India,JAIPUR,Higher or Secondary Education Establishments
Indian Institute of Technology Bhubaneswar,India,JATNI KHURDA BHUBANESWAR,Higher or Secondary Education Establishments
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE,India,ROORKEE,Higher or Secondary Education Establishments
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),India,Chennai,Higher or Secondary Education Establishments
TERI UNIVERSITY,India,NEW DELHI,Higher or Secondary Education Establishments
"INDIAN INSTITUTE OF TECHNOLOGY, KHARAGPUR",India,KHARAGPUR,Higher or Secondary Education Establishments
TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,India,FARIDABAD,Research Organisations
NATIONAL INSTITUTE OF IMMUNOLOGY SOCIETY,India,NEW DELHI,Research Organisations
SETH G S M COLLEGE AND K E M HOSPITAL DIAMOND JUBILEE SOCIETY,India,MUMBAI,Research Organisations
PUBLIC HEALTH FOUNDATION OF INDIA,India,NEW DELHI,Research Organisations
