name,country,city,businessType
CV. PRIMARY INDONESIA,Indonesia,CIMAHI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAS PAJAJARAN,Indonesia,SUMEDANG,Higher or Secondary Education Establishments
UNIVERSITAS TRISAKTI,Indonesia,JAKARTA,Higher or Secondary Education Establishments
CENTER FOR INTERNATIONAL FORESTRY RESEARCH,Indonesia,Bogor Barat,Research Organisations
UNIVERSITAS UDAYANA,Indonesia,BADUNG,Higher or Secondary Education Establishments
PT SUSTAINABILITY AND RESILIENCE,Indonesia,BADUNG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITAS SEBELAS MARET,Indonesia,SURAKARTA,Higher or Secondary Education Establishments
INSTITUT TEKNOLOGI BANDUNG,Indonesia,BANDUNG,Higher or Secondary Education Establishments
UNIVERSITAS BINA NUSANTARA,Indonesia,JAKARTA BARAT,Higher or Secondary Education Establishments
Universitas Negeri Papua,Indonesia,"Manokwari, Papua Barat",Other
EIJKMAN INSTITUTE FOR MOLECULAR BIOLOGY,Indonesia,JAKARTA,Research Organisations
UNIVERSITAS KRISTEN ARTHA WACANA KUPANG,Indonesia,OESAPA KUPANG,Higher or Secondary Education Establishments
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,Indonesia,SURABAYA,Higher or Secondary Education Establishments
INISIASI PENGKAJIAN RESILIENSI FOUNDATION,Indonesia,BANDUNG,Other
YAYASAN PUSAT PENGKAJIAN MALASAH STRATEGI DAN INTERNASIONAL INDONESIA,Indonesia,JAKARTA,Research Organisations
GADJAH MADA UNIVERSITY,Indonesia,YOGYAKARTA,Higher or Secondary Education Establishments
YAYASAN CIPTA CARA PADU JAKARTA,Indonesia,JAKARTA,Other
UNIVERSITY OF INDONESIA,Indonesia,DEPOK,Higher or Secondary Education Establishments
UNIVERSITAS BRAWIDJAJA,Indonesia,MALANG,Higher or Secondary Education Establishments
UNIVERSITAS TANJUNGPURA,Indonesia,PONTIANAK,Higher or Secondary Education Establishments
Coconut Research Institute Manado,Indonesia,Jakarta,Unknown
Institute for Research and Development of Agro-Based Industry,Indonesia,Bogor,Unknown
Pusat Penelitian Perkebunan Marihat,Indonesia,Pematang Siantar,Unknown
Provincial Health Services - Aceh Province,Indonesia,Banda Aceh,Unknown
Indonesian Planter's Association for Research and Development,Indonesia,Palembang,Unknown
Airlangga University,Indonesia,Surabaya,Unknown
Padjadjaran University,Indonesia,Bandung,Unknown
Central Research Institute for Food Crops,Indonesia,Bogor,Unknown
