name,country,city,businessType
AGRICULTURAL COMPANY IN THE UPPER GALILEE,Israel,KIRYAT-SHMONA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MIGAL GALILEE RESEARCH INSTITUTE LTD,Israel,Kiryat-Shmona,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF HAIFA,Israel,HAIFA,Higher or Secondary Education Establishments
INTERTEAM LTD,Israel,JERUSALEM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CLALIT HEALTH SERVICES,Israel,TEL AVIV,Research Organisations
BAR ILAN UNIVERSITY,Israel,RAMAT GAN,Higher or Secondary Education Establishments
INFINIDAT LTD,Israel,HERZILIYA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BREVEL,Israel,REHOVOT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIBERDI LTD,Israel,MISGAV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,Israel,HAIFA,Higher or Secondary Education Establishments
WEIZMANN INSTITUTE OF SCIENCE,Israel,REHOVOT,Higher or Secondary Education Establishments
Rotem Industries Ltd.,Israel,Mishor Yamin,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Ratio Oil Exploration,Israel,Tel Aviv,Other
Delek Drilling,Israel,Hertsliya,Other
"Ministry of National Infrastructure, Energy and Water Resources",Israel,Jerusalem,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE HEBREW UNIVERSITY OF JERUSALEM,Israel,JERUSALEM,Higher or Secondary Education Establishments
S.T.S. MEDICAL LTD,Israel,MISGAV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TEVA PHARMACEUTICAL INDUSTRIES LIMITED,Israel,PETACH TIVKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TEL AVIV UNIVERSITY,Israel,TEL AVIV,Higher or Secondary Education Establishments
RESEARCH FUND OF THE HADASSAH MEDICAL ORGANIZATION (R.A),Israel,JERUSALEM,Research Organisations
ORBOTECH LTD,Israel,YAVNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
C.M.T. MEDICAL TECHNOLOGIES LTD,Israel,YOKNEAM LLIT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NOVO DR LTD,Israel,YEHUD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BEN-GURION UNIVERSITY OF THE NEGEV,Israel,BEER SHEVA,Higher or Secondary Education Establishments
MINISTRY OF HEALTH,Israel,JERUSALEM,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
E.W.R.E. LTD,Israel,HAIFA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARGUS CYBER SECURITY LTD,Israel,TEL AVIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
