name,country,city,businessType
National Institute of Public Hygiene,Ivory Coast,ABIDJAN,Research Organisations
ASSOCIATION AFRICAINE DE L'EAU (AAE),Ivory Coast,ABIDJAN,Other
ASSOCIATION PAC-CI,Ivory Coast,ABIDJAN,Research Organisations
CENTRE DE RECHERCHES OCEANOLOGIQUES,Ivory Coast,ABIDJAN,Research Organisations
UNIVERSITE FELIX HOUPHOUET BOIGNY,Ivory Coast,ABIDJAN,Higher or Secondary Education Establishments
DISTRICT AUTONOME D'ABIDJAN,Ivory Coast,ABIDJAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITE D'ABOBO-ADJAME,Ivory Coast,ABIDJAN,Higher or Secondary Education Establishments
UniversitÃ© Nationale de la Cote d'Ivoire,Ivory Coast,Abidjan,Unknown
MinistÃšre de la Recherche Scientifique de la Cote d'Ivoire 'IRCA-CI',Ivory Coast,Abidjan,Unknown
MinistÃšre pour la Production Animale,Ivory Coast,Yamoussoukro,Unknown
Ensaa,Ivory Coast,Abidjan,Unknown
Institut des Savanes de Cote d'Ivoire,Ivory Coast,BouakÃ©,Unknown
Laboratoire Central de Pathologie,Ivory Coast,Bingerville,Unknown
Institut National de la SantÃ© Publique,Ivory Coast,Abidjan,Unknown
MinistÃšre des Affaires Sociales et dela SantÃ© Publique,Ivory Coast,Abidjan,Unknown
Institut des FÃŽrets,Ivory Coast,Abidjan,Unknown
Institut des Savanes de Cote d'Ivoire,Ivory Coast,Ferkessedougou,Unknown
Direction RÃ©gionale de la SantÃ© et dela Protection Sociale,Ivory Coast,Daloa - Centre-Ouest,Unknown
Institut des FÃŽrets,Ivory Coast,Abidjan - Dabou,Unknown
Institut FranÃ§ais de Recherche Scientifique pour le DÃ©veloppement en CoopÃ©ration - ORSTOM,Ivory Coast,Abidjan,Unknown
Civ. Station Cocotier 'Marc Delorme',Ivory Coast,Abidjan,Unknown
Centre Hospitalier Universitaire de Yopougon,Ivory Coast,Abidjan,Unknown
Cellule de Recherche en SantÃ© de la RÃ©production,Ivory Coast,Abidjan,Unknown
GROUPEMENT INTERDISCIPLINAIRE EN SCIENCES SOCIALES - COTE D'IVOIRE,Ivory Coast,ABIDJAN,Unknown
UniversitÃ© Nationale de la Ctte d'Ivoire,Ivory Coast,Abidjan,Unknown
Centre National de la Recherche Agronomique,Ivory Coast,Abidjan,Unknown
UniversitÃ© de Cocody,Ivory Coast,Abidjan,Unknown
Institut Pasteur de CÃŽte d'Ivoire,Ivory Coast,Abidjan,Unknown
Comite National de Teledetection et D'information Geographique (Cntig),Ivory Coast,Abidjan,Unknown
CENTRE NATIONAL DE LA RECHERCHE AGRONOMIQUE,Ivory Coast,ABIDJAN,Unknown
BUREAU NATIONAL D'ETUDES TECHNIQUES ET DE DEVELOPPEMENT,Ivory Coast,ABIDJAN,Unknown
SOCIETE DE DEVELOPPEMENT DES FORETS,Ivory Coast,ABIDJAN,Unknown
LABORATOIRE NATIONAL D'APPUI AU DEVELOPPEMENT AGRICOLE,Ivory Coast,BINGERVILLE,Unknown
INSTITUT PASTEUR DE COTE D'IVOIRE,Ivory Coast,ABIDJAN,Unknown
ISTITUT PASTEUR DE COTE D'IVOIRE',Ivory Coast,ABIDJAN,Unknown
UNIVERSITE D'ABOBO-ADJAME,Ivory Coast,ABIDJAN,Unknown
INSTITUT PIERRE RICHET,Ivory Coast,ABIDJAN,Unknown
CENTRE NATIONAL DE RECHERCHE AGRONOMIQUE,Ivory Coast,ABIDJAN,Unknown
UNION AFRICAINE DES TRANSPORTEURS PUBLICS (UATP) ASSOCIATION,Ivory Coast,ABIDJAN,Other
MinistÃšre de la Production Animale et des Ressources Halieutiques,Ivory Coast,ABIDJAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Bureau National d'Etudes Techniques et de DÃ©veloppement / Centre de Cartographie et de TÃ©lÃ©dÃ©tection,Ivory Coast,Abidjan,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
