name,country,city,businessType
OLYMPUS CORPORATION,Japan,HACHIOJI-SHI TOKYO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL UNIVERSITY CORPORATION THEUNIVERSITY OF TOKYO,Japan,TOKYO,Higher or Secondary Education Establishments
Tokyo Densu University,Japan,Tokyo,Higher or Secondary Education Establishments
MEIJI UNIVERSITY EDUCATIONAL FOUNDATION,Japan,CHIYODA KU TOKYO,Higher or Secondary Education Establishments
WASEDA UNIVERSITY,Japan,TOKYO,Higher or Secondary Education Establishments
INTER-UNIVERSITY RESEARCH INSTITUTE CORPORATION NATIONAL INSTITUTES OF NATURAL SCIENCES,Japan,TOKYO,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY CORPORATION HIROSHIMA UNIVERSITY,Japan,HIGASHI HIROSHIMA,Higher or Secondary Education Establishments
KEIO UNIVERSITY,Japan,TOKYO,Higher or Secondary Education Establishments
THE NATIONAL UNIVERSITY CORPORATION SHINSHU UNIVERSITY,Japan,MATSUMOTO,Higher or Secondary Education Establishments
KOKURITSU DAIGAKU HOJIN KYOTO DAIGAKU,Japan,KYOTO,Higher or Secondary Education Establishments
CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,Japan,CHIYODA KU TOKYO,Research Organisations
SAITAMA UNIVERSITY,Japan,SAKURA KU SAITAMA,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY CORPORATION KUMAMOTO UNIVERSITY,Japan,CHUO KU KUMAMOTO,Higher or Secondary Education Establishments
KOKURITSU DAIGAKU HOJIN HOKKAIDO DAIGAKU,Japan,SAPPORO,Higher or Secondary Education Establishments
"INTER-UNIVERSITY RESEARCH INSTITUTE CORPORATION, HIGH ENERGY ACCELERATOR RESEARCH ORGANISATION",Japan,TSUKUBA,Higher or Secondary Education Establishments
NATIONAL CENTER OF NEUROLOGY AND PSYCHIATRY,Japan,KODAIRA TOKYO,Other
NATIONAL INSTITUTES FOR CULTURAL HERITAGE,Japan,TOKYO,Research Organisations
NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES,Japan,TSUKUBA,Research Organisations
RESEARCH INSTITUTE OF INNOVATIVE TECHNOLOGY FOR THE EARTH,Japan,Kizugawa-shi,Research Organisations
NATIONAL AGRICULTURE AND FOOD RESEARCH ORGANIZATION,Japan,TSUKUBA IBARAKI,Other
UNITED NATIONS UNIVERSITY,Japan,SHIBUYA KU TOKYO,Higher or Secondary Education Establishments
RADIOACTIVE WASTE MANAGEMENT FUNDING AND RESEARCH CENTER,Japan,TOKYO,Research Organisations
UNIVERSITY OF TSUKUBA,Japan,TSUKUBA IBARAKI,Higher or Secondary Education Establishments
NATIONAL INSTITUTE OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,Japan,"KOGANEI, TOKYO",Higher or Secondary Education Establishments
PUBLIC UNIVERSITY CORPORATION YOKOHAMA CITY UNIVERSITY,Japan,YOKOHAMA,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY CORPORATION KYUSHU UNIVERSITY,Japan,FUKUOKA,Higher or Secondary Education Establishments
NATIONAL UNIVERSITY CORPORATION TOHOKU UNIVERSITY,Japan,SENDAI,Higher or Secondary Education Establishments
RIKEN THE INSTITUTE OF PHYSICAL ANDCHEMICAL RESEARCH,Japan,WAKO SHI SAITAMA,Research Organisations
NATIONAL INSTITUTE FOR MATERIALS SCIENCE,Japan,TSUKUBA,Research Organisations
TDK CORPORATION,Japan,TOKYO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
YURIKOGYO CO LTD,Japan,YURIHONJO AKITA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
C&A Corporation,Japan,Sendai,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TOKYO UNIVERSITY OF SCIENCE FOUNDATION,Japan,TOKYO,Higher or Secondary Education Establishments
INTER-UNIVERSITY RESEARCH INSTITUTECORPORATION RESEARCH ORGANIZATIONOF INFORMATION AND SYSTEMS,Japan,TOKYO,Research Organisations
OSAKA UNIVERSITY,Japan,OSAKA,Higher or Secondary Education Establishments
EISAI CO LTD,Japan,BUNKYO KU TOKYO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL UNIVERSITY CORPORATION MIE UNIVERSITY,Japan,TSU MIE,Higher or Secondary Education Establishments
AICHI SEIKO KABUSHIKI KAISHA,Japan,AICHI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL UNIVERSITY CORPORATIONS NIIGATA UNIVERSITY,Japan,NIIGATA,Higher or Secondary Education Establishments
GENERAL INCORPORATED FOUNDATION CENTER FOR INTERNATIONAL ECONOMIC COLLABORATION,Japan,MINATO KU TOKYO,Research Organisations
KINKI UNIVERSITY,Japan,OSAKA,Higher or Secondary Education Establishments
KOKURITSU DAIGAKU HOJIN NAGOYA DAIGAKU,Japan,NAGOYA,Higher or Secondary Education Establishments
KANSAI UNIVERSITY,Japan,SUITA,Other
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TECHNOLOGY,Japan,TOKYO,Research Organisations
