name,country,city,businessType
SYNCHROTRON-LIGHT FOR EXPERIMENTAL SCIENCE AND APPLICATIONS IN THE MIDDLE EAST,Jordan,ALLAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE HIGHER COUNCIL FOR SCIENCE AND TECHNOLOGY HCST,Jordan,AMMAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITY OF JORDAN,Jordan,Amman,Higher or Secondary Education Establishments
JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Jordan,IRBID,Higher or Secondary Education Establishments
GREATER AMMAN MUNICIPALITY,Jordan,AMMAN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
YARMOUK UNIVERSITY,Jordan,IRBID,Higher or Secondary Education Establishments
ROYAL SCIENTIFIC SOCIETY,Jordan,AL-JUBAIHA/AMMAN,Research Organisations
GENERATIONS FOR PEACE,Jordan,AMMAN,Research Organisations
"NATIONAL AGRICULTURAL RESEARCH CENTER, MINISTRY OF AGRICULTURE",Jordan,AMMAN,Research Organisations
RAED SALEM AND PARTNER CO,Jordan,AMMAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
National Electric Power Company,Jordan,Amman,Unknown
Al Al-Bayt Univeristy,Jordan,Jubyha,Unknown
Yarmouk University,Jordan,Irbid,Unknown
The Royal Scientific Society,Jordan,Amman,Unknown
ENVIROCONSULT OFFICE,Jordan,AMMAN,Unknown
UNIVERSITY OF JORDAN,Jordan,AMMAN,Unknown
University of Jordan,Jordan,Amman,Unknown
Water Authority of Jordan,Jordan,Amman,Unknown
The Royal Scientific Society // Al Jameiyah Al Ilmiya Al Malakiya,Jordan,Amman,Unknown
Amman University,Jordan,Amman,Unknown
Arab Turnkey Systems Ltd // As-Sharika Al Arabia Li Nodhom Al Hasub Al Mutakamila,Jordan,Amman,Unknown
Jordan University of Science and Technology,Jordan,Irbid,Unknown
UNIVERSITY OF JORDAN,Jordan,AMMAN / AL-JUBAIHA,Unknown
JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Jordan,IRBID,Unknown
Mdg -Management & Development Group,Jordan,Ammam,Unknown
ROYAL SCIENTIFIC SOCIETY,Jordan,AL-JUBAIHA/AMMAN,Unknown
THE HIGHER COUNCIL FOR SCIENCE AND TECHNOLOGY,Jordan,AMMAN / AL-JUBAIHA,Unknown
THE HASHEMITE UNIVERSITY,Jordan,ZERKA,Unknown
AMMAN UNIVERSITY,Jordan,AMMAN,Unknown
CONSOLIDATED CONSULTANTS - ENGINEERING AND ENVIRONMENT,Jordan,AMMAN,Unknown
THE ROYAL SCIENTIFIC SOCIETY,Jordan,AMMAN / AL-JUBAIHA,Unknown
DAR AL-OMRAN,Jordan,AMMAN,Unknown
NATIONAL CENTER FOR AGRICULTURAL RESEARCH AND TECHNOLOGY TRANSFER,Jordan,BAQA-AMMAN,Unknown
MINISTRY OF WATER AND IRRIGATION,Jordan,AMMAN,Unknown
MANAGEMENT AND DEVELOPMENT GROUP,Jordan,AMMAN,Unknown
THE ROYAL JORDANIAN GEOGRAPHIC CENTRE,Jordan,AMMAN / AL-JUBAIHA,Unknown
NATIONAL ENERGY RESEARCH CENTRE,Jordan,AMMAN / AL-JUBAIHA,Unknown
TIBAH CONSULTANTS SA,Jordan,AMMAN,Unknown
JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Jordan,IRBED,Unknown
MINISTRY OF HEALTH OF JORDAN,Jordan,AMMAN,Unknown
YARMOUK UNIVERSITY,Jordan,IRBED,Unknown
MINISTRY OF TOURISM AND ANTIQUITIES,Jordan,AMMAN,Unknown
NATURAL RESOURCES AUTHORITY,Jordan,AMMAN,Unknown
