name,country,city,businessType
INSTITUTE OF POLYMER MATERIALS ANDTECHNOLOGY,Kazakhstan,ALMATY,Other
KIMEP UNIVERSITY JSC,Kazakhstan,ALMATY,Higher or Secondary Education Establishments
L.N. Gumilyov Eurasian National University,Kazakhstan,Astana,Higher or Secondary Education Establishments
INSTITUTE OF COMBUSTION PROBLEMS SCIENTIFIC COMMITTEE OF THE MINISTRYOF EDUCATION AND SCIENCE OF THE REPUBLIC OF KAZAKHSTAN,Kazakhstan,ALMATY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NAZARBAYEV UNIVERSITY,Kazakhstan,ASTANA,Higher or Secondary Education Establishments
ANNA GUSSAROVA,Kazakhstan,ALMATY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""REPUBLICAN STATE ENTERPRISE ON THE RIGHT OF ECONOMIC MANAGEMENT """"INSTITUTE OF MATHEMATICS AND MATHEMATICAL MODELING"""" OF THE COMMITTEE OF SCIENCE OF THE MINISTRY OF EDUCATION AND SCIENCE OF THE REPUBLIC OF KAZAKHSTAN""",Kazakhstan,ALMATY,Research Organisations
Institute of Organic Catalysis and Electrochemistry,Kazakhstan,Almaty,Unknown
Institute of Microbiology and Virology - Academy of Science of the Khazashstan Republic,Kazakhstan,Alma-Ata,Unknown
"Association ""Isotope"" of the Republicof Kazkhstan",Kazakhstan,Almaty,Unknown
Kazakh Scientific Research Anti-Plaque Institute,Kazakhstan,Almaty,Unknown
KAZAKH STATE ACADEMY OF ARCHITECTURE AND CONSTRUCTION,Kazakhstan,ALMATY,Unknown
Kazakh State National University of Al-Favabi,Kazakhstan,Almaty,Unknown
KAZAKH ACADEMY OF SCIENCES,Kazakhstan,ALMATY,Unknown
Institute of Seismology - National Academy of Science of the Republic of Kazachstan,Kazakhstan,Almaty,Unknown
Institute of Human and Animal Physiology of the Kazakhstan National Academy of Science,Kazakhstan,Almaty,Unknown
Kazakh Scientific Research Institute of Water Management,Kazakhstan,Taraz,Unknown
Kzyl Orda State University,Kazakhstan,Kzyl Orda,Unknown
Kazak State Academy of Architecture and Construction,Kazakhstan,Almaty,Unknown
