name,country,city,businessType
THE AFRICAN ACADEMY OF SCIENCES,Kenya,NAIROBI,Research Organisations
UNITED NATIONS HUMAN SETTLEMENTS PROGRAMME,Kenya,NAIROBI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
THE INSTITUTE FOR TRANSPORTATION & DEVELOPMENT POLICY,Kenya,NAIROBI,Other
UNITED NATIONS ENVIRONMENT PROGRAMME,Kenya,NAIROBI,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
International Livestock Research Institute,Kenya,Nairobi,Research Organisations
KENYATTA UNIVERSITY,Kenya,NAIROBI,Higher or Secondary Education Establishments
PWANI UNIVERSITY COLLEGE,Kenya,KILIFI,Higher or Secondary Education Establishments
DISTANT RELATIVES EVENTS LIMITED,Kenya,KILIFI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EASTERN AFRICA FARMERS' FEDERATION SOCIETY,Kenya,NAIROBI,Other
STRATHMORE UNIVERSITY,Kenya,NAIROBI,Higher or Secondary Education Establishments
AFRICAN COLLABORATIVE CENTRE FOR EARTH SYSTEM SCIENCE (ACCESS),Kenya,NAIROBI,Research Organisations
AFRICAN POPULATION & HEALTH RESEARCH CENTRE KENYA,Kenya,NAIROBI,Research Organisations
KENYA FORESTRY RESEARCH INSTITUTE,Kenya,NAIROBI,Research Organisations
NATIONAL MUSEUMS OF KENYA,Kenya,NAIROBI,Research Organisations
CATHOLIC UNIVERSITY OF EASTERN AFRICA,Kenya,NAIROI,Higher or Secondary Education Establishments
ELIMU ELEARNING COMPANY LIMITED,Kenya,NAIROBI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE TECHNICAL UNIVERSITY OF KENYA,Kenya,NAIROBI,Higher or Secondary Education Establishments
MINISTRY OF AGRICULTURE LIVESTOCK AND FISHERIES,Kenya,KISUMU,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kenya,NAIROBI,Higher or Secondary Education Establishments
TRANSLATORS WITHOUT BORDERS,Kenya,NAIROBI,Other
TRANS-AFRICAN HYDRO-METEOROLOGICAL OBSERVATORY,Kenya,NAIROBI,Other
AFRICAN VIRTUAL UNIVERSITY,Kenya,NAIROBI,Research Organisations
MASENO UNIVERSITY,Kenya,KISUMU,Higher or Secondary Education Establishments
UNIVERSITY OF ELDORET,Kenya,ELDORET,Higher or Secondary Education Establishments
INTERNATIONAL CENTRE FOR RESEARCH IN AGROFORESTRY,Kenya,NAIROBI,Research Organisations
AFRICAN CENTRE FOR TECHNOLOGY STUDIES,Kenya,NAIROBI,Research Organisations
USHAHIDI NETWORK,Kenya,NAIROBI,Other
I-HUB LIMITED,Kenya,NAIROBI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IGAD CENTRE FOR CLIMATE PREDICTION AND APPLICATION,Kenya,NAIROBI,Research Organisations
KENYA RED CROSS SOCIETY,Kenya,NAIROBI,Other
LOCATE IT LIMITED,Kenya,NAIROBI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANISATION,Kenya,NAIROBI,Research Organisations
