name,country,city,businessType
UNIVERSITETI I PRISHTINES,Kosovo,PRISTINA,Higher or Secondary Education Establishments
KOSOVAR CENTRE FOR SECURITY STUDIES,Kosovo,PRISHTINA,Research Organisations
FONDACIONIT KOSOVAR TRASHEGIMIAKULTURORE PA KUFIJ,Kosovo,PRISHTINA,Other
ZYRA PER SHENDET MENDOR,Kosovo,PRIZREN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SOCIAL RESEARCH KOSOVA LLC,Kosovo,PRISTINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AEROPORTI NDERKOMBETAR I PRISHTINES KONTROLLI AJROR ADEM JASHARI SHA,Kosovo,PRISTINA,Other
AUTORITETI I AVIACIONIT CIVIL TE KOSOVES,Kosovo,PRISHTINA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNIVERSITETI UKSHIN HOTI,Kosovo,PRIZREN,Higher or Secondary Education Establishments
DATAPROGNET SH.P.K.,Kosovo,FERIZAJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTI KOSOVAR PER KERKIME DHE ZHVILLIME TE POLITIKAVE/KOSOVAR INSTITUTE FOR POLICY RESEARCH AND DEVELOPMENT FONDACIJA,Kosovo,PRISTINA,Other
AKCIONI PER NENA DHE FEMIJE,Kosovo,PRISHTINA,Research Organisations
AMRKS,Kosovo,Pristina,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKG SHPK,Kosovo,PRISTINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRIA E SHENDETESISE,Kosovo,PRISTINA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
GRUPI PER STUDIME JURIDIKE DHE POLITIKE,Kosovo,PRISTINA,Research Organisations
RRJETI EDUKATOREVE BASHKEMOSHATAR,Kosovo,PRISHTINA,Other
KOSOVA EDUCATION CENTER,Kosovo,PRISHTINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INICIATIVA KOSOVARE PER STABILITET,Kosovo,PRISTINA,Research Organisations
