name,country,city,businessType
INSTITUTION EURASIAN INSTITUTE OF INTERNATIONAL RELATIONS,Kyrgyzstan,BISHKEK,Research Organisations
NATIONAL INFORMATION TECHNOLOGY CENTER,Kyrgyzstan,BISHKEK,Other
SIAR RESEARCH AND CONSULTING LLC,Kyrgyzstan,BISHKEK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTERSTVO ZDRAVOOHRANENIYA KYRGYZSKOY RESPUBLIKI,Kyrgyzstan,BISHKEK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KYRGYZ STATE TECHNICAL UNIVERSITY NAMED AFTER I. RAZZAKOV,Kyrgyzstan,BISHKEK,Higher or Secondary Education Establishments
KYRGYZ NATIONAL UNIVERSITY NAMED AFTER JUSUP BALASAGYN,Kyrgyzstan,BISHKEK,Higher or Secondary Education Establishments
OSCE ACADEMY IN BISHKEK,Kyrgyzstan,BISHKEK,Research Organisations
PUBLIC UNION CENTER POLIS ASIA,Kyrgyzstan,BISHKEK,Research Organisations
Institute of Seismology - National Academy of Science of the Kyrgyz Republic,Kyrgyzstan,Bishkek 60,Unknown
The Osh Technological University,Kyrgyzstan,Osh,Unknown
"Kirgiz Respublikasi Bilim, Zhana Madanilz Ministriligi",Kyrgyzstan,Bishkek,Unknown
"THE INTERNATIONAL CENTRE FOR SOCIOLOGICAL, POLITICAL AND SOCIAL PSYCHOLOGICAL RESEARCH",Kyrgyzstan,BISHKEK,Unknown
CENTRE FOR COORDINATION FOREIGN INVESTMENT AND GRANTS,Kyrgyzstan,BISHKEK,Unknown
KYRGYZ RESEARCH IRRIGATION INSTITUTE,Kyrgyzstan,BISHKEK,Unknown
"POLICY PLANNING AND COORDINATION UNIT ""MANAS""",Kyrgyzstan,BISHKEK,Unknown
KYRGYZ SCIENTIFIC CENTER FOR HEMATOLOGY,Kyrgyzstan,BISHKEK,Unknown
KYRGYZ RESEARCH INSTITUTE OF ONCOLOGY AND RADIOLOGY,Kyrgyzstan,BISHKEK,Unknown
INSTITUTE FOR REGIONAL STUDIES OF KYRGYZSTAN,Kyrgyzstan,BISHKEK,Unknown
REPUBLICAN CENTER FOR QUARANTINE AND PARTICULARLY DANGEROUS DISEASES UNDER MIN. PUBLIC HEALTH OF REPUBLIC OF KYRGYZSTAN,Kyrgyzstan,BISHKEK,Unknown
INSTITUTE OF WATER PROBLEMS AND HYDRO POWER OF NATIONAL ACADEMY OF SCIENS KYRGYZ REPUBLIC,Kyrgyzstan,BISHKEK,Unknown
KYRGYZ RESEARCH AND EDUCATION NETWORKING ASSOCIATION,Kyrgyzstan,Bishkek,Research Organisations
CENTER FOR SOCIAL AND ECONOMIC RESEARCH IN KYRGYZSTAN,Kyrgyzstan,BISHKEK,Unknown
"NATIONAL ACADEMY OF SCIENCE, KYRGYZ REPUBLIC",Kyrgyzstan,BISHKEK,Unknown
"SCIENTIFIC ENGINEERING CENTER ""GEOPRIBOR"", NATIONAL ACADEMY OF SCIENCES OF KYRGYZ REPUBLIC",Kyrgyzstan,BISHKEK,Unknown
KYRGYZ-TURKISH MANAS UNIVERSITY,Kyrgyzstan,BISHKEK,Unknown
KYRGYZ CENTER OF SCIENCE AND TECHNOLOGY DEVELOPMENT,Kyrgyzstan,BISHKEK,Unknown
NATIONAL CENTRE OF MOUNTAIN REGIONS DEVELOPMENT OF THE KYRGYZ REPUBLIC,Kyrgyzstan,BISHKEK,Unknown
ADMINISTRATION OF THE PRESIDENT OF THE KYRGYZ REPUBLIC,Kyrgyzstan,BISHKEK,Unknown
INSTITUTE OF WATER PROBLEMS AND HYDROPOWER OF THE KYRGYZ NATIONAL ACADEMY OF SCIENCES,Kyrgyzstan,BISHKEK,Higher or Secondary Education Establishments
KYRGYZALTYN OAO,Kyrgyzstan,Bishkek,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTRAL-ASIAN INSTITUTE FOR APPLIED GEOSCIENCES,Kyrgyzstan,BISHKEK,Research Organisations
CENTRAL ASIAN AGENCY OF COOPERATION FOR DEVELOPMENT,Kyrgyzstan,BISHKEK,Research Organisations
STATE AGENCY OF HYDROMETEOROLOGY UNDER MINISTRY OF EMERGENCY SITUATIONS OF THE KYRGYZ REPUBLIC,Kyrgyzstan,BISHKEK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
The National Library of the Kyrgyz Republic,Kyrgyzstan,Bishkek,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Public Foundation EnConsult,Kyrgyzstan,Bishkek,Other
OSH STATE UNIVERSITY,Kyrgyzstan,OSH,Higher or Secondary Education Establishments
