name,country,city,businessType
NATIONAL UNIVERSITY OF LAOS,Lao,VIENTIANE,Higher or Secondary Education Establishments
MINISTRY OF HEALTH,Lao,LAO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Institut National d'HygiÃšne et d'EpidÃ©miologie,Lao,Vientiane,Unknown
Ministry of Health,Lao,Vientiane,Unknown
Ministry of Agriculture and Forestry,Lao,Vientiane,Unknown
LIVING AQUATIC RESOURCES RESEARCH CENTER,Lao,VIENTIANE,Unknown
NATIONAL AGRICULTURE AND FORESTRY RESEARCH INSTITUTE,Lao,VIENTIANE,Unknown
"CENTRE OF MALARIOLOGY, PARASITOLOGY AND ENTOMOLOGY",Lao,VIENTIANE,Unknown
NATIONAL UNIVERSITY OF LAOS,Lao,VIENTIANE,Unknown
NATIONAL ANIMAL HEALTH CENTER,Lao,VIENTIANE,Unknown
NATIONAL INSTITUTE OF PUBLIC HEALTH,Lao,VIENTIANE,Unknown
MINISTRY OF SCIENCE AND TECHNOLOGY,Lao,VIENTIANE,Research Organisations
National Authority for Science and Technology,Lao,Vientiane,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
