name,country,city,businessType
VIDZEMES AUGSTSKOLA,Latvia,VALMIERA,Higher or Secondary Education Establishments
VIDZEMES PLANOSANAS REGIONS,Latvia,CESIS CESU NOV,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RIGAS STRADINA UNIVERSITATE,Latvia,RIGA,Higher or Secondary Education Establishments
LATVIJAS UNIVERSITATE,Latvia,RIGA,Higher or Secondary Education Establishments
TILDE SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LATVIJAS LAUKSAIMNIECIBAS UNIVERSITATE,Latvia,JELGAVA,Higher or Secondary Education Establishments
ZEMNIEKU SAEIMA,Latvia,Riga,Other
RIGAS TEHNISKA UNIVERSITATE,Latvia,RIGA,Higher or Secondary Education Establishments
VALSTS IZGLITIBAS ATTISTIBAS AGENTURA,Latvia,RIGA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LATVIJAS UNIVERSITATES AGENTURA LATVIJAS UNIVERSITATES BIOLOGIJAS INSTITUTS,Latvia,SALASPILS,Research Organisations
VENTSPILS AUGSTSKOLA,Latvia,VENTSPILS,Higher or Secondary Education Establishments
LATVIJAS VALSTS MEZZINATNES INSTITUTS SILAVA,Latvia,SALASPILS,Research Organisations
LATVIJAS HIDROEKOLOGIJAS INSTITUTS,Latvia,RIGA,Research Organisations
EKODOMA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VIDES AIZARDZIBAS UN REGIONALAS ATTISTIBAS MINISTRIJA,Latvia,Riga,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Riga Technical University,Latvia,Riga,Other
LATVIJAS ORGANISKAS SINTEZES INSTITUTS,Latvia,RIGA,Research Organisations
ELEKTRONIKAS UN DATORZINATNU INSTITUTS,Latvia,RIGA,Research Organisations
DAUGAVPILS UNIVERSITATE,Latvia,DAUGAVPILS,Higher or Secondary Education Establishments
FIZIKALAS ENERGETIKAS INSTITUTS,Latvia,RIGA,Research Organisations
VIDES INVESTICIJU FONDS SIA,Latvia,RIGA,Other
LATVIJAS ETNOGRAFISKAIS BRIVDABAS MUZEJS,Latvia,RIGA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LATVIJAS VALSTS KOKSNES KIMIJAS INSTITUTS,Latvia,RIGA,Research Organisations
LATVIJAS UNIVERSITATES CIETVIELU FIZIKAS INSTITUTS,Latvia,RIGA,Higher or Secondary Education Establishments
LATVIJAS MOBILAIS TELEFONS SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LATVIJAS UNIVERSITATES MATEMATIKAS UN INFORMATIKAS INSTITUTS,Latvia,RIGA,Research Organisations
RIGAS DOME,Latvia,RIGA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BALTIC OPEN SOLUTIONS CENTER,Latvia,SAULKRASTI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STOCKHOLM SCHOOL OF ECONOMICS IN RIGA SIA,Latvia,RIGA,Higher or Secondary Education Establishments
SCHWENK LATVIJA SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DARZKOPIBAS INSTITUTS,Latvia,DOBELE DOBELES NOV,Research Organisations
NODIBINAJUMS BALTIC STUDIES CENTRE,Latvia,RIGA,Research Organisations
SIDRABE VACUUM SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKCIJU SABIEDRIBA AUGSTSPRIEGUMA TIKLS,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LATVIJAS PARTIKAS UZNEMUMU FEDERACIJA,Latvia,RIGA,Other
SIA AGL TECHNOLOGIES,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
REM PRO SIA,Latvia,DAUGAVPILS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIA BALTIJAS KONSULTACIJAS,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RITOLS SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AKCIJU SABIEDRIBA TRANSPORTA UN SAKARU INSTITUTS,Latvia,RIGA,Higher or Secondary Education Establishments
LATVIJAS BIOLOGISKAS LAUKSAIMNIECIBAS ASOCIACIJA,Latvia,RIGA,Other
LATVIJAS AUGLKOPJU ASOCIACIJA,Latvia,RIGA,Other
"""RIGA MUNICIPAL AGENCY """"RIGA ENERGY AGENCY""""""",Latvia,Riga,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REGULA BALTIJA SIA,Latvia,DAUGAVPILS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALSTS TIESU EKSPERTIZU BIROJS,Latvia,RIGA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ANATOMY NEXT SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RENESCO SIA,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIA REPHINE BALTICUM,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIA KTN,Latvia,RIGA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONSUMER RIGHTS PROTECTION CENTRE,Latvia,Riga,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
EUROLCDS SIA,Latvia,VENTSPILS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LATVIJAS UDENRAZA ASOCIACIJA,Latvia,RIGA,Other
SABIEDRIBA AR IEROBEZOTU ATBILDIBU DIGAS,Latvia,JURMALA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LATVIJAS ZINATNU AKADEMIJA,Latvia,RIGA,Research Organisations
VALSTS IENEMUMU DIENESTS,Latvia,RIGA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PRECISION FARMING,Latvia,VALDLAUCI KEKAVAS REGION,Private for-profit entities (excluding Higher or Secondary Education Establishments)
