name,country,city,businessType
INTERNATIONAL CENTRE FOR AGRICULTURAL RESEARCH IN THE DRY AREAS,Lebanon,BEIRUT,Research Organisations
American University of Beirut,Lebanon,BEIRUT,Higher or Secondary Education Establishments
CONSEIL NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Lebanon,BEIRUT,Research Organisations
SEEDS-INT,Lebanon,JDEIDEH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LEBANESE AMERICAN UNIVERSITY,Lebanon,BEIRUT,Higher or Secondary Education Establishments
UNIVERSITE SAINT-JOSEPH,Lebanon,BEIRUT,Higher or Secondary Education Establishments
LEBANESE AGRICULTURAL RESEARCH INSTITUTE,Lebanon,RAYAK,Research Organisations
ARAB STUDIES INSTITUTE - RESEARCH AND EDUCATION METHODOLOGIES,Lebanon,BRUMMANA,Other
UNIVERSITE LIBANAISE,Lebanon,BEIRUT,Higher or Secondary Education Establishments
BERYTECH FOUNDATION,Lebanon,BEIRUT,Other
DIPLOMAX,Lebanon,BEIRUT,Higher or Secondary Education Establishments
EDUCATION DEVELOPMENT CENTER IN LEBANON,Lebanon,BEIRUT,Research Organisations
LEBANON SUPPORT,Lebanon,FURN EL CHEBBAK,Other
Ministry of Public Health,Lebanon,Beirut,Unknown
American University of Beirut,Lebanon,Beirut,Unknown
NATIONAL COUNCIL FOR SCIENTIFIC RESEARCH,Lebanon,BEIRUT,Unknown
Lebanese American University,Lebanon,Byblos,Unknown
Lebanese University,Lebanon,Beirut,Unknown
Conseil et DÃ©veloppement SAL,Lebanon,Sin El Fil - Beirut,Unknown
Ecole Superieure D'ingenieurs de Beyrouth (Esib),Lebanon,Beyrouth,Unknown
Euclid,Lebanon,Kesrouan,Unknown
Lebanese University (Faculty of Engineering Ii),Lebanon,Beirut,Unknown
Intermedic (Jean Farah & Co.) Sal,Lebanon,Beirut,Unknown
UNIVERSITY OF BALAMAND,Lebanon,TRIPOLI,Unknown
SITRAM CONSULTANTS SARL,Lebanon,BEIRUT,Unknown
LEBANESE AGRICULTURAL RESEARCH INSTITUTE,Lebanon,ZAHLE,Unknown
OFFICE DES EAUX DE BEYROUTH,Lebanon,BEYROUTH,Unknown
LEBANESE UNIVERSITY,Lebanon,JAL-EL-DIB BEIRUT,Unknown
ECOLE SUPERIEURE D'INGENIEURS DE BEYROUTH,Lebanon,BEYROUTH,Unknown
EUCLID,Lebanon,JOUNIEH,Unknown
CENTRE REGIONAL DE L'EAU ET DE L'ENVIRONNEMENT,Lebanon,BEYROUTH,Unknown
LEBANESE UNIVERSITY,Lebanon,BEIRUT,Unknown
UNIVERSITE SAINT-JOSEPH,Lebanon,BEIRUT,Unknown
AGRICULTURAL COOPERATIVE ASSOCIATION,Lebanon,JIEH,Unknown
LITANI RIVER AUTHORITY,Lebanon,BEIRUT,Unknown
LAKE SHARE COMMUNITIES UNION,Lebanon,LALA,Unknown
NATIONAL COUNCIL FOR SCIENTIFIC RESEARCH - NATIONAL CENTER FOR MARINES SCIENCES,Lebanon,JOUNIEH,Unknown
ASSOCIATION LIBANAISE POUR LA MAITRISE DE L'ENERGIE ET POUR L'ENVIRONMENT',Lebanon,BEIRUT,Unknown
AMERICAN UNIVERSITY OF BEIRUT,Lebanon,BEIRUT,Unknown
LEBANESE AMERICAN UNIVERSITY,Lebanon,BEIRUT,Unknown
UNIVERSITÃ SAINT-JOSEPH,Lebanon,BEYROUTH,Unknown
ASSOCIATION OF THE FRIENDS OF IBRAHIM ABDEL AAL,Lebanon,BEIRUT,Unknown
VITECH CONSULTING S.A.L.,Lebanon,BEIRUT,Unknown
ARAB OPEN UNIVERSITY,Lebanon,BADARO-BEIRUT,Unknown
LEBANESE AGRICULTURE RESEARCH INSTITUTE,Lebanon,RAYAK,Unknown
HOLY SPIRIT UNIVERSITY OF KASLIK,Lebanon,JOUNIEH,Unknown
ARAB OPEN UNIVERSITY,Lebanon,"BADARO, BEIRUT",Unknown
CONSEIL NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Lebanon,BEIRUT,Unknown
Lebanese Agricultural Research Institute,Lebanon,ZAHLE,Unknown
ASSOCIATION LIBANAISE POUR LA MAITRISE DE L'ENERGIE ET POUR L'ENVIRONNEMENT,Lebanon,BEIRUT,Unknown
ADM ELECTRIC SAL,Lebanon,ANTELIAS,Unknown
UNIVERSITÃ SAINT JOSEPH,Lebanon,BEIRUT,Unknown
THE CHRONIC CARE CENTER,Lebanon,BAABDA,Unknown
LEBANESE AGRICULTURAL RESEARCH INSTITUTE,Lebanon,RAYAK,Unknown
THE CHRONIC CARE CENTER ASSOCIATION,Lebanon,BAABDA,Unknown
LEBANESE AGRICULTURAL RESEARCH INSTITUTE,Lebanon,ZHALE,Unknown
THE LEBANESE FOR POLICY STUDIES,Lebanon,BEIRUT,Unknown
THE UNIVERSITY OF BALAMAND,Lebanon,TRIPOLI,Unknown
RENE MOAWAD FOUNDATION,Lebanon,BEIRUT,Unknown
CONSEIL ET DEVELOPPEMENT S.A.L.,Lebanon,BAABDA,Unknown
ASSOCIATION LIBANAISE POUR LA MAITRISE DE L'ENERGIE ET L'ENVIRONNEMENT',Lebanon,BEIRUT,Unknown
ECOLE SUPERIEURE D'INGENIEURS DE BEYROUTH,Lebanon,BEIRUT,Unknown
"WATER ENERGY AND ENVIRONMENT RESEARCH CENTER OF NOTRE DAME UNIVERSITY,,",Lebanon,LOUAIZEH,Unknown
BEIRUT ARAB UNIVERSITY,Lebanon,BEIRUT,Unknown
Association pour la Protection de l'enfant de la Guerre,Lebanon,BEIRUT,Unknown
SAINT JOHN OF DAMASCUS FACULTY OF THEOLOGY - UNIVERSITY OF BALAMAND,Lebanon,TRIPOLI,Unknown
LEBANESE SOLAR ENERGY SOCIETY,Lebanon,BEIRUT,Unknown
EARTH LINK AND ADVANCED RESOURCES DEVELOPMENT,Lebanon,BEIRUT,Unknown
LEBANESE UNIVERSITY -,Lebanon,BEIRUT,Unknown
ARAB OPEN UNIVERSITY,Lebanon,BEIRUT,Unknown
CHAMBER OF COMMERCE INDUSTRY & AGRICULTURE OF TRIPOLI AND NORTH LEBANON,Lebanon,TRIPOLI,Other
UNIVERSITY OF BALAMAND,Lebanon,TRIPOLI,Higher or Secondary Education Establishments
ASSOCIATION LIBANAISE POUR LA MAITRISE DE L'ENERGIE ET POUR L'ENVIRONNEMENT,Lebanon,BEIRUT,Research Organisations
Litani River Authority,Lebanon,Beirut,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Debbane Freres SAL,Lebanon,Beirut,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Ministry of Agriculture,Lebanon,Batroun,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ARAB OPEN UNIVERSITY,Lebanon,BEIRUT,Higher or Secondary Education Establishments
THE ARAB ICT ASSOCIATION,Lebanon,BEIRUT,Other
