name,country,city,businessType
UNIVERSITAT LIECHTENSTEIN,Liechtenstein,VADUZ,Higher or Secondary Education Establishments
HILTI (Liechtenstein),Liechtenstein,SCHAAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIECHTENSTEIN-INSTITUT,Liechtenstein,GAMPRIN-BENDERN,Research Organisations
BALZERS,Liechtenstein,BALZERS,Unknown
Microfab AG,Liechtenstein,Schaanwald,Unknown
Hilti AG,Liechtenstein,Schaan,Unknown
Press- und Stanzwerk AG,Liechtenstein,Eschen,Unknown
CAME ESTABLISHMENT,Liechtenstein,VADUZ,Unknown
UNAXIS BALZERS LTD,Liechtenstein,BALZERS,Unknown
UNAXIS BALZERS AG,Liechtenstein,BALZERS,Unknown
HOVALWERK AG,Liechtenstein,VADUZ,Unknown
KRUPP PRESTA AG,Liechtenstein,ESCHEN,Unknown
HILTI AG,Liechtenstein,SCHAAN,Unknown
MICROFAB AKTIENGESELLSCHAFT,Liechtenstein,TRIESEN,Unknown
IVOCLAR VIVADENT AG,Liechtenstein,SCHAAN,Unknown
CIPRA - COMMISSION INTERNATIONALE POUR LA PROTECTION DES ALPES,Liechtenstein,SCHAAN,Unknown
HILTI AKTIENGESELLSCHAFT,Liechtenstein,SCHAAN,Unknown
HILCONA AG,Liechtenstein,SCHAAN,Unknown
OC OERLIKON BALZERS AG,Liechtenstein,BALZERS,Unknown
UMICORE MATERIALS AG,Liechtenstein,BALZERS,Unknown
YMEGA ESTABLISHMENT,Liechtenstein,SCHAAN,Unknown
SCHEKOLIN,Liechtenstein,GAMPRIN BENDERN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LISTEMANN AG WERKSTOFF UND WAERMEBEHANDLUNGSTECHNIK,Liechtenstein,ESCHEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SERCALO MICROTECHNOLOGY LIMITED,Liechtenstein,SCHAAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THYSSENKRUPP PRESTA AG,Liechtenstein,ESCHEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EVATEC ADVANCED TECHNOLOGIES AG,Liechtenstein,BALZERS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OC OERLIKON BALZERS AG,Liechtenstein,BALZERS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Hoval Aktiengesellschaft,Liechtenstein,VADUZ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OPTICS BALZERS AG,Liechtenstein,BALZERS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Umicore Materials AG,Liechtenstein,Balzers,Private for-profit entities (excluding Higher or Secondary Education Establishments)
