name,country,city,businessType
VILNIAUS UNIVERSITETAS,Lithuania,VILNIUS,Higher or Secondary Education Establishments
LITORIJ UAB,Lithuania,Vilnius,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UAB CIVITTA,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VYTAUTO DIDZIOJO UNIVERSITETAS,Lithuania,KAUNAS,Higher or Secondary Education Establishments
LIETUVOS ENERGETIKOS INSTITUTAS,Lithuania,KAUNAS,Research Organisations
vilniaus universiteto medicinos fakultetas,Lithuania,Vilnius,Higher or Secondary Education Establishments
UAB THERMO FISHER SCIENTIFIC BALTICS,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""UAB """"Spronk NMR Consultancy""""""",Lithuania,Vilnius,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIETUVOS RESPUBLIKOS ZEMES UKIO MINISTERIJA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KLAIPEDOS UNIVERSITETAS,Lithuania,KLAIPEDA,Higher or Secondary Education Establishments
VALSTYBES IMONE ORO NAVIGACIJA,Lithuania,VILNIAUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"LIGHT CONVERSION, UAB",Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VIESOJI ISTAIGA LIETUVOS ZEMES UKIO KONSULTAVIMO TARNYBA,Lithuania,KEDAINIAI,Other
LIETUVOS SOCIALINIU TYRIMU CENTRAS,Lithuania,Vilnius,Research Organisations
UAB MODERNIOS E-TECHNOLOGIJOS,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EKSPLA UAB,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VIESOJI ISTAIGA EUROPOS HUMANITARINIS UNIVERSITETAS,Lithuania,VILNIUS,Higher or Secondary Education Establishments
MUITINES KRIMINALINE TARNYBA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VILNIAUS DAILES AKADEMIJA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
Audejas UAB,Lithuania,Vilnius,Other
MOKSLO INOVACIJU IR TECHNOLOGIJU AGENTURA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NACIONALINE VISUOMENES SVEIKATOS PRIEZIUROS LABORATORIJA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LIETUVOS SVEIKATOS MOKSLU UNIVERSITETAS,Lithuania,KAUNAS,Higher or Secondary Education Establishments
RADIACINES SAUGOS CENTRAS,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NACIONALINIS VISUOMENES SVEIKATOS CENTRAS PRIE SVEIKATOS APSAUGOS MINISTERIJOS,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KAUNO TECHNOLOGIJOS UNIVERSITETAS,Lithuania,KAUNAS,Higher or Secondary Education Establishments
APLINKOS APSAUGOS AGENTURA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VALSTYBINIS MOKSLINIU TYRIMU INSTITUTAS FIZINIU IR TECHNOLOGIJOS MOKSLU CENTRAS,Lithuania,VILNIUS,Research Organisations
UAB METIS BALTIC,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VILNIAUS MIESTO SAVIVALDYBES ADMINISTRACIJA,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VILNIAUS GEDIMINO TECHNIKOS UNIVERSITETAS,Lithuania,VILNIUS,Higher or Secondary Education Establishments
NATIONAL PAYING AGENCY,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ITREE LIETUVA UAB,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALSTYBES SIENOS APSAUGOS TARNYBA PRIE VIDAUS REIKALU MINISTERIJOS,Lithuania,VILNIUS,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
VIESOJI ISTAIGA VIESOSIOS POLITIKOSIR VADYBOS INSTITUTAS,Lithuania,VILNIUS,Research Organisations
UAB RENERGA,Lithuania,JONAVA DISTRICT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UAB SOLI TEK R&D,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALSTYBES IMONES VALSTYBINIU MISKU UREDIJOS,Lithuania,KAUNAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALEKSANDRO STULGINSKIO UNIVERSITETAS,Lithuania,KAUNAS,Higher or Secondary Education Establishments
AB AMBER GRID,Lithuania,VILNIUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIETUVOS KIBERNETINIU NUSIKALTIMU KOMPETENCIJU IR TYRIMU CENTRAS,Lithuania,VILNIUS,Other
LIETUVOS ROBOTIKOS ASOCIACIJA,Lithuania,VILNIUS,Other
VSI STARTUP DIVISION,Lithuania,VILNIUS,Other
VSI DARBO EIGOS,Lithuania,VILNIUS,Research Organisations
UAB TERAGLOBUS,Lithuania,VILNIAUS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASOCIACIJA ZINIU EKONOMIXOS FORUMAS,Lithuania,VILNIUS,Other
MYKOLO ROMERIO UNIVERSITETAS,Lithuania,VILNIUS,Higher or Secondary Education Establishments
GENEROLO JONO ZEMAICIO LIETUVOS KARO AKADEMIJA,Lithuania,VILNIUS,Higher or Secondary Education Establishments
BALTIJOS PAZANGIU TECHNOLOGIJU INSTITUTAS,Lithuania,VILNIUS,Research Organisations
LIETUVOS NACIONALINE VARTOTOJU FEDERACIJA ASOCIACIJA,Lithuania,VILNIUS,Other
